JULES VERNE	Jules Verne
NYOLCVAN NAP ALATT A FÖLD KÖRÜL	Tác phẩm: Tám mươi ngày vòng quanh thế giới
TARTALOM	MỤC LỤC
ELSŐ FEJEZET - Egy megállapodásról, melynek értelmében Phileas Fogg és Passepartout kölcsönösen gazdává, illetve inassá fogadja egymást	I – Phileas Fogg và Vạn Năng nhận nhau làm chủ và tớ như thế nào
MÁSODIK FEJEZET - Passepartout megbizonyosodik róla, hogy álmai ezúttal valóra váltak	II – Như thế nào mà Vạn Năng đinh ninh rằng cuối cùng đã tìm thấy lý tưởng của mình
HARMADIK FEJEZET - Egy beszélgetésről, mely Phileas Foggnak sokba kerülhet	III – Làm thế nào mà nổ ra một cuộc chuyện trò có thể rất tai hại cho Phileas Fogg
NEGYEDIK FEJEZET - Passepartout-nak, Phileas Fogg inasának leesik az álla a meglepetéstől	IV – Phileas Fogg đã làm anh hầu Vạn Năng của mình chết đứng như thế nào
HATODIK FEJEZET - Fix detektív méltán türelmetlenkedik	VI – Viên thanh tra Fix biểu lộ một sự sốt ruột rất chính đáng như thế nào
HETEDIK FEJEZET - Újabb bizonyíték arról, hogy rendőri ügyekben az útlevél fabatkát sem ér	VII – Thêm một lần nữa chứng tỏ sự vô dụng của những giấy hộ chiếu trong công việc của ngành cảnh sát.
NYOLCADIK FEJEZET - Passepartout talán egy csöppnyivel többet beszél a kelleténél	VIII – Vạn Năng có lẽ nói nhiều hơn sự cần thiết như thế nào
KILENCEDIK FEJEZET - A Vörös-tenger és az Indiai-óceán nem húzza keresztül Phileas Fogg terveit	IX – Biển Đỏ và biển Ấn Độ tỏ ra thuận lợi cho những kế hoạch của Phileas Fogg như thế nào.
TIZEDIK FEJEZET - Passepartout olcsón megússza, csak a cipőjét hagyja el	X – Vạn Năng rất đỗi sung sướng chịu mất đôi giày để được thoát nạn như thế nào
TIZENEGYEDIK FEJEZET - Phileas Fogg csillagászati áron paripát vásárol	XI – Trong trường hợp nào mà Phileas Fogg phải mua một con vật để cưỡi với giá đắt kinh người
TIZENKETTEDIK FEJEZET - Mire vezetett Phileas Foggnak és útitársának őserdei kalandozása?	XII – Phileas Fogg và các bạn mình mạo hiểm qua rừng Ấn Độ như thế nào và những chuyện gì đã xảy ra từ đó
TIZENHARMADIK FEJEZET - Passepartout újra bebizonyítja, hogy bátraké a szerencse	XIII – Vạn Năng một lần nữa chứng minh rằng số mệnh ủng hộ những người táo bạo như thế nào
TIZENNEGYEDIK FEJEZET - Phileas Fogg befutja a Gangesz csodás völgyét, de arra sem kíváncsi	XIV – Phileas Fogg đi qua tất cả lưu vực kỳ lạ của sông Hằng mà không thèm ngắm cảnh như thế nào
TIZENÖTÖDIK FEJEZET - A pénzes zsák tovább apad; egy-két ezresnek megint lába kel	XV – Do đâu mà cái xắc bạc giấy còn nhẹ thêm vài ngàn livrơ nữa
TIZENHATODIK FEJEZET - Fix úgy tesz, mintha kettőig sem tudna számolni	XVI – Fix có vẻ chẳng biết gì cả về những chuyện người ta nói với ông như thế nào
TIZENHETEDIK FEJEZET - Apróságok a hajóúton, Singapore-Hongkong között	XVII – Do đâu mà sinh chuyện này chuyện nọ trong chuyến đi từ Singapore đến Hồng Kông
TIZENNYOLCADIK FEJEZET - Phileas Fogg, Passepartout és Fix külön-külön lát dolga után	XVIII – Phileas Fogg, Vạn Năng, Fix, ai lo phận nấy chạy theo công việc của mình như thế nào
TIZENKILENCEDIK FEJEZET - Passepartout a kelleténél többet akar tudni Mr. Foggról. Mi következik ebből?	XIX – Vạn Năng quá quan tâm đến ông chủ của mình và hậu quả từ đó sinh ra như thế nào
HUSZADIK FEJEZET - Fix közvetlen kapcsolatot teremt Phileas Fogg-gal	XX – Fix bắt đầu giao du trực tiếp với Phileas Fogg như thế nào
HUSZONEGYEDIK FEJEZET - Elnyeri-e a kétszáz font jutalmat a Tankadčre kapitánya?	XXI – Do đâu mà ông chủ tàu Tankadère suýt nữa mất toi món tiền thưởng hai trăm livrơ
HUSZONKETTEDIK FEJEZET - Passepartout belátja, hogy a világ végén sem árt, ha pénz van a zsebünkben	XXII – Trong hoàn cảnh nào Vạn Năng thấy rõ ngay cả ở những điểm đối chân vẫn nên cẩn thận có ít tiền trong túi
HUSZONHARMADIK FEJEZET - Passepartout orra módfelett hosszúra nyúlik	XXIII – Cái mũi của Vạn Năng được kéo dài quá khổ như thế nào
HUSZONNEGYEDIK FEJEZET - Sikeres átkelés a Csendes-óceánon	XXIV – Cuộc vượt biển qua Thái Bình Dương mất bao nhiêu ngày
HUSZONÖTÖDIK FEJEZET - Meeting San Franciscóban. Futó benyomások	XXV – Cái nhìn thoáng qua về San Francisco trong một ngày mít tinh
HUSZONHETEDIK FEJEZET - Passepartout óránként húszmérföldes sebességgel átfutja a mormonok történetét	XXVII – Vạn Năng theo học với tốc độ hai mươi dặm một giờ một giáo trình lịch sử Mormon như thế nào
HUSZONNYOLCADIK FEJEZET - Passepartout a józan ész mellett kardoskodik, de nem hallgatnak rá	XXVIII – Vạn Năng không thể làm cho người ta nghe được tiếng nói của lẽ phải như thế nào
HUSZONKILENCEDIK FEJEZET - Beszámoló bizonyos epizódokról, melyek csupán az Unió rail-roadjain adódnak	XXIX – Câu chuyện kể về các loại sự cố chỉ xảy ra trên những tuyến đường sắt của Liên bang
HARMINCADIK FEJEZET - Phileas Fogg csupán a kötelességét teljesíti	XXX – Phileas Fogg chỉ làm bổn phận của mình thôi như thế nào
HARMINCEGYEDIK FEJEZET - Fix ugyancsak szívén viseli Phileas Fogg érdekeit	XXXI – Ông tranh tra Fix đã đứng rất nghiêm chỉnh về phía lợi ích của Phileas Fogg như thế nào
HARMINCKETTEDIK FEJEZET - Phileas Fogg maga fordul szembe a balszerencsével	XXXII – Phileas Fogg mở một cuộc chiến đấu trực diện chống lại số phận không may như thế nào
HARMINCHARMADIK FEJEZET - Phileas Fogg a helyzet magaslatán	XXXIII – Phileas Fogg có thể đương đầu với mọi hoàn cảnh như thế nào
HARMINCNEGYEDIK FEJEZET - Passepartout rossz, de meglehetősen eredeti szójátéka	XXXIV – Ai tạo cho Vạn Năng cơ hội đặt ra một trò chơi độc địa nhưng có lẽ mới lạ
HARMINCÖTÖDIK FEJEZET - Passepartout nem várja meg, hogy gazdája kétszer megismételje parancsát	XXXV – Vạn Năng không để ông chủ phải ra lệnh đến hai lần như thế nào
HARMINCHATODIK FEJEZET - Phileas Fogg árfolyama ismét felszökik	XXXVI – Phileas Fogg lại được cao giá trên thị trường như thế nào
HARMINCHETEDIK FEJEZET - Kiderül, hogy Phileas Fogg nem sokat nyert a világ körüli utazással, mindössze a boldogságot találta meg	XXXVII – Cuối cùng Phileas Fogg chẳng được gì trong chuyến đi vòng quanh thế giới này nếu không phải là hạnh phúc
ELSŐ FEJEZET - Egy megállapodásról, melynek értelmében Phileas Fogg	I – Phileas Fogg và Vạn Năng nhận nhau làm chủ và tớ như thế nào
és Passepartout kölcsönösen gazdává, illetve inassá fogadja egymást 1872-ben a Saville Row 7. szám alatt (Burlington Gardens) - e házban halt meg 1814-ben Sheridan - Phileas Fogg esq.,1 a londoni Reform Club tagja lakott, aki, bár nyilvánvalóan minden igyekezetével azon fáradozott, hogy semmivel ne irányítsa magára a közfigyelmet, mégis a klub egyik legkülönösebb és legfigyelemreméltóbb tagja volt.	Vào năm 1872 ngôi nhà số 7 phố Saville, bên công viên Burlington – ngôi nhà tại đó Sheridan đã tạ thế năm 1814 – là nơi ở của ngài Phileas Fogg một trong những hội viên kỳ dị nhất và đặc biệt nhất của "Câu lạc bộ Cải cách Luân Đôn" mặc dầu ông ta vẫn có vẻ cố gắng không làm gì để mọi người chú ý.
Az egyik legnagyobb és legdicsőbb angol szónok utóda lett tehát ez a rejtélyes Phileas Fogg, akiről senki nem tudott semmit, legföljebb azt, hogy igen derék ember, és az angol felsőbb körök egyik férfiszépsége.	Vậy là kế vị cho một trong những nhà hùng biện lớn nhất làm vinh dự cho nước Anh là ông Phileas Fogg này, một nhân vật bí hiểm mà người ta không biết gì ngoài cái điều đó là một con người rất hào hoa phong nhã và là một trong những nhà quý phái điển trai nhất của xã hội thượng lưu Anh.
Byronhoz szokták hasonlítani, legalábbis arcra, mert lába kifogástalanul ép volt - csakhogy ez a Byron-arc bajuszt viselt; szenvtelen Byron-fő: egy ezredévig is dacol az öregedéssel.	Người ta bảo ông ta giống Byron – giống ở cái đầu, bởi vì chân ông thì không chê vào đâu được16 – nhưng một Byron có ria mép và râu quai nón, một Byron lạnh như tiền có thể sống nghìn năm cũng không già.
Angolnak angol volt, az bizonyos, de hogy londoni-e, az már kevésbé.	Là người Anh thì nhất định rồi nhưng Phileas Fogg có lẽ không phải người Luân Đôn.
Soha nem látták sem a tőzsdén, sem az Angol Bankban, sem a City más kifizetőhelyén.	Người ta không bao giờ thấy ông ở Sở giao dịch chứng khoán hoặc ở Ngân hàng hoặc ở bất cứ một thượng điểm nào của thành phố.
London dokkjaiba és kikötőibe sosem futott be hajó, melynek gazdája ő lett volna.	Cả những vũng tàu và những bến tàu ở Luân Đôn cũng chưa bao giờ tiếp nhận con tàu nào có tên chủ tàu là Phileas Fogg.
