VOLTAIRE	VOLTAIRE
CANDIDE	CANDIDE
CHÀNG NGÂY THƠ	AZ OPTIMISTA VILÁGNÉZET
Mục lục	TARTALOM
Chương I CHÀNG NGÂY THƠ ĐƯỢC NUÔI NẤNG TRONG MỘT TÒA LÂU ĐÀI TỐT ĐẸP	ELSŐ FEJEZET. Hogyan nevelték Candide-ot egy gyönyörü kastélyban és hogyan kergették ki onnan.
Chương II CHÀNG NGÂY THƠ SỐNG CHUNG VỚI NGƯỜI BẢO GIA LỢI	MÁSODIK FEJEZET. Mi történt Candide-dal a bolgárok között?
Chương III CHÀNG NGÂY THƠ THOÁT KHỎI TAY NGƯỜI BẢO GIA LỢI	HARMADIK FEJEZET. Hogyan szabadult meg Candide a bolgároktól és mily sorsra jutott?
Chương IV CHÀNG NGÂY THƠ GẶP LẠI THẦY CŨ, TRIẾT GIA PANGLOSS	NEGYEDIK FEJEZET. Hogyan találkozott Candide hajdani filozófia-tanitójával, Pangloss doktorral s mi lett az utóbbi sorsa?
Chương V BÃO TỐ, ĐẮM TÀU, ĐỘNG ĐẤT, KHIẾN CHO PANGLOSS, JACQUES VÀ CHÀNG NGÂY THƠ RA SAO	ÖTÖDIK FEJEZET. Vihar, hajótörés, földrengés; mi történt Pangloss doktorral, Candide-dal és az anabaptista Jacques-kal?
Chương VI NGƯỜI TA TIẾN HÀNH VỤ THIÊU SỐNG HAY HO NHƯ THẾ NÀO ĐỂ NGĂN ĐỘNG ĐẤT, VÀ CHÀNG NGÂY THƠ ĐÃ BỊ ĐÒN ĐÍT RA SAO	HATODIK FEJEZET. Ünnepélyesen máglyát raknak, hogy eretnek-égetéssel akadályozzák meg a földrengést; Candide-ot megbotozzák.
Chương VII CHÀNG NGÂY THƠ ĐƯỢC BÀ GIÀ CHĂM SÓC VÀ GẶP LẠI NHỮNG NGƯỜI CHÀNG YÊU QUÝ	HETEDIK FEJEZET. Hogyan gondoskodik Candide-ról egy öreg asszony; hogyan találja fel kedvesét.
Chương VIII CÂU CHUYỆN VỀ CÔ CUNÉGONDE	NYOLCADIK FEJEZET. Kunigunda története.
Chương IX CHÀNG NGÂY THƠ GIẾT MỘT LÚC HAI MẠNG NGƯỜI	KILENCEDIK FEJEZET. Mi történt Kunigundával, Candide-dal, a nagy inkvizitorral és a zsidóval?
Chương XI CU CHUYỆM CỦA BÀ GIÀ	TIZENEGYEDIK FEJEZET. Az öreg asszony története.
Chương XII CÂU CHUYỆN TIẾP VỀ NHỮNG ĐAU KHỔ CỦA BÀ GIÀ	TIZENKETTEDIK FEJEZET. Az öreg asszony tovább meséli viszontagságait.
Chương XIII CHÀNG NGÂY THƠ BUỘC LÒNG PHẢI CÁCH BIỆT CUNÉGONDE VÀ BÀ GIÀ	TIZENHARMADIK FEJEZET. Hogyan kellett Candide-nak elválnia a szép Kunigundától és az öreg asszonytól?
Chương XIV CHÀNG NGÂY THƠ VÀ ĐỒ ĐỆ CACAMBO ĐƯỢC CÁC GIÁO SĨ DÒNG TÊN ĐÓN TIẾP Ở PARAGUAY	TIZENNEGYEDIK FEJEZET. Hogyan fogadták Candide-ot és Cacambot Paraguayban a jezsuiták?
