Dávid Copperfield	David Copperfield
Irta Dickens	Tác giả: Charles Dickens
ELSŐ FEJEZET.	Chương I
Születésem.	TÔI RA ĐỜI
Én leszek-e vajon saját életemnek a hőse, vagy más tölti-é be ezt a hivatást: elválik majd e lapokból.	Tôi có trở thành nhân vật chính của đời mình không hay một người khác sẽ chiếm mất địa vị ấy, những trang sách này sẽ có nhiệm vụ nói rõ điều đó.
Hogy életem kezdetével kezdjem az életírásomat, följegyzem, hogy – a mint másoktól tudom és el is hiszem, – pénteki napon születtem, éjféli tizenkét órakor.	Để bắt đầu kể đời mình từ lúc nó bắt đầu, tôi ghi rằng tôi sinh vào ngày thứ sáu, lúc mười hai giờ đêm (người ta bảo tôi thế và tôi cũng tin thế).
Megjegyezték, hogy egyszerre kezdett az óra ütni, én meg üvölteni.	Người ta nói đồng hồ mới bắt đầu đánh boong boong thì cùng lúc đó tôi oe oe tiếng khóc.
Ez a két adomány ugyanis, az ő hitök szerint, el nem kerülhető osztályrésze valamennyi mindkétnembeli szerencsétlen csecsemőnek, a ki pénteki nap, éjféltájban, született.	Ở đây, bất tất phải nói về điểm thứ nhất, vì chẳng có gì chứng minh lời tiên đoán trên của họ là đúng hay sai sự thực hơn câu chuyện kể của tôi.
Az első pontra nézve e helyütt nincs mit mondanom, mert jobban, mint életem története, semmi sem bizonyíthatja be, vajon az eredmény igazolta-e vagy sem ezt a jövendölést.	Còn về lời tiên đoán thứ hai, tôi chỉ xin lưu ý rằng không biết thời tấm bé tôi đã tiêu phí hết phần di sản ấy rồi hay sao, chứ sau này tôi chẳng hề thấy ma thấy quỷ gì cả.
A szóbanforgó második kijelentésre nézve pedig csak annyit jegyzek meg, hogy örökségemnek ezt a részét, ha ugyan még csecsemőkoromban el nem tékozoltam, mindmáig meg nem kaptam.	Tuy vậy, tôi vẫn không hề phàn nàn gì về chỗ mình không được hưởng đặc quyền ấy, và hiện nay nếu có ai được hưởng ân huệ đó thì tôi cũng vui lòng xin họ cứ việc giữ lấy cái của nợ ấy cho.
De egyáltalában nem panaszkodom érte, hogy e tulajdonomtól elütöttek; és ha mostanában bárki más élvezi tán, tartsa is meg, szívemből kívánom.	Khi sinh, tôi có tràng hoa quấn cổ, và tràng hoa này được quảng cáo trên báo với một giá rẻ là mười lăm "Ghi-ni".
Így aztán a hirdetést, mivel hiábavalónak bizonyúlt, visszavonták, – hiszen, hogy csak a sherryt említsem, szegény édesanyám akkortájt a maga sherryjét is szerette volna eladni, – és a burkot, tíz esztendő múlva, kisorsolták, lent a mi vidékünkön, ötven résztvevő között, fejenként egy félkoronáért,3 úgy, hogy a nyertesnek öt shillinget kellett még külön ráfizetnie.	Bởi vì về khoản rượu anh đào, thì lúc ấy ngay cả rượu anh đào của bà mẹ yêu quý và tội nghiệp của tôi cũng còn phải đem bán… Thế rồi, mười năm sau, cái tràng hoa của tôi được treo làm giải thưởng trong một cuộc xổ số ở địa phương, có năm mươi người tham dự, mỗi người nộp một đồng "nửa Cơ rao" còn người nào trúng số lại phải giả thêm năm đồng "si-linh" nữa.
Annyi tény, s arra mifelénk, mint nevezetes eseményt, sokáig fogják is emlegetni, hogy a burok nyertese csakugyan nem fulladt vízbe, hanem ágyban halt meg diadalmasan, kilenczvenkét esztendős korában.	Người địa phương sẽ còn nhớ mãi điều ấy, cho đó là một sự kiện đặc biệt vì bà cụ từ trần oanh liệt trên giường, hưởng thọ chín mươi hai tuổi.
Megtudtam később, hogy utolsó perczéig legbüszkébben azzal szokott dicsekedni, hogy nem járt vizen soha életében, kivéve hídon át; és hogy teája mellett – (bolondja volt a teának) – élete végéig méltatlankodva emlegette a tengerészek és mások istentelenségét, a kik elég vakmerőek voltak világszerte "csavarogni".	Tôi nghe nói: cho đến phút cuối cùng, điều làm bà kiêu hãnh nhất là suốt đời bà chưa hề ở trên mặt nước, (không kể trường hợp đứng trên cầu); và mỗi khi uống trà (bà cụ mê nhất khoản này) bao giờ bà cụ cũng tỏ ra bực tức về bọn thủy thủ vô đạo và những bọn khác dám cả gan "lang thang" trên thế giới.
Hiába magyarázták neki, hogy számos kellemes dolgot – beleértve talán a teát is – ennek a kárhozatos szokásnak köszönhetünk.	Không tài nào làm bà cụ hiểu rằng sở dĩ có một số lạc thú trên đời, trong đó có cả thú uống trà, chính là do cái việc làm đáng trách đó.
Mindig azt felelte, egyre erősebben megnyomva a szót, mintha ösztönszerűen érezné ellenvetése erejét: "Nekem ugyan senkise csavarogjon!"	Lúc nào bà cụ cũng đáp lại giọng càng kiên quyết và tin tưởng hồn nhiên vào sức mạnh của câu trả lời của mình: "Thôi xin miễn chuyện lang thang cho".
De hogy én magam se csavarogjak, rátérek nyomban újra a születésemre.	Và bây giờ về phần tôi, để khỏi nói "lan man", tôi xin trở lại chuyện tôi ra đời.
Blunderstone-ban születtem, Suffolkban, vagy "azon a tájon", a hogy’ Skócziában mondják.	Tôi sinh ở Blơnđơxtôn thuộc xứ Xăpphôc, hay như dân Xcôtlân thường nói: "ở loanh quanh đây đấy".
Utószülött gyerek voltam.	Chưa ra đời, tôi đã là đứa trẻ không cha.
Atyám szeme e világ fényessége előtt félévvel előbb zárúlt le, mintsem az enyém megnyílt.	Mắt cha tôi đã nhắm lại từ giã ánh sáng cõi đời này sáu tháng trước khi tôi mở mắt chào đời.
Atyámnak egy nagynénje, nekem következéskép öregnagynéném, volt családunknak a legtekintélyesebb tagja, a kiről lesz még majd sok mondanivalóm.	Một người cô của cha tôi, và như vậy là bà cô mẫu của tôi, mà sau này tôi sẽ có dịp nói đến nhiều, là nhân vật quyền hành nhất trong gia đình chúng tôi.
Vérmérsékletük összeférhetetlenségének e nyilvánvaló bizonyságai arra bírták Miss Betseyt, hogy kifizesse a férjét és kölcsönös megegyezés alapján elváljék tőle.	Cái tính khí xung khắc như vậy bắt buộc cô Betxi đã phải cho đức lang quân một món tiền để tống khứ và thu xếp chuyện ly dị với sự ưng thuận của cả hai bên.
A férfi Indiába ment tőkéjével, s családunkban az a kalandos legenda keringett róla, hogy ott együtt látták őt egyszer lovagolni elefántháton egy majommal; de én azt hiszem, hogy az bizonyára valami indiai divatmajom vagy – bégum4 volt.	Ông chồng mang vốn liếng sang Ấn-độ; và theo một câu chuyện đồn đại trong gia đình chúng tôi, có lần người ta thấy ông cưỡi voi cùng với một con hầu, nhưng tôi đoán đấy là một hầu tước hay một hoàng hậu Ấn-độ.
Elég az hozzá, hogy Indiából, vagy tíz esztendő múlva, halála híre érkezett haza.	Dẫu sao, non mười năm sau, cũng có tin từ Ấn-độ về báo tin rằng ông ta đã chết.
Hogy’ hatott ez a hír a nagynénémre, senkifia nem tudta; mert néném nyomban a válás után fölvette újra a leánynevét, vett magának egy távoli faluban a tengerparton egy kis házat, berendezkedett ott magános nőhöz illően egy szolgálóval, s ott élt azontúl mindig, egyedül, törhetetlen visszavonúltságban.	Chẳng ai biết tin ấy làm cô tôi xúc động ra sao; bởi vì ngay sau khi ly dị, cô đã lấy lại cái tên hồi con gái, mua một ngôi nhà ở một thôn xóm rất xa, bên bờ biển, sống độc thân ở đó cùng với một người đầy tớ gái, và từ đấy kiên quyết sống cuộc đời ẩn dật xa cách mọi người.
