JAMES JOYCE	James Joyce
Dublini emberek	Người Dublin
NŐVÉREK	Chị Em Gái
Éjszakáról éjszakára a ház előtt kódo­rog­tam (szünidő volt), és az ablak világos négyszögét lestem, és éjszakáról éjszakára ugyanolyan volt a világítás: egyenletes és erőtlen.	Hàng đêm nay (đang là kỳ nghỉ) đêm nào tôi cũng đi ngang ngôi nhà và quan sát vuông cửa sổ sáng đèn: và hàng đêm nay đêm nào tôi cũng thấy nó sáng cùng một kiểu, mờ nhạt và bình thản.
Ha már meghalt volna, gondoltam, látnám a sötét redőnyön átszűrődő gyertyafényeket, mert annyit már tudtam, hogy a holttest fejéhez két gyertyát szoktak állítani.	Nếu ông chết rồi, tôi nghĩ, hẳn phải thấy ánh nến phản chiếu trên nền rèm cửa tối bởi tôi biết phải có hai cây nến đặt phía trên đầu người chết.
Gyakran hallottam tőle ilyesmit: - Nem sokáig leszek vendég ezen a világon -, de szavait akkor nem vettem komolyra.	Ông vẫn thường nói với tôi Ta sẽ chóng từ giã cõi đời, và tôi đã nghĩ những lời ông nói chỉ là vu vơ.
Éjjelente, amint felnéztem az ablakra, ezt a szót ismételgettem suttogva: paralízis.	Mỗi đêm nhìn lên cửa sổ nhà ông, tôi lại tự thầm thì từ tê liệt.
Most pedig éppenséggel valami gonosz és bűnös lény nevét jelentette.	Nhưng lúc này tôi thấy nó vang lên như tên của một sinh linh độc ác và tội lỗi.
Félelemmel töltött el, mégis vágytam rá, hogy a közelébe férkőzzem, és szemügyre vegyem halálos munkáját.	Nó làm tôi kinh hoàng, vậy mà tôi vẫn muốn được gần nó hơn, ngắm nghía thứ công việc chết chóc của nó.
Cotter apó a tűz mellett ült, és fújta a füstöt, mikor lejöttem a vacsorához.	Già Cotter đang ngồi bên lò sưởi, hút tẩu, khi tôi đi xuống gác ăn tối.
És míg nagynéném a zabkását merte a tányéromba, ő, mintha előbbi gondolatait fűzné tovább, így beszélt:	Trong lúc bác gái tôi múc cháo yến mạch, lão cất tiếng, như thể đang quay lại với lời nhận xét lúc trước.
- Nem, hát azért nem mondanám, hogy éppenséggel... de mégis: volt valami furcsa benne... valami hátborzongatóan furcsa... Véleményem szerint...	- Không, tôi sẽ không nói chính xác ông ta là thế...nhưng có một cái gì đó kỳ cục...có một cái gì đó kỳ lạ về ông ta.
Hatalmas füstfelhőt fújt ki pipájából, kétségkívül azért, hogy közben megfogalmazza véle­mé­nyét.	Lão bắt đầu rít những hơi tẩu ngắn, không nghi ngờ gì lão ta đang sắp xếp lại ý trong đầu.
Mikor megismerkedtünk vele, még nagyon szórakoztatónak tartottam, hogy szeszgőzökről meg hűtőcsövekről beszél; de aztán hamar meguntam szeszfőzdékről szóló végtelen történeteit.	Hồi đầu khi chúng tôi mới biết lão, lão ta còn khá thú vị, suốt ngày giải thích nào sái rượu với ống xoắn cất rượu, nhưng rồi tôi nhanh chóng chán ngấy lão và những câu chuyện lê thê về nhà máy rượu.
Újabb füstfelhők jöttek a pipából, anélkül, hogy részletesebben kifejtette volna, hogy látja.	Lão lại rít một hơi mà vẫn chưa nói cho chúng tôi về giả thuyết của lão.
Nagybátyám, látva bámész mozdulatlanságomat, így szólt hozzám:	Bác trai tôi thấy tôi bộ điệu ngây ra, bèn nói:
- Kicsoda?	- Ai cơ ạ?
- kérdeztem.	- tôi hỏi.
- Flynn atya.	- Cha Flynn.
- Meghalt?	- Ông ấy chết rồi sao?
- Éppen most mondta Mr. Cotter.	- Bác Cotter đây vừa mới thông báo cho bọn ta.
Tudtam, hogy most figyelnek, s ezért nyugodtan ettem tovább, mintha a hír egyáltalán nem érdekelne.	Tôi biết tôi đang bị quan sát nên tiếp tục ăn như thể cái tin vừa rồi chẳng làm tôi mảy may bận tâm.
Nagybátyám Cotter apóhoz fordult.	Bác tôi giải thích cho già Cotter.
- A kölyök igen jó barátságban volt vele.	- Thằng nhóc và ông ta là chỗ bạn thân.
Tudja, sokat tanult az öregtől; azt mondják, még a végén is nagyon látni akarta.	Ông già đã dạy cho nó rất nhiều, ông ạ, người ta còn đồn ông ta rất kỳ vọng nó.
- Isten legyen irgalmas lelkének - mondta nagynéném ájtatosan.	- Cầu Chúa phù hộ linh hồn ông ấy - bác gái tôi sùng kính.
Cotter apó egy darabig rajtam pihentette a szemét.	Già Cotter nhìn tôi một lúc.
Éreztem, hogy apró, mozgékony madárszeme valamit fürkész bennem, de azért sem szereztem meg neki azt az örömet, hogy tányéromról föltekintsek.	Tôi cảm thấy đôi mắt đen tròn vo nhỏ xíu của lão đang dò xét nhưng tôi nhất quyết sẽ không làm lão ta thoả mãn bằng cách rời đĩa thức ăn mà ngước lên.
Visszatért pipájához, és végül nagyot köpött a rostélyra.	Lão ta quay lại với cái tẩu và cuối cùng thô lỗ nhổ toẹt vào lò sưởi.
- Nem örülnék, ha az én gyerekeim nagyon összemelegednének egy ilyen emberrel.	- Tôi thì tôi sẽ không để cho con cháu mình - lão nói - giao du nhiều với kiểu người như vậy.
- Hogy érti ezt, Cotter úr?	- Bác nói thế nghĩa là sao, bác Cotter?
- kérdezte nagynéném.	- bác gái tôi hỏi.
- Úgy értem - mondta Cotter apó -, hogy ez nem tesz jót a gyereknek.	- Tôi nói thế nghĩa là - Già Cotter nói - như thể không hay ho gì cho bọn trẻ.
Az én elvem az: fiatal gyerkőc rohangáljon és játsszon hasonló korú fiatal gyerkőcökkel, ne pedig... Igazam van, Jack?	Ý kiến của tôi là, cứ để trẻ con được chơi đùa thoả thích với bọn cùng tuổi và không bị...Ta nói thế đúng không, Jack?
- Nekem is ez az elképzelésem - bólogatott a nagybátyám.	- Đó cũng là nguyên tắc của tôi - bác trai tôi nói - cứ để nó tự học cách xoay sở kiếm sống trên cái đời này.
Kérem, amikor én siheder voltam, minden áldott reggel hideg vízben fürödtem, télen-nyáron.	Thế nên từ bé đến giờ không sáng nào là tôi không tắm nước lạnh, đông cũng như hè.
A művelődés nagyon szép, nagyon komoly dolog... Talán egy falatot Mr. Cotternek abból az ürücombból - szólt oda nagynénémnek.	Giáo dục bao giờ cũng thật tốt đẹp..Bác Cotter đây có khi muốn thử một miếng đùi cừu đấy - ông quay sang nói với bác gái tôi.
- Nem, köszönöm, nem kérek - mondta Cotter apó.	- Không, không, đừng phần tôi - Già Cotter phản đối.
Nagynéném levette a tálat az ételszekrényről, és az asztalra tette.	Bác gái tôi lấy một cái đĩa trong chạn ra và đặt lên bàn.
- De miért gondolja, hogy nem tesz jót a gyereknek, Mr. Cotter?	- Nhưng sao bác lại nghĩ chuyện đó không hay cho bọn trẻ, hả bác Cotter?
- kérdezte.	- bà hỏi.
- Nem tesz jót - hangzott a válasz -, mert a gyermekagy nagyon fogékony.	- Nó không hay cho lũ trẻ - Già Cotter nói - bởi trí óc chúng rất dễ bị ảnh hưởng.
Ha a gyermekek olyasmit látnak... tudja... feltétlenül hatással van...	Khi bọn trẻ thấy những điều như vậy, bà biết đấy, chúng sẽ bị tác động...
Teletömtem a számat zabkásával, mert attól féltem, kitör belőlem a düh.	Tôi tống đầy cháo vào miệng vì sợ rằng tức quá mình sẽ bật ra nói gì đấy.
Unalmas, vén, vörös orrú hülye!	Lão già dở hơi mũi đỏ chán ngấy!
Habár dühös voltam Cotter apóra, amiért gyereknek címzett, mégis törtem a fejem, hogy befejezetlen mondataiból némi értelmet hámozzak ki.	Mặc dù rất tức giận Già Cotter về chuyện lão ta ám chỉ tôi còn là một đứa trẻ tôi vẫn vắt óc đóan xem những câu nói dở dang của lão có nghĩa gì.
Fejemre húztam a takarót, és kará­csony­ra próbáltam gondolni.	Tôi kéo chăn trùm kín đầu và cố gắng nghĩ về lễ Giáng Sinh.
Mormogott valamit; s én meg­értettem, hogy vallani akar.	Nó mấp máy; và tôi hiểu nó muốn xưng tội.
Úgy éreztem, a lelkem borzongva süllyed alá egy kellemes és bűnös világba; és ott újra megtaláltam az arcot: rám várt.	Tôi thấy linh hồn tôi lùi về một vùng dễ chịu và tội lỗi, và ở đó tôi lại thấy khuôn mặt kia đang đợi tôi.
De aztán eszembe jutott, hogy paralízisben halt meg, s éreztem, én is gyengén mosolygok, jeléül annak, hogy feloldozom a simónia bűne alól.	Nhưng rồi tôi nhớ lại rằng nó đã chết bởi bệnh liệt và tôi cảm thấy tôi cũng đang hơi mỉm cười như để tha thứ tội buôn thần bán thánh của nó.
Másnap reggeli után elindultam, hogy megnézzem a kicsi házat a Great Britain utcában.	Buổi sáng hôm sau, ăn sáng xong tôi quyết định đi ngắm ngôi nhà nhỏ trên phố Great Britain.
Az igénytelen kis üzlet felett most is kint lógott a jellegtelen felírás: Szövetbolt.	Đó là một cửa hiệu khiêm tốn, có một cái tên mơ hồ Tiệm Tạp Hóa.
Az ajtókoppantóra valaki művirágcsokrot erősített, fekete gyászszalaggal átkötve.	Một bó hoa tang đen được buộc vào tay nắm cửa bằng dải ruy băng.
Két szegényesen öltözött asszony és egy kis sürgönypostás ácsorgott előtte, és betűzték a szalagra gombostűzött kártya szövegét.	Hai người đàn bà bộ dạng nghèo khó và một chú nhóc đưa điện tín đang đọc tấm các đính trên bó hoa tang.
James Flynn Tisztelendő Úr (korábban a Meath utcai Szent Katalin-templom plébánosa),	Đức Cha James Flynn (nguyên phụ trách nhà thờ
élt hatvanöt évet.	s. Catherine, phố Meath)
Ezek a szavak végre elhitették velem, hogy meghalt.	câu Chúa phù hộ cho linh hồn Cha được yên nghỉ.
Talán nagynéném egy csomag finom tubákot küldött volna, s ez az ajándék felserkentené őt bamba szender­géséből.	Bác gái tôi đã có thể đưa một gói thuốc lá bôt hiệu High Toast để tôi mang cho ông và món quà này sẽ đánh thức ông khỏi cơn lơ mơ gà gật.
