Eugénie Grandet	Nguyên tác tiếng Pháp: Eugénie Grandet
FORDÍTOTTA BOGNÁR RÓBERT	Tác giả: Honozé De Balzac
Az ön arcképe e mű legszebb éke, legyen itt az ön neve: akár egy szentelt barkaág, melyet nem tudni, melyik fáról törtek, de melyet bizonyosan szentté tett a hit, s mely, hála jámbor kezeknek, örökkön zöldell, megújul; óvja a házat.	Ở một vài tỉnh nhỏ, có những ngôi nhà mà quang cảnh gợi lên trong lòng ta một nỗi buồn man mác như khi nhìn những tu viện âm u, những cánh đồng hoang ảm đạm, những di tích hoang tàn hiu hắt nhất.
Némely vidéki városban vannak házak, amelyek éppolyan búskomor hangulatot keltenek a szem­lélőben, mint a mogorva kolostorok, a kietlen pusztaságok vagy a vigasztalan romhal­mazok.	Có lẽ ở các ngôi nhà kia cũng có cái vắng lặng của tu viện, cái cằn cỗi của bãi hoang và cũng có những lô cốt của các di tích hoang phế.
Figyelemre méltó, hogy a rendkívül keskeny girbegurba utcácska mindig tiszta és száraz apró macskakövein milyen szépen visszhangoznak a lépések, és hogy a vársánc tövében épült óvárosi házak milyen békések.	Ai đi qua cũng phải chú ý đến âm vang đặc biệt của mặt đường lô nhô đá cuội, lúc nào cũng sạch sẽ, khô ráo, đến nền đường hẹp và quanh co khúc khuỷu, đến cảnh tượng yên tĩnh của hai bên phố xá nép mình dưới hàng thành lũy xưa và thuộc khu vực thành phố cũ.
A háromszáz éves épületek még mindig szilárdan állnak, noha fából készültek, és változatos külsejük olyan eredeti arculatot ad ennek a saumuri negyednek, hogy méltóvá avatja a régiség­kereskedők és művészek figyelmére.	Ở đây có những ngôi nhà trải qua ba thế kỷ vẫn còn đứng vững mặc dù là nhà gỗ, nhà nào có vẻ riêng của nhà ấy, nên toàn khu có một dáng dấp độc đáo làm các họa sĩ và những người hiếu cổ chú ý nhiều.
Nehéz úgy elhaladni a házak előtt, hogy az ember meg ne csodálja a fura faragványokban végződő roppant gerendákat, amelyek fekete dombormű gyanánt koronázzák a legtöbb épület földszintjét.	Đi qua đấy khó mà không thầm phục những cây trinh to lớn, đầu tạc hình thù kỳ quái, hiện ra trên mặt tường tầng dưới, như những bức điêu khắc đen.
Néhány polgár - nehogy feledésbe merüljön a dicsőség - tanácsossága révén szerzett kétes értékű nemességének jelvényeit véste a kapujára.	Có khi một anh thị dân khắc cái gia huy hào mục của mình lên đấy để nhắc nhở thời kỳ cầm quyền oanh liệt của cha ông.
Látható itt Franciaország egész történelme.	Toàn bộ lịch sử nước Pháp phơi bày dưới mắt.
A kis kőház mellett, amelynek ma már düledező falai egykor a mesterember dicsőségére váltak, egy nemesúr palotája áll: a kőkapu félköríves bolthajtásán már csak apró nyomok emlékeztetnek a címerre, amelyet az országot 1789 óta meg-megrázó különféle forradalmak darabokra zúztak.	Bên cạnh cái nhà lung lay, xây vách đá, mà cột kèo do những bác phó mộc nâng niu tay bào trau chuốt, là tòa lầu của một người quý phái. Trên vòm cuốn cổng đá, còn vết tích những nét chạm cái gia huy đã bị phá hủy qua bao nhiêu cuộc cách mạng làm đảo lộn miền này từ năm 1789 đến nay.
Ebben az utcában a földszinti üzlethelyiségek se nem boltok, se nem raktárak: a középkor szerelmesei atyáink természetes egyszerűségű műhelyeire ismerhetnek itt.	Những người ham thích thời Trung cổ hẳn tìm thấy ở đấy hình ảnh các xưởng thủ công quả là đơn giản ngày trước.
Alacsony, sötét termek ezek, nincs kirakatuk, üvegablakuk, üvegszekrényük, kívül-belül híján vannak min­den­féle díszítménynek.	Không quầy, không tủ kính, gian nào gian nấy sâu thăm thẳm, tối om, trong ngoài không có tí gì gọi là trang trí.
Az ajtajuk két durván vasalt részből áll, a fölső tábla befelé nyílik, az alsó, amelyre rugós csengettyű van szerelve, szüntelenül nyílik-csukódik.	Cửa vào gồm hai cánh dầy, cạp sắt một cách thô kệch; cánh trên mở vào trong, cánh dưới có mắc chuông lò xo, đẩy qua kéo lại không ngớt.
A levegő és a vilá­gos­ság vagy a felső ajtószárnyon keresztül jut be ebbe a nedves barlangfélébe, vagy azon a nyíláson, amelyet az oldalfal és egy mellmagasságig érő kis fal határol.	Ánh sáng và không khí luồn vào cái hang ẩm ướt ấy do khoảng trống ở phần trên cửa ra vào, hoặc do khoảng cách giữa vòm cuốn, sàn gỗ tầng trên và một bức tường thấp ngang vai.
A nyílásba erős ablak­táblák illeszkednek, amelyeket reggel levesznek, este visszatesznek, és csapszeggel ellátott vas keresztpánttal rögzítenek.	Trên đầu tường có những cách cửa thật chắc, sớm lấy đi, tối lắp vào và cài then siết bằng đanh ốc.
Az üzletág természetétől függően az áruminta két-három, sóval és tőke­hallal teli csöbör, néhány bála vitorlavászon, hajókötél, mestergerendára akasztott rézdrót, falnak támasztott abroncsok, néhány posztódarab a polcokon.	Các mẫu hàng thường là hai ba chậu đầy cá thu muối, vài súc vải buồm, mấy cuộn dây thừng, những tấm đồng thau treo lên mấy cây đà đỡ sàn gác, những đai thùng xếp dựa vào tường, hoặc mấy xấp dạ trên các ngăn ngách.
Kerüljenek beljebb!	Ta thử vào xem.
