Turgenyev	Ivan S.Turgenev.
Első szerelem	Mối Tình Đầu
Fél egyet ütött az óra.	Tiệc đã tan từ lâu.
A szobában csak a házigazda maradt, Szergej Nyikolajeviccsal meg Vlagyimir Petroviccsal.	Đồng hồ gỏ mười hai giờ ba mươi phút.. Trong phòng chỉ còn lại vị chủ nhà, Sergei Nilolaevitch và Vladimir Petrovitch.
A házigazda csengetett, s kivitette a vacsora maradékait.	Chủ nhà rung chuông, ra lệnh dọn đi phần còn lại của bửa cơm tối.
Magán a sor, Szergej Nyikolajevics.	Tới phiên anh, Sergei Nikolaevich."
Szergej Nyikolajevics, pufók arcú, szőke szakállú, köpcös ember, előbb ránézett a házi­gazdára, majd felnézett a mennyezetre.	Sergei Nikolaevich, một người đàn ông thấp bé mập mạp với gương mặt bầu bỉnh, trắng trẻo, đầu tiên nhìn vị chủ nhà, sau đó hướng ánh mắt lên trần.
- Igen egyszerűen.	"Rất đơn giản.
Tizennyolc éves voltam, mikor udvarolni kezdtem egy nagyon bájos kis­lánynak; de úgy udvaroltam, mintha ez nem is volna új nekem: ugyanúgy, ahogy később másoknak tettem.	Năm mười tám tuổi lần đầu tiên tôi tán tỉnh một cô gái trẻ và duyên dáng, nhưng tôi đeo đuổi nàng như thể không có chi là mới lạ; về sau này với các cô gái khác cũng thế.
Tulajdonképpen először és utoljára hatéves koromban a dajkámba voltam szerelmes; de ez már nagyon régen volt.	Nói cho chính xác, lần đầu và cũng là lần cuối, tôi yêu nhũ mẫu của mình khi tôi lên sáu; nhưng đó là chuyện ngày xưa.
Ennek a szerelemnek a részletei elmosódtak az emlékezetemben, de még ha emlékezném is rájuk, kit érdekelhetnének?	Tôi không tài nào nhớ được những chi tiết, và ngay cả khi tôi nhớ được, có ai thích nghe chăng?
- Akkor hát mit tegyünk?	"Vậy về phần tôi thì sao?"
- kérdezte a házigazda.	ông chủ nhà bắt đầu nói.
- Az én első szerelmemben sincs semmi érdekes: senkibe sem voltam szerelmes, mielőtt megismertem Anna Ivanovnát, a mostani feleségemet, s minden a legsimábban alakult: szüleink összehoztak; hamarosan megszerettük egymást, és egykettőre összeházasodtunk.	"Mối tình đầu của tôi cũng chẳng có gì hấp dẫn; tôi chưa từng yêu ai cho đến khi gặp Anna Nikolaeva, nhà tôi hiện nay, -- và tất cả mọi chuyện đều xảy ra hết sức êm đẹp; cha mẹ chúng tôi xếp đặt cuộc gặp gỡ, chúng tôi yêu nhau ngay, và cưới nhau liền sau đó.
Az én esetemet el lehet mondani két szóval.	Chuyện của tôi có thể kể lại vỏn vẹn trong vài ba chữ.
- Az én első szerelmem valóban nem tartozik a közönséges esetek közé - felelte némi habozás után Vlagyimir Petrovics, egy negyvenéves, fekete hajú, de már deresedő férfi.	"Mối tình đầu của tôi, chắn chắn không bình thường," Vladimir Petrovitch, một người trạc tứ tuần, tóc đen ngã sang màu muối tiêu, hơi ngập ngừng, trả lời.
- Á!	"Ah!"
