HENRYK SIENKIEWICZ	Henryk Sienkiewicz
SIVATAGON ÉS VADONBAN	Trên Sa Mạc Và Trong Rừng Thẳm
- Hallottad, Nel - szólt Staś Tarkowski barátnőjéhez, a kis angol leánykához -, tegnap zabtjék (rendőrök) jöttek, s letartóztatták Smain felügyelő feleségét és három gyermekét.	- Em biết không, Nen, - Xtas Tarcôpxki nói với cô bạn gái người Anh bé nhỏ của mình.
Olyan volt ez a kicsi Nel, mint egy gyönyörű kép, ahogy most Staśra emelte zöldes szemecskéjét, s félig csodálkozva, félig félelemmel kérdezte:	Còn Nen, cô bé đẹp như một bức tranh, thì ngước cặp mắt màu lục nhạt của mình lên nhìn Xtas và hỏi vẻ vừa ngạc nhiên vừa sợ hãi:
- Bezárták a börtönbe?	- Thế họ bắt bà ta bỏ tù à, anh?
- Nem, de nem engedik el Szudánba.	- Không, nhưng họ không cho phép mụ ta đi khỏi Xuđan.
Egy hivatalnokot rendeltek mellé, aki vigyáz rá, hogy ki ne mozduljon Port Saidból.	Đồng thời có một nhân viên tới đây để canh không cho mụ ta rời một bước khỏi Port Xaiđơ.
- Miért?	- Sao vậy hả anh?
A tizennégy éves Staś nagyon szerette a nyolcéves játszótársát, de még kisgyereknek tartotta, ezért öntelt képpel felelte:	Xtas, cậu thiếu niên vừa hết tuổi mười bốn, tuy rất yêu mến cô bạn gái tám tuổi của mình, song vẫn xem đó chỉ là một đứa bé non nớt, liền nói với vẻ mặt rất kiêu:
- Ha olyan idős leszel, mint én, te is tudni fogsz mindent, ami nemcsak a csatorna mentén Port Saidtól Szuezig, hanem egész Egyiptomban történik.	- Khi nào lớn như anh, em sẽ biết không những chỉ mọi chuyện xảy ra dọc kênh đào này, từ Port Xaiđơ đến Xuê mà còn cả trên toàn bộ đất Ai Cập nữa.
Hát semmit sem hallottál Mahdiról?	Thế em không biết gì về Mahơđi hay sao?
- Hallottam, hogy csúnya és illetlen.	- Em nghe nói là ông ta xấu xí và không ngoan.
A fiú szánakozva elmosolyodott.	Cậu bé mỉm cười thương hại.
- Hogy csúnya-e, azt nem tudom.	- Hắn ta có xấu xí hay không thì anh không biết.
- Apuska mondta, pedig ő a legjobban tudja!	- Ba em bảo thế, ba em biết giỏi nhất.
- Azt csak azért mondta, mert másképp nem értetted volna meg.	- Ba bảo em thế vì nói cách khác thì em không hiểu nổi.
Nekem másképp mondta volna.	Giá nói với anh thì ba em đã chẳng bảo thế.
Mahdi gonoszabb, mint egy sereg krokodilus.	Mahơđi còn tệ hơn cả một bầy cá sấu.
Érted?	Hiểu chưa?
Szép kis "illetlenség".	"Không ngoan!" Hay thật!
