ALAIN-FOURNIER	Alain Fournier
A TITOKZATOS BIRTOK	Lâu Đài Huyền Bí
Első fejezet	Chương 1
A KOSZTOS DIÁK	NGƯỜI Ở TRỌ
Vasárnap volt, 189... novemberének egyik vasárnapja, amikor az új kosztosfiú megérkezett hozzánk.	Anh đến nhà tôi một chủ nhật tháng 11, năm 189...
Még ma is így mondogatom: "hozzánk" - pedig már réges-régen nincs semmi közünk ahhoz a házhoz.	Tôi vẫn nói "nhà tôi" mặc dù căn nhà không còn là của gia đình tôi.
Idestova tizenöt éve, hogy elköltöztünk arról a vidékről, és bizonyára nem látjuk soha többé.	Chúng tôi rời nơi đó chẳng bao lâu nữa đã 15 năm và chắc chắn không bao giờ trở lại.
Drága jó édesanyám a legkisebbekkel, az elemistákkal vesződött.	Bây giờ, gia đình tôi ngụ trong khu nhà giáo sư ở Xanhtơ-Agat.
A ház északi oldala mellett húzódott el az országút, mely a három kilométernyire fekvő La Gare-ba vezetett; kis rácsos vasajtón át léphettél itt ki a szabadba.	Cha tôi, mà tôi cũng gọi là ông Xơ-ren như các học sinh khác, vừa dạy lớp đại học để đào tạo giáo viên cấp một, vừa dạy trung học.
Itt laktunk ebben a környezetben.	Mẹ tôi dạy tiểu học.
Az a nap azonban még élénken az emlékezetemben él, amikor sok-sok évvel ezelőtt megérkeztünk édesanyámmal egy döcögős parasztszekéren a kis rácsos vasajtó elé, mely csupa rozsda volt.	Cái bất chợt của những "cuộc chuyển trường", một quyết định của ông giám thị hay thanh tra giáo dục đã xô đẩy chúng tôi đến đó.
A helyiségekben vastagon állt a szalma, szétszórtan, csomókban, s léptei nyomán por szállt fel belőle.	Vừa nói, mẹ vừa lấu mùi xoa khẽ lau bộ măt măng sữa của tôi sạm lại sau chuyến đi.
Most is kétségbeesve jegyezte meg, akárcsak minden addigi áthelyezésünk alkalmával, hogy lehetetlen a lakás beosztása, s nem is tudja, hogyan helyezze el benne a bútorokat... Kijött hozzám az udvarra, s elsírta nékem bánatát.	Rồi mẹ quay vào đếm xem tất cả có bao nhiêu lỗ hổng phải bịt để ngôi nhà còn có thể ở được... Còn tôi, mũ rơm to đùg đính ruy-băng, tôi đứng đó, trên cái sàn xi măng xa lạ, chờ đợi, tò mò nhìn xung quanh giếng và dưới mái nhà kho.
S máris fordult vissza, hogy megnézze, hol kellene ajtót töretni, s hol kellene falaztatni, hogy mégis lakályosabban tudjunk berendezkedni a házban... Én meg kint maradtam az ismeret­len udvaron, nagy, szalagos szalmakalappal a fejemen, s a kavicsokat rugdaltam, míg anyám­ra várakoztam, meg felfedező útra indultam a kút köré, s még a fészerbe is bemerészkedtem...	Bởi vì vừa muốn tìm lại kỷ niệm xa xưa về cái đêm đợi chờ đầu tiên trên sàn xi măng, tôi vừa nhớ lại bao cuộc đợi chờ khác; tôi đã mường tượng lại lúc mình bám hai tay vào chấn song cổng, hồi hộp rình xem có ai xuống phố lớn không.
S ha vissza próbálok emlé­kez­ni az első éjszakára - egyedül aludtam fent, az első emeleten, egy padlásszobában, közvetlenül a teregető helyiségek és különféle kamrák mellett -, már más éjszakák emlékei is felrémlenek bennem; amikor már nem egyedül alszom a szobában; egy furcsa, hosszú árny is tovasurran nyugtalanul és otthonosan a falak mentén, s le-föl imbolyog az éjszakában.	Trong ký ức của tôi, tất cả quang cảnh thanh bình đó - ngôi trường, cánh đồng với ba cây hồ đào của lao Mactanh, khu vườn ngay từ bốn giờ hàng ngày đã có nhiều phụ nữ đến viếng thăm - mãi mãi sống động, hiền hòa bởi sự có mặt của con người đã khuấy động toàn bộ tuổi xuân của chúng tôi, và không để chúng tôi được yên ngay cả khi đã bỏ trốn.
Már több mint tíz éve laktunk Sainte-Agathe-ban, amikor Meaulnes hozzánk került.	Tuy vậy khi Meaulnes đến, chúng tôi đã ở xứ sở này được 10 năm.
Hűvös volt az a novemberi vasárnap, csípős: az első olyan őszi reggel, amikor hirtelen arra gondolunk, hogy rövidesen beköszönt a tél.	Đấy là một Chúa nhật lạnh lẽo của tháng 11, ngày thu đầu tiên khiến ta nghĩ đến mùa đông.
Úgy volt, hogy La Gare-ból átkocsizik valaki, akinél egy kalapot rendelt, mert már itt volt az esős évszak.	Cả ngày Mili đợi chờ từ phía nhà ga một chiếc xe mang đến cho mẹ một chiếc mũ chống rét.
A litániára is nélküle kellett elindulnom uzsonna után.	Quá trưa, tôi phải đi lễ chiều môt mình.
- Aztán, tudod - simogatta meg a fejem, csak hogy megvigasztaljon, s közben megigazította a matrózruhámat, néhány porszemet fricskázva le róla - könnyen lehetséges, hogy akkor is itthon kellene rostokolnom egész vasárnap, ha elhozták volna a kalapomat, mert csak akadna valami igazítani való rajta.	- Mới lại - mẹ nói để an ủi tôi, tay phủi phủi quần áo cho tôi - ngay nếu như nó đến, chiếc mũ ấy mà, chắc chắn chủ nhật mẹ cũng phải sửa lại.
Bent, a boltívek alatt, egy újszülöttet kereszteltek éppen, a bámészkodó kölykök sorfala közt.	Một lễ khai trương đội cứu hỏa tổ chức dưới vòm cổng lớn đã lôi kéo trẻ con bu đến.
Kint a téren tűzoltóegyenruhás férfiak topogtak, katonás sorokba fejlődve, mert majd megvette őket az Isten hidege; s áhítattal figyeltek parancsnokukra, Boujardonra, aki ott szónokolt előttük, végérvényesen belegabalyodva se füle-se farka mondatai zűrzavarába...	Trên quảng trường, có nhiều người lại vận quần áo cứu hỏa của họ, tụm năm tụm ba, rét cóng, dận đế giày không ngớt, họ lắng nghe ông đội trưởng Bu-Giác-dông thuyết lý rối tinh rối mù lên.
Négy kölyök menetelt utánuk csendben, ünnepélyesen, otromba bakancsaik alatt meg-megreccsentek a dérlepte útra hullott kicsi száraz ágacskák.	Buổi lễ đang ồn ào bỗng ngưng bặt, tựa như người kéo chuông buông vội tay vì biết là nhầm giờ.
A városka hirtelen elnéptelenedett, már csak a Daniel-féle kocsmából szűrődött ki a csendes utcákra némi lárma, bent zsivajogtak a mulatozók, s hangjuk, mint a tenger moraja áradozva-apadozva szárnyalt szüntelen utánam.	Họ khuất hẳn ở chỗ ngoặt đầu tiên, có bốn thằng bé nín thở đi theo, những đế giày to tướng của chúng xéo lên những ngọn cỏ hai bên vệ đường phủ sương giá mà tôi không dám bước lên để theo chúng.
Már ott jártam a kőfalunknál, mely nem volt ugyan túlságosan magas, de mégis, a hatalmas udvart körülvéve, elszigetelte házunkat a városka végétől.	Bấy giờ trong thị trấn chỉ có hiệu cà phê Daniel là còn thấy có tiếng người, ấy là các khách uống trò chuyện và bàn cãi lúc bổng lúc trầm.
A kiskapuhoz az ebédlőnk ajtaja volt a legközelebb.	Bà thấp bé, đội một cái mũ bằng nhung đen may theo lối cũ.
- Hova a csudába lett?	- Cháu đâu?
Ó, istenkém, istenkém - motyogta maga elé alig hallhatóan.	Lạy Chúa - bà thì thầm - Cháu vừa bên cạnh tôi thôi.
- Lehet, hogy már körüljárta a házat.	Cháu đã đi quanh nhà một lượt.
Minden mondat után megállt egy pillanatra, s mindannyiszor megkocogtatta az üveget, három rövid, alig kivehető halk koppantással.	Cứ sau một câu, bà lại khẽ gõ vào kính cửa ba cái mà ai không chú ý thì không nghe được.
- No, mit szólsz hozzá?	- Con nhìn xem nào!
Ekkor azonban megpillantotta az ismeretlen látogatót, aki ott ült elterpeszkedve egy karos­székben a kandalló előtt.	Nhưng chợt thấy bà khách ngồi trong cái ghế bành rộng ở cuối phòng, mẹ chưng hửng, nín bặt.
Mintha földbe gyökerezett volna a lába, úgy állt ott anyám egy pillanatig, zavartan, tanácstalanul.	Mẹ vội cởi phắt mũ ra, vá sau đó, cứ kẹp ngửa nó, áp vào ngực như một "tổ chim" bằng cách tay phải.
Fölényes lett, gőgös és titokzatos; még emlékszem is, hogy bosszankodva néztünk össze édesanyámmal.	Thậm chí vừa đả động đến con, bà đã lộ vẻ trịch thượng và bí ẩn, khiến chúng tôi đâm tò mò.
La Ferté-d’Angillon-ban laktak, tizennégy kilométernyire Sainte-Agathe-tól, onnan jöttek ide át kocsival.	Hai mẹ con bà đã đi xe từ La Pheclê-đănggiông cách Xanhtơ-Agát mười bốn ki-lô-mét đến.
És ezzel áradozni kezdett, szinte dicshimnuszokat zengett a fiúról, akit hozzánk szeretett volna adni kvártélyra, kosztra.	Bà quyết định đưa thàng đầu, Oguyxtanh đến ở trọ nhà tôi để theo lớp cao học.
Hitetlenkedve néztem anyámra.	Nhưng mẹ tôi không nghe nữa.
Édesanyám azonban egyikünkre sem figyelt már oda.	Thậm chí mẹ còn ra hiệu bảo à khách im đi.
Ujját figyelmeztetően ajkára tette, jelezve az asszonyságnak, hogy maradjon csak csendben.	Rồi thận trọng để cái "tổ chim" xuống bàn, mẹ lặng lẽ đứng lên như để bắt quả tang ai đó...
- Már az előbb is megütötte fülemet ez a zaj, mintha a földszinti szobákban motoszkált volna valaki - jegyezte meg Millie, lehalkítva hangját -, de azt hittem, te jöttél haza, François...	- Lúc nãy, mẹ đã nghe tiếng chân này trong các phòng bên dưới - Mili thì thào - mẹ cứ tưởng là con về, Phăngxoa ạ...
Egyikünk sem merte megtörni a csendet.	Bà khách và tôi đều không đáp.
- Augustin, te vagy?	- Con đấy ư, Ôguyxtanh?
- kérdezte az asszonyság.	- bà khách hỏi.
Tizenhét év körüli nyúlánk fickó állt előttünk.	Đấy là một chàng trai cao lêu đêu khoảng 17 tuổi.
Az első pillanatban nem is láttam mást belőle a hirtelen leszálló éjszakában, csak előrecsapott sapkáját és fekete kabátját, melyet, iskolás módra, egy öv szorított össze derékban.	Trong bóng đêm đang buông, thoạt đầu tôi chỉ nhìn thấy cái mũ phớt nông dân có lót ở phía sau và cái áo blu đen có dây thắt ngang lưng mà các học sinh hay mặc.
- Kijössz velem az udvarra?	- Cậu ra ân không?
Aztán, minthogy Millie nem mondta, hogy ne menjek, fejembe csaptam a sapkámat, s máris indultunk kifelé.	Rồi thấy Mili khôn giữ, tôi cầm lấy mũ cát-két và đi về phía anh.
Keresztülmentünk a konyhán, s aztán ki, az iskolaudvarra, melyet már beborított szárnyaival a homály.	Chúng tôi qua cửa bếp, đi đến khoảng sân dành cho trẻ em chơi đã nhập nhoạng tối.
Füstös-kormos kis fakereket tartott a tenyerén.	Chắc không bao giờ cậu để mắt đến kho phải không?
Elrongyolódott rakétafüzér ívelte körbe a küllőit, biztosan ez volt a nap vagy legalábbis a hold július tizennegyedikén, a szokásos ünnepi tüzijátékon.	Anh cầm trong tay một bánh xe gỗ nhỏ đã sạm đen, một dây pháo hoa rách bươm quấn chung quanh, có lẽ đó là mặt trăng hay mặt trời trong đêm pháo hoa vừa rồi.
- Két röppentyű még valószínűleg jó.	- Có hai tràng không bắn đi được.
Mindenesetre meggyújtjuk - jegyezte meg nyugodt hangon; s olyan volt az arca, mint aki reméli, hogy még ennél is jobbat talál.	Nhưng chúng mình vẫn có thể đốt lên - anh nói giọng bình bĩnh, vẻ tin tưởng sự việc sẽ đúng như thế.
Most láttam csak, hogy a haja egész rövidre van nyírva, mint általában a parasztoknál szokásos.	Anh ném mũ xuống đất và tôi thấy đầu anh trọc lóc như đầu nông dân.
Nagy óvatosan a kerék fölé hajolt, és meggyújtotta a kanócot.	Anh thận trọng cúi xuống, châm ngòi pháo.
S engem is láthatott egy villanásnyira, amint hatalmasra nőve, mozdulatlanul álltam ott az ördöngös fényáradatban.	Trong chừng một giây, mẹ nhìn rõ tôi trong vùng sáng thần kỳ, tay bị chàng trai lêu đêu mới đến đang đứng lặng đi giữ chặt...
Kezem engedelmesen simult az új fiú kezébe...	Lần này nữa, mẹ vẫn không dám nói gì.
Meaulnes feltűnése előtt csak ritkán fordult elő, hogy együtt bitangoltam az utcákon a többi kölyökkel.	Cho đến tận bấy giờ, tôi hầu như không lêu lổng trong phố với trẻ con thị trấn.
Sokáig szenvedtem ugyanis csípőízületi bántalmakban, és csak ez az év, 189... emlékezetes éve hozta meg gyógyulásomat.	Bênh lao khớp háng mà tôi phải mang cho đến tận năm 189... ấy đã làm tôi khốn khổ và sợ hãi.
Még szinte ma is látom magamat, amint esetlenül szökdécselek, fél lábon a házunk körüli szűk sikátorokban, hogy utolérjem szélvészként száguldó társaim...	Bây giờ, tôi vẫn như còn thấy mình nhảy lò cò khổ sở trên một chân, chạy theo những học sinh nhanh nhẹn trên các lối nhỏ trong trường...
Soha nem úsztam meg nyakleves nélkül, s ráadásul haza is kellett vele mennem.	Vì thế, cha mẹ tôi gần như không cho tôi ra khỏi trường.
S mielőtt Meaulnes odaköltözött volna hozzánk, vég­telenül hosszú s magányos volt minden estém.	Đúng lúc tôi khỏi bệnh thì Môn đến, vậy là bắt đầu một cuộc đời mới.
Az iskola udvarán egyelőre még folyt a játék, egyesek versenyt futottak, míg egészen be nem sötétedett.	Dần dần những học sinh về muộn cũng rời khỏi ngôi trường lạnh lẽo bốc lên nhiều cuộn khói.
