Bovaryné	Bà Bô vary
Irta Flaubert	GUYXTAVƠ FLÔBE
ELSŐ RÉSZ.	PHẦN THỨ NHẤT
I.	I
Az alvók fölriadtak s mindnyájan fölkeltünk, mintha nagy munkában zavartak volna meg bennünket.	Những bạn đang ngủ bừng tỉnh, cậu nào cậu nấy đều đứng phắt dậy dường như đã bị bắt quả tang giữa giờ học.
Az igazgató intett, hogy üljünk le; aztán, a korrepetitor felé fordulva:	Ông hiệu trưởng ra hiệu cho chúng tôi ngồi xuống; rồi ông quay về phía thầy giám thị, khẽ nói:
– Roger ur – szólt alig érthető hangon – ezt a növendéket ajánlom a figyelmébe.	- Ông Rôgiê, đây là người học trò mà tôi giao phó cho ông.
Egyelőre a második osztályba fog járni.	Bây giờ em vào lớp Năm.
Ha szorgalmas lesz és jól viseli magát, átviszszük a nagyokhoz; mert kora ezek közé utalná.	Nếu em học hành tốt và có hạnh kiểm xứng đáng, thì em sẽ được chuyển lên lớp các em lớn cho hợp với lứa tuổi.
Az uj fiu félénken huzódott meg az ajtó mögött lévő szögletben, úgy, hogy alig láthattuk.	Người học trò mới cứ đứng ở góc tường, sau cánh cửa ra vào, thành ra chúng tôi chẳng nhìn thấy rõ hắn mấy.
Mintegy tizenöt esztendős falusi gyerek volt; erősebb, nagyobb mindnyájunknál.	Hắn là một gã nhà quê, chừng mười lăm tuổi, có một tầm vóc cao hơn bất kỳ đứa nào trong đám chúng tôi.
Homlokába fésült haját rövidre nyirva viselte, amint ministráns-gyermekeken látni; jóképü fiunak tünt fel s látszott rajta, hogy roppant zavarban van.	Hắn hớt tóc lối để bằng trên trán như dân hát lễ ở nhà thờ làng, hắn có vẻ biết điều và hết sức lúng túng.
Bár nem volt széles vállu, zöld posztóból készült zekéje, melyen fekete gombok ékeskedtek, nagyon bánthatta a hónaljánál, s a rövid ruhaujj hajtókája alól kibuvó vörös kézcsuklón szemmellátható volt, hogy igen megszokta a fedetlenséget.	Tuy vai hắn không rộng, chiếc áo dạ xanh đơm khuy màu đen mà hắn mặc ngoài cùng xem chừng cũng chật ních, và qua kẽ hở của cửa tay áo, lộ ra hai cổ tay đỏ vốn quen bỏ trần.
Sárgás-barna, kurta pantallója alól, melyet a nadrág-tartó erősen huzott felfelé, kikandikált a kék gyapjuharisnya; lábafejét nagy, formátlan, rosszul fényesitett, szeges czipő fedte.	Chân hắn đi tất màu lơ thò ra ngoài chiếc quần vàng nhạt được kéo lên bằng dải đeo.
Fel kellett olvasnunk a feladatainkat.	Đôi giày hắn vững chắc, đánh xi lem nhem, có đóng đinh.
Nem merte a lábát keresztbe tenni, nem mert az asztalára könyökölni s két órakor, mikor előadásra csöngettek, a korrepetitornak kellett figyelmeztetnie, hogy keljen fel és csatlakozzék hozzánk.	Hắn hết sức chú ý lắng tai nghe giảng bài như nghe giảng đạo, hắn không dám bắt chéo chân, tỳ khuỷu tay, và đến hai giờ, khi chuông báo hiệu, thầy giám thị buộc phải bảo hắn ra xếp hàng cùng với chúng tôi.
Az uj fiu vagy nem vette észre ezt a virtust, vagy nem mert utánozni bennünket, elég az hozzá, még az imádság után is a térdén tartotta a kucsmáját.	Ngay từ lúc qua ngưỡng cửa, chúng tôi đã phải quẳng mũ xuống dưới gầm ghế sao cho mũ vừa đập vào tường vừa làm bụi mù lên, có như thế mới đúng kiểu cách.
Ez a fejfedő egyike volt ama ravasz szerkezetü holmiknak, a melyekben megtalálni a katonasipka, a csákó, a kerek kalap, a süveg és a vidra-sipka elemeit, szóval: egyike ama szegényes, szomoru dolgoknak, melyeknek néma csunyaságában van valami meginditó kifejezés, olyanféle, mint a minőt a félkegyelmüek arczán találunk.	Nhưng hoặc hắn không nhận thấy cái trò chơi ấy, hoặc hắn chẳng dám làm theo cho nên bài kinh đã xong mà người học trò mới vẫn giữ cái mũ cát-két trên đầu gối, một trong những loại kiểu hỗn hợp mà ở đó người ta nhận thấy cả những thành phần mũ trùm đầu có tuyết lẫn mũ kỵ binh Ba Lan và mũ tròn, mũ cát-két bằng lông da rái cá, mũ trùm bằng vải bông, tóm lại, nó là một vật tồi mà cái vẻ xấu xí trầm lặng biểu hiện một cách sâu sắc tựa hồ bộ mặt của một kẻ đần độn.
A tojásdad formáju, különös fejfedő alapzatát három, halcsonttal béllelt bőrtekercs alkotta; a másik része házinyul-bőrből és bársonydarabokból volt összeróva, a melyeket a prémtől vörös zsinór választott el; felső, zsákszerü része végül egy szögletes, szövettel bevont s czifra sujtással boritott keménységben végződött, melynek diszitményéről igen vékony és igen hosszu zsinóron apró "arany"-szálakból készült bojt-forma csüngött le.	Cái mũ ấy hình quả trứng, được căng phồng bằng những chiếc gọng, mở đầu bằng ba khoanh tròn như ba khúc dồi lợn, rồi đến những hình trám bằng nhung và lông thỏ xen kẽ nhau qua đường băng đỏ; tiếp nữa là một thứ túi độn bìa cứng hình đa giác có đường viền thêu rắc rối kiểu mũ võ quan và từ đó quả tua mũ nhỏ xíu hình thập tự bằng kim tuyến treo ở đầu một sợi giây quá mảnh.
Ez a csákó uj volt; az ellenzője csak ugy ragyogott.	Cái mũ mới tinh, lưỡi trai bóng lộn.
– Keljen fel – szólt a tanár.	-Đứng dậy, - thầy giáo nói.
Fölkelt s a csákója leesett.	Hắn đứng lên: Cái mũ rơi xuống.
Az egész osztály elkezdett nevetni.	Cả lớp cười ồ. Hắn cúi xuống nhặt mũ.
Lehajolt és fölvette.	Một bạn ngồi cạnh hích
De egyik szomszédja a könyökével ujra lelökte; fölszedte másodszor is.	khuỷu tay làm cái mũ lại rơi xuống, một lần nữa hắn lại cúi xuống nhặt mũ.
– Tegye el már egyszer a sisakját – szólt a tanár, a ki elmés ember volt.	Thầy giáo, vốn là một người tinh ý, liền bảo:
Leült s megint a térdére tette.	và đặt mũ trên đầu gối.
Az uj fiu dadogva nyögött ki valami érthetetlen nevet.	Người học trò mới lắp bắp một cái tên khó hiểu.
– Ismételje!	-Nhắc lại!
Ugyanaz a dadogás vált hallhatóvá; s az érthetetlen szótagokat az osztály lármája és vihogása kisérte.	Cái giọng lắp bắp từng vần của hắn bị tiếng la ó
– Hangosabban!	của cả lớp che lấp đi.
– rivallt rá a tanár.	Thầy giáo quát:
– Hangosabban!	-Nói to nữa lên!
– Bovarikár!	To nữa lên!
Pokoli lárma kerekedett; perczekig tartó hihihi és bruhaha.	Người học trò mới, lấy hết quyết tâm, há toác miệng thét thật to: Sácbôvari, như để gọi ai.
A fiuk elkezdtek üvölteni, vonitani, tombolni és toporzékolni s a sok éles hang kaczagva visszhangozta: Bovarikár!	Một tình trạng huyên náo liền nổi lên, càng ngày càng tăng, với những tiếng la the thé (chúng tôi nhắc đi nhắc lại: Sácbôvari!
Bovarikár!	Sácbôvari!
Majd, lassankint, csöndesedni kezdett az osztály, az általános hahota elcsitult s a kaczagás szórványosan hallatszott, de a vidámság csak nem akart csillapodni, ki-kitört ujra, s mint a félig elsült petárda, mely még sistereg és fel-felpukkan, hol az egyik, hol a másik padsorban ujra meg ujra felhangzott a fojtott nevetés.	), rồi kéo dài thành những âm thanh lẻ tẻ, lắng xuống một cách khó khăn, đôi lúc lại đột khởi ở một hàng ghế vài tiếng cười cố nhịn và vẫn cứ vọt ra như những chiếc pháo tắt dở.
Az uj fiu megindult, de a következő pillanatban eszébe jutott valami, s megállott, tétovázva.	Hắn đứng dậy, nhưng trước khi đi, hắn ngập ngừng.
– Mit keres?	Thầy giáo hỏi:
– kérdezte a tanár.	-Em tìm gì?
– A sapk… – felelt félénken a fiu, nyugtalanul tekintgetve körül.	-Cái m...ũ ạ, -người học trò mới rụt rè đáp lại; đưa cặp mắt lo lắng nhìn xung quanh.
– Ötszáz verset kap az egész osztály!	- Cả lớp chép phạt năm trăm câu thơ!
– kiáltott fel a tanár dühösen, s ez a pár szó, mint a Quos ego, elejét vette egy ujabb viharnak.	- Tiếng quát giận dữ của thầy giáo như một lời nạt nộ chặn đứng trận cười mới -Ngồi im!
– Nem tudnak nyugodtan maradni?!	- Thầy giáo phẫn nộ nói tiếp.
Aztán, szelidebb hangon:	Rồi dịu giọng lại, thầy nói:
A csend helyreállott.	Lớp học trở lại hoàn toàn im lặng.
Ilyenkor egyet simitott az arczán, s aztán megint mozdulatlan maradt; még csak fel se tekintett.	Nhưng hắn chỉ lấy tay chùi, rồi lại ngồi yên không nhúc nhích, cúi gằm xuống.
Este, a dolgozó-szobában, kivette fiókjából a mancsettavédőjét, gondosan elrendezte az irásait, s hozzá látott a feladatához.	Buổi tối, đến giờ tự học, hắn rút chiếc tay áo giả từ ngăn bàn viết ra, xếp đặt gọn gàng mọi đồ dùng, kẻ giấy cận thận.
Láttuk, hogy roppant lelkiismeretesen dolgozik; minden szót kikeresett a szótárból, s iszonyuan törte magát, hogy semmit el ne mulaszszon.	Chúng tôi thấy hắn học tập cần cù, chữ nào cũng tra tự điển ra chiều vất vả lắm.
Bizonyára ennek a nyilvánvaló buzgalomnak köszönhette, hogy meghagyták a magasabb osztályban, mert, bár alaposan bevágta a leczkéit, valami gyors felfogást s nagy tanulékonyságot nem igen tanusitott.	Chắc là nhờ có cái quyết tâm học tập như thế, hắn mới không đến nỗi phải tụt xuống lớp dưới, vì tuy hắn có tạm thuộc các quy tắc đấy, câu văn của hắn vẫn chẳng được gọn gàng thanh nhã.
Eddig mindössze egy kis latin nyelvet tanult, a falujabeli paptól; mert szülei takarékosságból csak akkor adták be a kollégiumba, amikor már lehetetlen volt tovább halasztani a dolgot.	Chẳng là ông mục sư ở làng đã vỡ lòng cho hắn về môn la-tinh; cha mẹ hắn ngại tốn kém cứ lần lữa mãi mới cho hắn đến trường trung học.
Atyja: Bovary Károly Dénes Bertalan ur, hajdan al-ezredorvos volt, de az 1812-iki katona-állitás alkalmával valami kellemetlen ügybe keveredett, s e miatt kénytelen volt szolgálatát elhagyni.	Cha hắn, ông Sáclơ Đơmi Báctôlêmê Bôvary, nguyên là phụ tá phẫu thuật quân y khoảng năm 1812 có liên can vào những vụ trưng binh, đã buộc phải thôi việc.
Bovary ur szép ember volt, nagyokat tudott hazudni, a sarkantyuja vigan pengett, gyönyörü pofaszakállt hordott, mely összenőtt a bajuszával, az ujja mindig tele volt gyürüvel, feltünően öltözködött, olyan volt, mint egy hős, s ugy tudott beszélni, mint egy vigécz.	Điển trai, khoác lác, hay khoe tài khoe giỏi ông ta để râu má nối liền ria mép, luôn luôn đeo nhẫn; ăn mặc lòe loẹt, có vẻ một "người hùng", với cái hoạt bát dễ dàng của một kẻ chào hàng.
Mikor megházasodott, két vagy három esztendeig a felesége vagyonából élt: jól evett-ivott, későn kelt, egész nap porczellán-pipáját szitta, este kávéházba ment és csak szinház után vetődött haza.	Lấy vợ rồi, ông ta sống ỷ lại hai ba năm vào lưng vốn của vợ, ăn ngon, dậy muộn, hút thuốc bằng những chiếc tẩu sứ to tướng, đêm đêm xem hát khuya mới về, và thường hay lui tới các tiệm cà phê.
Bovary ur dühbe jött, bele fogott egy-két ipar-vállalatba, elvesztett néhány ezer frankot, azután elhatározta, hogy falura költözik gazdálkodni; lehetetlen, hogy ezen a téren ne érvényesüljön.	Nhưng vì ông ta chẳng thạo nghề canh tác hơn nghề làm vải hoa, nên đáng lẽ dùng ngựa để cày lại đem ngựa đi cưỡi, đáng lẽ đưa rượu tần để bán lại uống hàng chai.
Kibérelt, kétszáz frankért évenkint, Pays de Caux*-nak és Picardiának a határszélén, egy majort, mely kuriának is beillett, s melyre csak ugy véletlenül bukkant rá; és elkeseredve, dühösen az egész világra, vádolva eget és földet, negyvenöt éves korában visszavonult ebbe a remeteségbe, mert – amint mondani szokta – megutálta az embereket, s ezentul már békében akar élni.	Ông tìm thuê được một nơi ở giá hai trăm quan một năm, vừa có dáng dấp trại ấp, vừa có dáng dấp nhà riêng, tại một làng giáp với xứ Cô và xứ Picacđi; rồi ông cố thủ ở đó ngay từ năm bốn mươi lăm tuổi, lòng buồn bực, hối tiếc, giận trời, ghen thiên hạ; ghét người đời, như ông nói, và nhất quyết sống yên thân.
A felesége valamikor őrülten szerette Bovary urat; valóságos szolgálójává lett, ami férjét csak még inkább elidegenitette tőle.	Vợ ông ta xưa kia mê say ông quá đỗi, yêu ông bằng lối phục tùng, khúm núm, khiến ông lại càng xa cách bà ta hơn.
Fiatal korában vidám, közlékeny, kedves teremtés volt szegény, de ahogy megöregedett – hasonlóan a levegőn felejtett borhoz, amely megeczetesedik – házsártos, nyafogó, ideges vénasszony lett belőle.	Xưa kia bà vui vẻ, cởi mở, đằm thắm bao nhiêu, thì nay, càng trở về già (chẳng khác rượu vang hả hơi ngả thành giấm), bà càng sinh khó tính, lắm điều, nóng nảy bấy nhiêu.
Nem sirt többé s nem veszekedett.	Nhưng rồi sau lòng tự tôn nổi dậy.
Különben nem is ért volna rá férjével vitatkozni; egész nap lótott-futott, mindig volt valami dolga.	Bà chẳng nói chẳng rằng, nuốt thầm uất hận với một sự kiên nhẫn, trầm lặng cho đến khi chết.
Ő járt az ügyvédekhez, a birósághoz; ő tartotta nyilván a kötelezettségek lejáratát, s ő eszközölte ki a sok halasztást; otthon pedig varrt, mosott, vasalt, ügyelt a munkásokra, fizette a számlákat, mig Bovary ur, nem törődve semmivel a világon, s belesüppedve világgyülöletből fakadt álom-kórságába – melyből koronkint csak azért ébredt fel, hogy kellemetlenségeket mondjon a feleségének – nyugodtan pipázott a tűzhely mellett, s bele-bele köpött a hamuba.	Lúc nào bà cũng tất bật, hết chạy đến phòng bọn luật sư, đến nhà viên chánh án, lại lao vào việc thương lượng, khất khứa; khi nhớ tới kỳ hạn các phiếu nợ, và, khi ở nhà, nào khâu, nào giặt, nào là quần áo, trông coi thợ thuyền, thanh toán công xá, còn ông thì chẳng lo tới việc gì, suốt ngày mỏi mệt, bực bội trong giấc ngủ gà ngủ vịt, động mở mắt ra là tiếng bấc tiếng chì, ngồi hút thuốc bên đống lửa, khạc nhổ vào đống tro.
Mikor Bovarynénak gyereke lett, a csecsemőt ki kellett adni dajkaságba.	Khi bà sinh một đứa con bà phải gửi nó cho vú nuôi.
Ahogy aztán visszakerült hozzájok, nagyon elkényeztették a szegény kis porontyot.	Đến khi trở về với cha mẹ, chú bé được chiều chuộng như ông hoàng.
Bovary ur filozóf volt, s azt tartotta, hogy a gyermekeknek legjobb volna egészen meztelenül járniok; a vadállatok kölykei is úgy nőnek fel, azért elég erősek.	Ngược lại khuynh hướng của bà mẹ, ông bố giữ trong đầu óc một thứ lý tưởng hùng tráng về tuổi thơ.
A kis fiunak fütetlen szobában kellett hálnia; rá szoktatta, hogy pohárszámra igya a rumot, s csúfolódjék, hogyha proczessziót lát.	Ông cho nó đi ngủ mà chẳng đốt lò sưởi, tập cho nó uống từng ngụm lớn rượu rum và dạy nó miệt thị các đám rước.
De a gyermek jámbor természetü volt, s nem igen felelt meg a várakozásának.	Nhưng chú bé, vốn tính ôn hòa, chẳng đáp ứng được công sức của ông bố.
Anyja mindig magával hurczolta; papirból figurákat vagdalt ki neki; mesével, történetekkel mulattatta, s végtelen monológokat intézett hozzá, kissé melankolikusan vidám monológokat, amelyek tele voltak csacsogó hizelkedéssel.	Bà mẹ đi đâu cũng kéo con đi theo; bà cắt đồ giấy cho con chơi, kể chuyện cho con nghe, nựng con không dứt bằng những lời độc thoại chan chứa niềm vui cay đắng và bằng những lời vỗ về lảm nhảm.
Életének nagy magánosságában ezt a gyermek-fejet tette a középpontjává mindannak, ami megtört hiuságából és szétfoszlott reménységeiből még megmaradt.	Qua đời sống cô quạnh của mình, bà trút lên đầu chú bé tất cả những mộng ảo tản mạn tan vỡ của mình.
Ábrándozott, hogy fiának nagy jövője lesz; már látta nagynak, szépnek, elmésnek, valami előkelő hivatalban, mint főmérnököt vagy államtitkárt.	Bà mơ ước cho con những địa vị cao sang, tưởng tượng con đã thành đạt đẹp trai, linh lợi, có vai vế trong ngành cầu đường hoặc trong ngành tư pháp.
Megtanitotta olvasni, sőt még ének-leczkéket is adott neki, s ócska zongorája mellett bele vert a fejébe két-három kis románczot.	Bà cho con tập đọc và nhân có chiếc đàn pianô đã cũ, bà còn dạy cả nó hát vài bài tình ca nho nhỏ.
Követte a munkára menőket, s göröngygyel hajigálta meg a hollókat, amelyek megriadva repültek tova.	Hắn đi theo những người cày ruộng, lấy đất ném cho quạ bay đi.
Persze, ugy nőtt, mint a sóska, Erős volt, mint a fiatal tölgy; a jégeső se árthatott neki.	Cho nên hắn lớn như thổi, mạnh chân khỏe tay, đỏ da, thắm thịt.
Olyan keze lett, mint egy kovács-legénynek; az arczáról szinte kiabált az egészség.	Khi hắn mười hai tuổi, mẹ hắn đã xin được cho hắn học vỡ lòng.
Aztán rábizták a papra.	Người ta cậy cha xứ làm việc đó.
De ennek a tanulásnak nem lehetett valami nagy foganatja, a leczke egy kicsit rendetlenül járt ki, s akkor is mindössze egy pár perczig tartott.	Nhưng các buổi học quá ngắn và quá loạc choạc thành chẳng bổ ích gì mấy.
Többnyire a sekrestyében kapott "órát", olyankor, mikor a pap nem tudta mivel eltölteni az időt, egy keresztelő meg egy temetés között; ilyenkor állva, futtában, elmagyarázott a fiunak egyetmást, amivel az bizony nem mehetett sokra.	Học vào những lúc rỗi rãi, học trong phòng mặc áo lễ, phải đứng mà học, học vội học vàng giữa khoảng một cái lễ rửa tội và một đám tang, hoặc sau ba buổi cầu kinh hàng ngày khi cha xứ chẳng phải đi đâu.
Meleg volt, a gyermek elaludt; nemsokára a jó öreg tisztelendő ur is elszunnyadt, s kezét hasán nyugtatva, hortyogni kezdett, nyitott szájjal, úgy, hogy messze elhallatszott.	Trời thì nóng bức, chú bé ngủ thiếp đi, còn ông già, tay đặt lên bụng, cũng lim dim đôi mắt và chẳng bao lâu, ngáy khò khò; miệng há hốc.
