ELSŐ RÉSZ	PHẦN THỨ NHẤT
A tengeren	NGOÀI BIỂN
ELSŐ KÖNYV	QUYỂN I
A Saudraie erdejében	KHU RỪNG SAUDRAIE
Az 1793-as esztendő májusának utolsó napjaiban az egyik párizsi zászlóalj, melyet Santerre1 vezényelt Bretagne-ba, átkutatta az astilléi félelmetes Saudraie erdőt.	Vào những ngày cuối tháng 5 năm 1793, một trong số những tiểu đoàn quân Paris do Santerre đưa về Bretagne đang sục sạo khu rừng Saudraie khủng khiếp ở vùng Astillé.
A katonák mindössze háromszázan voltak, a kemény háború ennyire apasztotta le a zászlóaljat.	Họ không còn quá ba trăm vì tiểu đoàn đã bị tiêu hao trong cuộc chiến tranh ác liệt này.
Ez abban az időben történt, amikor Argonne, Jemmapes és Valmy csatái után, az első párizsi zászlóalj hatszáz önkénteséből már csak huszonhét ember maradt, a másodikból harminchárom és a harmadikból ötvenhét.	Đó chính là thời kỳ mà, sau Argogne, Jemmapes và Valmy , tiểu đoàn Paris thứ nhất từ sáu trăm quân tình nguyện thì chỉ còn lại hai mươi bảy người; tiểu đoàn thứ hai còn ba mươi ba, và tiểu đoàn thứ ba còn năm mươi bảy.
A Párizsból Vendée-ba küldött zászlóaljak összesen kilencszáztizenkét embert számláltak.	Những tiểu đoàn từ Paris đến Vendée gồm có chín trăm mười hai người.
A Bon-Conseil körzet2 április 25-én - Gohier volt az igazságügy- és Bouchotte a hadügyminiszter - azt javasolta, hogy önkéntes csapatokat küldjenek Vendée-ba; a javaslatot Lubin tanácstag terjesztette elő, és május 1-én Santerre tizenkétezer katonája harminc tábori ágyúval és egy zászlóaljnyi tüzérrel harcra készen állott.	Ngày 25 tháng 4, hồi ông Gohier đang làm bộ trưởng Tư pháp và ông Bouchotte làm bộ trưởng Chiến tranh, phân bộ của Hội đồng dân ước đã đề nghị gửi các tiểu đoàn quân tình nguyện đến Vendée; ông Lubain, ủy viên Công xã đã làm phúc bẩm; ngày 1 tháng 5, Santerre đã sẵn sàng cho xuất phát một vạn hai nghìn quân, với ba chục khẩu dã pháo và một tiểu đoàn pháo thủ.
Nincs kegyelem." Tizenkétezren indultak el Párizsból; május végére nyolcezer halottjuk volt.	Đến cuối tháng năm, trong số một vạn hai nghìn quân từ Paris ra đi, tám nghìn đã tử trận.
Egyszerre kémleltek jobbra, balra, előre, hátra; Kléber3 megmondta: "A katonának még a hátán is szeme legyen." Már régen úton voltak.	Họ nhìn bên phải, bên trái, trông trước, trông sau; Kléber đã từng nói: Con nhà lính có một con mắt sau lưng.
A nap melyik szakában jártak?	Lúc này, độ mấy giờ rồi?
Saudraie erdeje félelmetes volt.	Khu rừng Saudraie hồi đó thật bi thảm.
Sűrűiből indult bűnös útjára 1792 november havában a polgárháború; Mousqueton,4 ez a sánta, vérengző vad, ebből a gyászos vadonból kúszott elő; vérfagyasztó volt az itt legyilkoltak tömegére gondolni.	Chính nơi đây, kể từ tháng 11 năm 1792, cuộc nội chiến đã bắt đầu gây ra tội ác: Mousqueton, tên thọt hung hãn, cũng đã xuất hiện từ những khu rừng rậm thảm khốc này: tính số vụ giết người xảy ra ở đây cũng đủ dựng tóc lên.
Nem volt ennél borzalmasabb hely.	Chẳng còn nơi nào khủng khiếp hơn.
A katonák óvatosan nyomultak előre.	Binh sĩ tiến vào sâu một cách thận trọng.
A földet mindenütt virág borította; az ágak szőtte remegő falakból a levelek édes frissesége áradt; a nap sugarai itt-ott átdöfték a zöld félhomályt, és megvilágították azt a süppedő, vastag szőnyeget, melyet a kardvirág, a mocsári írisz, a réti nárcisz, a szellőrózsa - ez a jó időt hirdető kis virág - és a tavaszi sáfrány terített a katonák lába elé, s amelyet mindenféle, többek közt hernyó és csillag alakú moha borított.	Khắp nơi ngập đầy hoa; xung quanh họ, một bức thành kết bằng cành cây run rẩy, lá cây toát ra hơi mát thú vị; đây đó, tia nắng xuyên qua những lớp bóng tối xanh rờn; dưới đất, hoa lay-ơn, hoa diên vĩ, hoa thủy tiên dại, hoa giê-nốt - thứ hoa nhỏ này thường báo trước thời tiết êm ả - và hoa nghệ mùa xuân thêu dệt, trang điểm một tấm thảm bằng cây cỏ, trong đó mọc chi chít tất cả các loài rêu, từ thứ rêu trông như sâu róm đến thứ rêu giống hệt ngôi sao.
A csapat lépésről lépésre haladt, halkan, csendesen hajtogatva a bozótot.	Binh sĩ tiến từng bước, lặng lẽ, nhẹ tay rẽ bụi.
A bajonettek fölött madarak csicseregtek.	Chim ríu rít trên đầu lưỡi lê.
A Saudraie olyanféle rengeteg volt, amelyben valamikor békés időkben Houiche-bá-t, azaz éjszakai madarászást rendeztek; most emberre vadásztak benne.	Rừng Saudraie là một trong những cánh rừng rậm, ở đó, ngày xưa, thời thái bình, người ta đã săn chim ban đêm; bây giờ ở đây, người ta săn người.
