HOMÉROSZ	Homer
Odüsszeia	Iliad và Odyssey
ELSŐ ÉNEK –	Khúc 1
mert önnön buta vétkeikért odavesztek a társak,	Chỉ có Odysseus dù rất mong muốn không trở về gặp lại hiền thê.
Istennő, Zeusz lánya, beszélj minekünk is ezekből. Hát aki megmenekült meredek vészből, valamennyi	Thời gian xoay vần, năm tháng đổi thay, kéo tơ dệt chỉ, thần linh quyết định cho về Ithaka.
azt mondják, a csapás mind tőlünk jön, de bizony hogy	Theo lệnh ngô bối sứ giả thận trọng nói vậy.
Argoszölő Hermészt küldtük ki, a messzirelátót,	Kẻ nào xử sự như y sẽ chịu số phận tương tự!
messze szeretteitől aki búban tűri a sok kínt,	Thế mà phụ vương chẳng mảy may động lòng!
s bűvöli folyton lágy, hízelgőhangu szavakkal,	"Làm sao ta có thể quên Odysseus khả ái?
s halni kiván.	Không!
meddő-tengeren-úr Phorküsznak a lánya, egy öblös	Poseidon sẽ phải kiềm chế, đè nén hận thù.
majd Ithakába megállt, Odüszeusz kapujának előtte,	Telemachos nói lớn, lời như có cánh bay xa: "Kính chào quý khách!
És a vitéz kérőkre talált tüstént, kik az ajtón	Nói rồi Telemachos đi trước dẫn đường, Pallas Athena theo sau.
"Üdvözlégy, idegen, szivesen fogadunk; legelőször végy lakománkban részt, azután mondd el, mi a célod."	Dáng vẻ kênh kiệu lần lượt đi vào, đám cầu hôn ngồi thành hàng trên ghế thường, ghế bành.
s székre leültetvén, teritett szőttest is a székre,	Đám này đưa tay với thức ăn ngon lành bày trước mặt.
Azután meg	Ôi chao!
mindegyikük jobban sóvárgana fürge inakra,	Ngày ấy đã vĩnh viễn ra đi!
Csakhogy a rossz sors őt bizony elveszitette, nekünk sincs	Dẫu thế xin thành thật cho bản nhân hay quý khách là ai?
honnan jössz te, ki vagy?	Từ đâu tới?
hol a városod és a szülőid?	Thành phố nào?
hogy hoztak?	Song thân ra sao?
most legelőször jössz hozzánk, vagy az édesapámnak	Làm thế nào tay chèo đưa quý khách lên bờ ở Ithaka?
jó sokan, és ő is forgott házába sokaknak."	Họ là người đất nào?
még az apákról; csak kérdd meg, ha kivánod, az agg hőst,	Bỉ nhân là thủ lĩnh người Taphian, tay chèo lành nghề.
Mondta az istennő ismét, a bagolyszemü Pallasz:	Bây giờ xin nói cho hay và trả lời chính xác.
isteneink, ha ilyennek szült meg Pénelopeia.	Có thực công tử là con Odysseus không?
mért lakomáznak ilyen sokan itt?	Sao chóng lớn thế!
Nem látszik társaslakomának.	Giống như hai giọt nước!
elrejtették őt jobban, mint bármelyik embert	Chẳng ai biết thân phụ mình thực sự ra sao.
S nem is őt siratom csak ilyen keseregve,	Tiệc tùng kia là thế nào?
Mert kit a szomszédos szigetek csak körben uralnak,	Công tử có cần số người ấy không?
Dúlikhion, Számé, s erdőboritotta Zakünthosz,	Bữa ăn thân mật công tử thết đãi hay tiệc tùng cưới hỏi?
és sziklás Ithakának ahány fejedelme akad még,	Hiển nhiên số người đó không góp phần.
