Jane Austen	Jane Austen
Büszkeség és balítélet	Kiêu Hãnh Và Định Kiến
I. KÖNYV	Tập I
1. FEJEZET	Chương 1
Ál­ta­lá­no­san el­is­mert igaz­ság, hogy a le­gény­em­ber­nek, ha va­gyo­nos, ok­vet­le­nül kell fe­le­ség.	Có một sự thật mà ai cũng công nhận, đấy là: một người đàn ông có một tài sản khá hẳn sẽ muốn có một người vợ.
Ez az igaz­ság oly mé­lyen be­vé­ső­dött a vi­dé­ki csa­lá­dok lel­ké­be, hogy ha ilyen em­ber csöp­pen a szom­széd­sá­guk­ba, rög­tön egyik vagy má­sik le­á­nyuk jog sze­rin­ti tu­laj­do­ná­nak te­kin­tik, még ha nem is­me­rik is ér­zé­se­it vagy né­ze­te­it.	Dù cho người ta chỉ biết rất ít về cảm nghĩ hay quan điểm của người đàn ông như thế, khi anh ta đến cư ngụ trong vùng, sự thật ấy đã in sâu vào đầu óc của những gia đình sống xung quanh, đến nỗi họ xem người đàn ông này là tài sản hợp pháp của cô con gái này hay cô con gái kia của họ.
Mr. Bennet azt vá­la­szol­ta, hogy er­ről nem tud.	Ông Bennet trả lời rằng ông chưa biết.
– Mrs. Long az imént járt itt, és min­dent el­me­sélt.	Bà Long đã đi đến đấy, và đã kể cho tôi nghe tất cả việc này.
Mr. Bennet nem fe­lelt.	Ông Bennet lắng nghe và không trả lời.
– Nem is kí­ván­csi, hogy ki a bér­lő?!	Bà vợ mất hết kiên nhẫn nói:
– ki­ál­tot­ta az asszony tü­rel­met­le­nül.	- Ông có muốn biết ai vừa dời đến không?
Az asszony­nak nem kel­lett több biz­ta­tás.	Thế là đủ khuyến khích cho bà nói tiếp.
– Bingley.	- Bingley.
– Nőt­len, drá­gám, per­sze hogy az!	- À, chắc là vẫn còn độc thân.
Nőt­len em­ber, még­hoz­zá va­gyo­nos; négy-öt­ezer font az évi jö­ve­del­me.	Một người độc thân với khoản lợi tức lớn, bốn hay năm nghìn bảng mỗi năm.
Mit szól, mi­lyen sze­ren­cse ez a mi lá­nya­ink­nak!	Kể ra đó là điều hay cho mấy đứa con gái nhà ta!
– Hogy ér­ti ezt?	- Hay như thế nào?
Ter­mé­sze­te­sen ar­ra gon­do­lok, hogy egyik lá­nyun­kat fe­le­sé­gül ve­szi.	Ông phải hiểu là tôi đang nghĩ đến việc anh ta sẽ cưới một trong mấy đứa nhà ta chứ.
– Ta­lán ez­zel a szán­dék­kal te­lep­szik itt le?	- Thế anh chàng ấy có ý định như thế khi đến đây à?
Hogy mond­hat ilyen sü­let­len­sé­get!	Làm sao ông có thể nói càn như thế?
De egyi­kük­be fel­tét­len be­le­sze­ret, s ezért rög­tön meg kell lá­to­gat­nia, mi­helyt ide­ér­ke­zik.	Chỉ có điều rằng anh ấy có thể yêu một trong các con ta, vì thế ông phải đi viếng thăm anh ta càng sớm càng tốt.
– Drá­gám, ne hí­ze­leg­jen!	- Thôi ông ơi, ông lại tâng bốc tôi rồi.
Nem mon­dom, vol­tam én is csi­nos, de most már nem tar­tom ma­gam kü­lö­nös szép­ség­nek.	Chắc chắn tôi đã từng có thời xuân sắc, nhưng bây giờ tôi không thể coi mình là đặc biệt.
Ha egy asszony­nak öt el­adó lá­nya van, ne tö­rőd­jék töb­bet a szép­sé­gé­vel.	Khi một người đàn bà đã có năm đứa con gái trưởng thành thì không nên nghĩ đến sắc đẹp của mình nữa.
Gon­dol­ja meg, mi­lyen sze­ren­cse len­ne ez egyi­kük­nek.	Chỉ cần nghĩ một trong chúng sẽ đạt được những gì.
Ennyit meg­te­het, mert hogy néz ki, ha mi csak úgy be­ál­lí­tunk.	Ông hẳn biết họ thường không thích thăm viếng người mới đến.
– Mi­re va­lók az ilyen ag­gá­lyok?	- Bà thật là cẩn thận quá đáng.
Mr. Bingley bi­zo­nyá­ra na­gyon szí­ve­sen lát­ja ma­gu­kat; majd át­ad­nak ne­ki né­hány sort, amely­ben atyai ál­dá­so­mat adom, ha a lá­nyok bár­me­lyi­két fe­le­sé­gül akar­ja ven­ni – no­ha a ma­gam ré­szé­ről a kis Lizzy mel­lett emel­nék szót.	Tôi tin chắc rằng anh Bingley sẽ lấy làm vui lòng khi gặp bà, còn tôi sẽ gửi bà mang đi ít dòng để cho anh ta hiểu rằng tôi sẵn lòng chấp nhận, nếu anh ta chọn một trong mấy đứa con gái của mình, mặc dù tôi sẽ có ít chữ đề cao con Lizzy.
– Ilyes­mi ne is jus­son az eszé­be.	- Tôi mong rằng ông không làm như thế.
