QUO VADIS?	Quo Vadis
SIENKIEWICZ HENRIK	Henryk Sienkiewicz
ELSŐ KÖTET.	Tập 1 - Chương 1
Petronius csak déltájban ébredt föl, de azért mégis, mint rendesen, nagyon bágyadtnak érzé magát.	Hôm qua, ông ấy dự yến tiệc ở nhà Nêrô, bữa tiệc kéo dài mãi tận khuya.
Az előtte való nap Nero lakomáján vett részt, mely késő éjjelig tartott.	Từ một lúc nào đấy, sức khỏe của ông bắt đầu suy sụp.
Egy idő óta folyton-folyvást egészségére panaszkodott és azt állította, hogy reggel mindig szinte meg­bénulva ébred föl és képtelen gondolatait összeszedni.	Chính ông bảo rằng, buổi sáng khi tỉnh giấc ông cảm thấy như bị liệt cả người và không sao tập trung tư tưởng nổi.
Akkor aztán ujfent szellem és vidámság ragyogott szeméből; megifjultnak, élettel teljesnek, külső megjelenésében tökéletesnek látszott.	Ngay cả đến chàng Otho cũng không thể sánh cùng ông, quả đúng là cái tên người ta vẫn gọi ông: arbiter elegantiarum.
Ama lakoma után későn kelt föl és a fürdőbe ment.	- ông dậy muộn và đi tắm như thường lệ.
Csak jó idő mulva nyitotta ki szemét, és a hallgatást megszakítva, az időjárás felől kérdezősködött s aztán megtudakolta, vajjon Idomen ékszerész elküldé-e megtekintés végett az igért gemmákat és ime kitünt, hogy az idő szép, gyönge szellő fuj az albai hegység felől, de az ékszerész a gemmákat nem hozta el.	Một lát sau, ông cất tiếng và mở mắt ra; ông bắt đầu hỏi han về thời tiết, sau đó về mấy viên ngọc chạm mà lão thợ kim hoàn Idomen đã hứa là hôm nay sẽ gửi tới cho ông xem… Thì ra, trời rất đẹp với gió nhẹ từ núi Anban thổi tới, còn số ngọc chạm thì vẫn chưa được mang đến.
Petronius ismét behunyta szemét és megparancsolta, hogy a tepidariumba2 vigyék őt.	Petronius nhắm mắt lại và ra lệnh chuyển ông sang phòng ấm.
Ekkor a kárpit megmozdult; a nomenclator3 azt jelenté, hogy az ifju Marcus Vinicius, ki éppen most tért vissza Kis-Ázsiából, látogatást akar nála tenni.	Vừa lúc đó, từ sau bức trướng che, viên xướng danh ló vào báo tin chàng Markux Vinixius trẻ tuổi vừa từ Tiểu Á trở về xin vào thăm ông.
Petronius azt parancsolta, hogy a vendéget vezessék a tepidariumba, ahová tüstént odaviteté magát.	Petronius truyền cho mời khách vào phòng ấm rồi tự mình bước sang đó.
Vinicius legidősebb nénjének fia volt, ki évekkel előbb Marcus Viniciushoz ment férjhez, a ki Tiberius alatt a consulares közé tartozott.	Vinixius là con trai của chị ông, người mà nhiều năm về trước đã kết hôn cùng Marek Vinixius, cựu chấp chính quan từ thời Tyberius.
- Légy üdvöz, Petronius - kiáltá a fiatal ember, rugalmas léptekkel a tepidariumba menve - az istenek teljesítsék minden óhajtásodat, de kivált Asklepios4 és Kypris,5 mert az ő közös oltalmuk alatt nem lehet semmi bajod.	- Xin kính chúc sức khỏe cậu Petronius, - chàng trai vừa nói vừa bước những bước mềm mại vào phòng ấm, - Cầu tất cả các thần linh ban phước lành cho cậu, nhất là Axklepios và Kipryđa, vì dưới sự che chở của hai vị thần đó thì không thể có sự rủi ro nào xảy đến với cậu.
Eljutottál Bithyniába is ázsiai tartózkodásod alatt?	Lúc tiêu dao ở châu Á anh có ghé thăm Bitynia chứ?
Petronius egy ideig helytartó volt Bithyniában.	Hồi trước Petronius là tổng đốc Bitynia, ông đã cai trị xứ ấy một cách mềm dẻo và công minh.
- Ah, Heraclea!	- Ôi! Heraklea!
Ott egy kolchisi leányt ismertem.	Song đó là chuyện xưa rồi.
- Corbulo!	- Korbulon!
Én már azért is nagyon ragaszkodom hozzá, mert Nero tart tőle.	Cậu thích ông ta, ít nhất thì cũng là vì Nerô sợ ông ta.
- Corbulo nem ostoba ember.	- Ngài Korbulon đâu phải là kẻ ngu xuẩn.
- Igazad lehet, de hiszen az teljesen mindegy.	- Có thể là anh có lý, song thực ra chuyện đó cũng chẳng có ý nghĩa gì.
Az ostobaság, mint Pyrrhon mondja, semmiben se rosszabb, mint a bölcseség és semmiben se különbözik tőle.	Sự ngu xuẩn, nói như Pyron, hoàn toàn không tồi tệ hơn và cũng chẳng khác gì sự thông thái.
Vinicius, persze éppen Asklepios és Kypris oltalmába ajánlotta őt.	Sức khỏe!… Không, ông không cảm thấy mình khỏe chút nào.
Itt Petronius elnevette magát, de aztán folytatá:	Nghĩ tới đây, Petronius bật cười nói tiếp:
Nos, azt gondoltam: akár használ, akár nem használ, de semmi esetre sem árt.	Cậu tự nhủ rằng: có ích thì không có ích, nhưng cũng chẳng có hại gì.
Habár az emberek a földön az isteneknek még folyvást mutatnak be áldozatokat, mégis azt hiszem, hogy mindnyájan ugy gondolkoznak mint én.	Sở dĩ trên đời người ta vẫn đang hiến dâng lễ vật cho các thần chẳng qua là vì mọi người đều nghĩ như cậu mà thôi.
Kivéve talán az öszvér­hajcsárokat, kik a Porta Capenánál az utasokhoz beszegődnek.	Có lẽ chỉ trừ bọn đánh la thuê cho khách bộ hành ở Porta Capena.
Természetesen tudtam, hogy csalók, de ismét azt gondoltam magamban: mit árthat az nekem?	Có điều cần phải có đủ trí thông minh để biết phân biệt giữa ảo giác sướng và ảo giác khổ.
És ami Kyprist illeti, akinek ajánlottál, az ő oltalmát mindjárt arról ismertem meg, hogy jobb lábam szárában soha nem érzek szaggatást.	Còn nếu nói về nữ thần Kipryđa mà anh đã giới thiệu thì cậu cũng đã từng được nếm sự che chở của nàng đến nỗi phải bị chích máu ở chân phải.
- Ugy van! - viszonzá Vinicius.	- Thề có các đầu gối trắng phau của các nữ thần Kharyta!
- A charisok fehér térdeire, ezt egyszer részletesen kell elmondanod!	- Cháu tới đây chính là để khẩn cầu lời khuyên bảo của cậu.
- kiáltá Petronius.	- chàng Markux đáp.
Ebben a pillanatban az epilátorok7 léptek be, kik Petronius körül forgolódtak, míg Marcus leveté tunikáját és egy langyos vizzel telt kádba lépett.	- Petronius vừa nói vừa ngắm nghía thân hình trẻ trung như được tạc bằng cẩm thạch của Vinixius.
Petronius a művész csodálkozó szemével nézett az ifjura.	Ông Petronius nhìn chàng bằng ánh mắt hài lòng của một nghệ sĩ.
- Meg akarod-e hallgatni?	- Anh có muốn nghe không?
- kérdé Petronius.	- Petronius hỏi.
- Szivesen, ha a te munkádról van szó!	- Nếu là tác phẩm của cậu thì cháu rất vui lòng!
- viszonzá Marcus - különben jobb szeretnék veled beszélgetni.	- Vinixius đáp - còn nếu không thì cháu muốn được chuyện trò hơn.
Jelenleg a költők minden utcasarkon úgy fogják el hallgatóikat.	Thời bây giờ bọn thi sĩ cứ rình tóm lấy người ta ở từng góc phố.
- Ugy van.	- Chứ sao nữa!
Az ember sem a bazilikák, sem a thermák, sem a könyvtárak, sem a könyvesboltok előtt nem mehet el anélkül, hogy egy majom módjára hadonászó költőbe ne botoljék.	Không có một nhà thờ nào, không một nhà tắm công cộng, một thư viện hay hiệu sách nào mà khi đi ngang qua, anh không thấy một gã thi sĩ đang múa may như khỉ.
Mikor Agrippa a Keletről hozzánk jött, ördöngőseknek tartotta őket.	Khi từ Phương Đông tới đây, Agrypa cứ ngỡ bọn chúng là người điên.
De ezt éppen most a kor hozza magával.	- Sao lại "tội nghiệp" ạ?
Ha a császár verseket ir, mindenkinek az ő példáját kell követnie.	Bây giờ thì khắp tứ phía người ta đều gào lên: "Xcandala, Xcandala".
Csak jobb verseket nem szabad irni senkinek, mint a császáré és ezért aggódom kissé Lucanus miatt... De én csak prózát irok, azzal pedig se magamat, se mást nem kínzok.	Ở hiệu sách của Avirunux hiện đang có một trăm tên ký lục sao lại quyển sách này theo lối đọc chính tả và sự thành công có thể nói là cầm chắc.
- Hallottad-e már Rufinus történetét?	- Trong ấy không có chuyện gì về cậu à?
Ott elmondom neked.	Cậu thì sao cũng xong!
- Ennek igaza van!	- Chưa ạ.
- mondá aztán egy idő mulva.	- Tay này có lý.
- Némi tekintetben.	- Cũng gần đúng như thế.
