A KASTÉLY	LÂU ĐÀI
FRANZ KAFKA	Tác giả: Franz Kafka
Első fejezet	Chương I
Késő este volt, mikor K. megérkezett.	Khi K. đến nơi thì đêm đã khuya.
A falu vastag hó alatt pihent.	Ngôi làng yên nghỉ dưới lớp tuyết dày.
A várhegyet nem lehetett látni, köd és sötétség vette körül, a nagy kastélyt a leghalványabb fény sem jelezte.	Sương mù và bóng tối bao phủ, không thể nhìn thấy ngọn đồi có thành lũy và tòa Lâu đài lớn, dù chỉ là một ít ánh sáng mờ nhạt nhất.
K. sokáig állt a fahídon, mely az országútról a faluba vezetett, és fölnézett a semmibe.	K. đứng hồi lâu trên chiếc cầu gỗ dẫn từ đường quốc lộ vào làng và nhìn vào khoảng không.
Meleg volt, a parasztok hallgattak, fáradt szemével egy ideig még fürkészte őket, aztán elaludt.	K. quan sát họ một lúc bằng đôi mắt mệt mỏi rồi chàng ngủ thiếp đi.
Városi ruhás, színészies arcú, szűk szemű, erős szemöldökű fiatalember állt mellette meg a vendéglős.	Một gã trẻ tuổi mặc quần áo như người thành phố, có khuôn mặt nghệ sĩ, - mắt ti hí, lông mày rậm, - đang đứng bên chàng cùng với chủ quán.
Ott voltak még a parasztok is, egyik-másik meg­fordította a székét, hogy jobban lásson és halljon.	Những người nông dân vẫn chưa về, một số quay ghế lại để nhìn và nghe cho rõ hơn.
- Ez a falu a kastélyé, aki itt lakik vagy éjszakázik, mintegy a kastélyban lakik vagy éjsza­kázik.	- Cái làng này là của Lâu đài, ai sống hoặc nghỉ đêm ở đây cũng đều như là sông hoặc nghỉ đêm trong Lâu đài.
Ehhez pedig grófi engedély kell.	phải được phép của bá tước.
Önnek azonban nincs engedélye, legalábbis nem mutatta meg.	Ngài không có giấy tờ gì, chí ít thì ngài đã không cho chúng tôi xem.
K. fölkönyökölt, megigazította a haját, fölnézett az emberekre, és azt kérdezte:	K. chống hai tay ngồi dậy, vuốt lại tóc, nhìn mọi người, hỏi:
- Milyen faluba tévedhettem?	- Tôi lạc vào làng nào thế này?
Hát van itt valami kastély?	Chẳng lẽ ở đây có Lâu đài à?
- Van hát - felelte a fiatalember kimérten, és K. közben látta, hogy itt is, ott is a fejüket csóválják.	- Có chớ! - gã trẻ tuổi kiên nhẫn trả lời, và K. thấy một vài người lắc đầu.
- Westwest gróf úr kastélya.	- Lâu đài của bá tước West West.
- És engedély kell hozzá, hogy az ember itt éjszakázzék?	- Phải có giấy phép thì mới được nghỉ đêm tại đây à?
