JULES VERNE	JULES VERNE
ELSŐ FEJEZET	CHƯƠNG 1
A SIGMARINGENI VERSENYEN	TẠI CUỘC THI Ở DITMARINGEN
1876. augusztus 5-én, egy szombati napon nagy, zsibongó tömeg töltötte meg a Halász­tanyá­hoz címzett vendéglőt.	Vào ngày đó, thứ bảy 5 tháng tám 1876, cả một đám đông người ồn ào tụ tập tại quán rượu "Cuộc gặp mặt của các ngư dân".
Sigmaringen a Poroszországhoz tartozó, de csaknem a nagy közép-európai folyam eredeténél fekvő hohenzollerni terület-beszögellés székhelye.	Đây là một hội quốc tế bao gồm những ngư dân thuộc nhiều quốc gia khác nhau nằm ở ven sông Danube.
Füstöltek is jócskán, és a nagy termet teljesen betöltötte a hosszú pipákból szüntelenül gomolygó illatos füst.	Họ phì phà thuốc lá và những ống điếu dài lúc nào cũng nhả khói thơm lựng ngập tràn cả gian phòng lớn mời tố.
A Halásztanya asztalai körül összegyűlt körülbelül százfőnyi vendégsereg - jeles bajnokai a horgászbotnak, megszállottjai a pedzőnek, és szerelmesei a horognak - már az ugyancsak kiadós ebéd végén tartott.	Đến lúc tàn tiệc sáng khá là ngon lành, mà tụ hội quanh những cái bàn là hàng trăm khách được mời đến - những dũng sĩ của cái cần câu, những người ủng hộ nhiệt tình con nước, những lẻ si mê cái móc câu.
A délelőtti "munka" nyilván alaposan kiszikkasztotta torkukat, legalábbis erre vallott a tálalón felsorakozó rengeteg palack.	Khỏi phải nói, những chiến công giờ sáng này đã hong khô cổ họng của họ, cứ theo số lượng chai đặt ra trong phiên tráng miệng.
Most csak a különféle pálinka volt soron, amellyel rendszerint a kávét szokták leöblíteni.	Sau đó đến lượt hàng lố chai rượu mùi được quyết định dùng đồ uống thay cho cà phê.
Az igazat megvallva, voltak köztük, akik tántorogtak, és asztalszomszédjaik támogatása nélkül aligha jutottak volna messze.	Thật tình mà nói, trong số họ đã có vài người loạng choạng và họ không thể cất bước nổi nếu không có tay dìu của bạn bè.
Legnagyobb részük azonban szilárdan állt a lábán, mint ahogyan ez illett is a Dunai Liga versenye alkalmából évente többször is megismétlődő, hosszú áldomások derék, elmaradhatatlan résztvevőihez.	Nhưng số đông vẫn còn cứng cựa, như những vị khách quen mắt dũng mãnh và bướng bỉnh của các phiên họp thần thánh kéo dài mà hàng năm đều tái diễn vài lần nhân các cuộc thi của "Hội vùng sông Danube".
