A nap lenyugodni készült a nyugati láthatáron kirajzolódó dombok mögött.	Mặt trời sắp lặn đằng sau những quả đồi phía tây.
Szemközt, keleten és északkeleten, ahol a tenger összeolvadt az égbolttal - néhány felhőcske verte vissza az utolsó napsugarakat, amelyek hamarosan átadták helyüket a déli félteke ötven­ötödik szélességi fokán igen hosszan tartó alkonyat árnyainak.	Về phía trước, mặt biển như hòa vào bầu trời ở phía đông và đông-bắc, những đám mây nhỏ còn phản chiếu những tia nắng cuối cùng, những tia nắng mà chẳng mấy chốc nữa sẽ chìm vào bóng hoàng hôn, một hoàng hôn rất dài ở một nơi có vĩ độ năm mươi lăm độ của nam bán cầu.
Ugyanebben a pillanatban éles fény gyúlt az Elgor-öböltől - amelyben a Santa Fé ágyúnaszád horgonyzott - puskalövésnyire épült világítótorony tetején.	Cùng lúc đó một chùm tia sáng tỏa lan rực rỡ từ đỉnh ngọn hải đăng được xây cách vịnh Elgor, nơi tuần dương hạm Santa-Fé thả neo, một tầm súng.
- Nos, Vásquez - szólt a fiatalabb -, a naszád holnap indul.	- Người trẻ nói - ngày mai chiếc tuần dương hạm mới nhổ neo chứ...
- Igen, Felipe - felelte Vásquez -, és remélem, nem lesz kellemetlen az átkelése a kikötőig.	- Đúng thế Felipe - Vasquez đáp - và tao hy vọng là chuyến đi về này được suôn sẻ.
- Hol van az még, Vásquez!...	- Có xa không anh Vasquez?...
- Oda-vissza egyformán messze, Felipe.	- Chuyến đi bao xa thì trở về cũng y như thế.
- Hát ebben nem kételkedem - vágta rá Felipe nevetve.	- Chưa chắc thế đâu - Felipe vừa cười vừa đáp.
- Meg aztán, Vásquez, Lafayate kapitány jól ismeri az utat... - Amely teljesen egyenes, fiam.	- Và nếu như thuyền trưởng chiếc Lafayate lại rành đường đi nữa thì hẳn là...
Idefelé délnek vette az irányt, most északnak kell tartania, hogy visszatérjen; és ha a szél továbbra is a szárazföld felől fúj majd, akkor a part fedezé­kében úgy hajókázhat, mintha folyóvízen haladna.	- Thì tàu cứ việc thẳng đường mà đi, lúc đi đã theo hướng nam, như vậy lúc về ta cứ hướng bắc mà tiến, và nếu gió cứ tiếp tục thổi từ đất liền ra thì ta cứ men theo bờ biển mà đi, cứ như đi trên con sông mà thôi.
- De olyan folyón, melynek csak egy partja van - felelte Felipe.	- Nhưng con sông đó chỉ có một bờ - Felipe tiếp.
- Ha az a jobbik part, akkor nincs jelentősége, és ha a szelet onnan kapjuk, akkor az a jobbik!	- Mặc, miễn là có gió, tốt nhất là luôn luôn được gió thổi.
- Igaz - helyeselt Felipe -, de ha megfordul a széljárás...	- Đúng thế - Felipe nhận xét - nhưng nếu gió cứ luôn đổi chiều thì...
- ...tehát nem a szárazföld felől, hanem a tenger felől, akkor nem találna olyan kikötőt, ahol menedékre lelhet!	- Nhưng nếu gió không thổi từ đất liền ra nữa mà thổi từ biển vào thì làm sao tìm ra nơi trú bão!
- Ahogy mondod, fiam.	- Đúng như mày nói.
A Tűzföldön vagy Patagóniában egyetlen útba eső kikötő sincs.	Từ mũi đất lửa hay còn gọi là Paragonie, không nơi nào có bến ghé.
A nyílt tengerre kell kihajóznia, ha nem akar a parthoz csapódni.	Lúc đó chỉ còn cách là lao thẳng ra biển, nếu không muốn đâm vào bờ!
- Bizony, jókor fejezték be a munkálatokat - felelte Felipe.	- Và thế là công việc trên đảo đã hoàn tất vừa khớp với thời tiết nhỉ.
