Léon Werth-nek	Tặng Léon Werth
Kérem a gyerekeket, ne haragudjanak, amiért ezt a könyvet egy fölnőttnek ajánlom.	Anh xin lỗi các em nhỏ vì đã đem tặng sách này cho một người lớn.
De van egy másik mentsé­gem is: ez a fölnőtt mindent meg tud érteni, még a gyerekeknek szóló könyveket is.	Anh cố thêm một lẽ nữa: ông người lớn này cái gì cũng hiểu được, cả sách viết cho trẻ em.
Harmadik mentségem pedig a következő: ez a fölnőtt Franciaországban él, s ott éhezik és fázik.	Anh cố một lẽ thứ ba: ông người lớn này là người nước Pháp, ở đây ông ta đói và rét.
Nagy szüksége van vigasztalásra.	Ông ta cần được an ủi.
Ha pedig ez a sok mentség nem elegendő, akkor annak a gyerek­nek ajánlom könyvemet, aki valaha ez a fölnőtt volt.	Nếu mà các lẽ ấy vẫn không đủ, anh xin tặng sách này cho em bé là ông người lớn đó trước kia.
Ajánlásomat tehát kijavítom, ilyesformán:	Vậy anh chữa lại câu đề tặng của anh:
Léon Werth-nek, amikor még kisfiú volt.	Tặng Léon Werth ngày ông còn là cậu bé
Óriáskígyót ábrázolt, amint egy vadállatot nyel el.	Bức tranh vẽ hình một con trăn đang nuốt một con thú dữ.
Tessék, itt a rajz másolata.	Đây là bản sao của bức vẽ.
A könyvben ez állt: "Az óriáskígyó egészben, rágás nélkül nyeli le zsákmányát.	Trong sách, người ta nói: "Loài trăn nuốt chửng cả con mồi, không nhai.
Ilyesformán:	Nó như thế này:
Remekművemet megmutattam a fölnőtteknek, és megkérdeztem őket, nem félnek-e tőle.	Tôi đưa cho các người lớn xem kiệt tác của tôi và hỏi họ bức vẽ của tôi có làm cho họ sợ không.
Az én rajzom azonban nem kalapot ábrázolt.	Bức tranh của tôi đâu có vẽ một chiếc mũ.
Óriáskígyót ábrázolt, amint épp egy elefántot emészt.	Nó vẽ một con trăn đang tiêu hóa một con voi.
Erre lerajzoltam az óriáskígyót belülről is, hogy a fölnőttek megérthessék, miről van szó.	Thế là tôi vẽ lại bên trong bụng trăn, để cho các người lớn có thể hiểu được.
Mert nekik mindig mindent meg kell magyarázni.	Đối với người lớn, bao giờ cũng phải giảng.
Ez a 2. számú rajz ilyesforma volt:	Bức vẽ số hai của tôi thế này:
Most aztán a fölnőttek azt ajánlották, ne rajzoljak többé óriáskígyót se nyitva, se csukva, hanem inkább foglalkozzam földrajzzal, történelemmel, számtannal és nyelvtannal.	Các người lớn khuyên tôi hãy để qua một bên các bức vẽ trăn nhìn bên ngoài hay bổ đôi kia đi, và hãy để tâm vào môn địa, môn sử, môn toán và môn ngữ pháp.
Így mond­tam le hatéves koromban nagyszerű festői pályafutásomról.	Như vậy đó mà vào tuổi lên sáu, tôi đã bỏ một cuộc đời họa sĩ tuyệt diệu.
A nagyok semmit sem értenek meg maguktól, a gyerekek pedig belefáradnak, hogy örökös-örökké magyarázgassanak nekik.	Các người lớn không bao giờ tự mình hiểu được điều gì, và trẻ con lúc nào, lúc nào cũng phải giảng giải cho các ông, đến nhọc!
Más mesterséget kellett választanom tehát: megtanultam repülőgépet vezetni.	Thế là tôi phải chọn một nghề khác, và tôi học lái máy bay.
Nagyjából az egész világot berepültem.	Trên thế giới, đâu tôi cũng từng có bay một tí.
Ez pedig fölöttébb hasznos dolog, ha éjszaka eltéved az ember.	Cái đó cần lắm, nếu ban đêm ta bị lạc.
Közvetlen közelből láthattam őket.	Tôi đã nhìn thấy họ rất gần.
És nem mondhatnám, hogy ettől jobb lett róluk a véleményem.	Việc này vẫn chẳng làm tôi đánh giá họ khá hơn bao nhiêu.
Erre aztán nem beszéltem neki se óriáskígyókról, se őserdőkről, se csillagokról.	Thế là tôi chẳng thèm nói với ông ta về rắn trăn, rừng hoang hay trăng sao gì nữa.
Alkalmaz­kodtam hozzá.	Tôi tự hạ ngang tầm ông ta.
Bridzsről beszéltem neki, meg golfról meg politikáról és nyakkendőkről.	Tôi nói với ông ta về bài bạc, về đấu bóng, về chính trị và về cà vạt.
