A SZAMÁRBŐR	Miếng Da Lừa
Honoré Balzac	Honoré de Balzac
A TALIZMÁN	TẤM BÙA
– A kalapját, tisztelt ur, a kalapját!	- Bỏ mũ ra, thưa ngài!
– kiáltott rá rekedtesen rikácsoló hangon a folyosó homályos zugából egy kis összetöpörödött emberke, nem éppen bizalomgerjesztő fakó ábrázatával a rács mögül előbukkanva.	- Một lão già loắt choắt, mặt tái nhợt gọi bảo chàng trai, giọng cộc lốc và gắt gỏng, lão ta đang ngồi xổm trong bóng tối, sau một hàng bao lơn, đột nhiên đứng lên, thò ra bộ mặt rập khuôn theo một kiểu bỉ ổi.
Ha az ember játékházba teszi a lábát, a törvény első gondja a kalap, melynek a fejről le kell kerülnie.	Khi anh bước vào một sòng bạc, luật lệ đầu tiên là lột của anh chiếc mũ.
Talán valami evangéliumi példabeszéd értelmében?	Phải chăng đó là một ngụ ý trong giáo lý của Thượng đế?
Vagy talán inkább annak a pokoli szerződésnek a biztositékaképpen, mit vele hallgatagon megkötöttünk?	Hay phải chăng đó là một cách ký kết bản giao kèo hắc ám bắt anh phải nộp một vật nào đấy làm bằng?
Vagy arra való csupán az egész, hogy kellő tisztelettel ácsorogjunk azok előtt, kik besöprik elnyert pénzünket?	Hoặc giả đó là buộc anh phải giữ một thái độ kính trọng trước những kẻ sắp sửa lấy được tiền của anh?
Avagy talán a rendőrségnek, ki még a legutolsó füstös lebujba is befészkelődik: érdekében áll megtudnia a kalapos, helyesebben a kalap tulajdonosának a nevét, mit a mitsem sejtő játékos netalán belefirkantott a bélés selymébe?	Hoặc giả đó là bọn cảnh sát ẩn nấp ở khắp các cống rãnh xã hội cần biết tên kẻ bán mũ cho anh, hay chính tên anh nếu anh đã ghi nó vào mũ?
Vagy végre csupán csak egy kis ártatlan, de fölöttébb tanulságos statisztikai táblázat összeállitásáról van szó, mely a különböző koponyaméretek egybevetésével a játékosok agy-alakulását fürkészi?	Sau nữa, hay là để đo cái sọ anh và làm một bản thống kê bổ ích về dung lượng bộ não của quan viên làng đen đỏ?
Maga az intézőség természetesen mind e dolgokra mélységes hallgatással felel.	Về vấn đề trên đây thì nhà đương cục hoàn toàn im lặng.
Hanem annyi bizonyos, hogy aki csak egyetlen lépést is tett a zöldposztós asztal felé, éppen oly kevéssé ura többé a kalapjának, mint önmagának, mert az után az egyetlen lépés után, bot és köpenyeg, no meg a pénzestárca és tetejébe az egész ember a kártyáé már.	Nhưng, anh nên biết rằng, anh vừa bước tới gần tấm thảm xanh là chiếc mũ của anh đã không thuộc về anh nữa: anh thuộc về đám bạc, bản thân anh, tài sản của anh, cái mũ của anh, chiếc can của anh và chiếc áo tơi của anh.
Kifelé jövet azután valóra válik a kesernyés epigramma s a mindenéből kifosztott ember arra a tudatra ébred, hogy mégis csak maradt még valamije.	Khi anh ra về, thần Đổ bác, bằng hành động châm biếm tàn nhẫn, sẽ chứng minh với anh rằng trả hành lý cho anh là còn để lại cho anh chút gì rồi đó.
Egyébiránt, ha valakinek vadonatuj volt a kalapja, megtanulja a maga kárán, hogy a játékosnak nagyon tanácsos külön e célra tartogatott öltözetben megjelennie.	Tuy nhiên, nếu anh có một chiếc mũ mới, anh sẽ phải thiệt thòi nhận lấy bài học là khi nào đi đánh bạc thì phải khoác bộ đồ con bạc.
A fiatal ember olyan csodálkozó képet vágott a szerencsére már erősen viseltes karimáju kalapért a markába nyomott számozott cédula megpillantásakor, mely nyilvánvalóvá tette járatlanságát e helyen.	Sự ngạc nhiên của chàng lạ mặt khi nhận được phiếu ghi số gửi mũ, may mắn vành mũ của anh ta đã hơi bợt lông, đủ tỏ là tâm hồn anh ta còn ngây thơ.
A kis vén ember, ki minden valószinüség szerint zsenge ifjuságától a kártyabarlangok levegőjét szivta, fénytelen, fakó szemével ráhunyorgott és egy bölcsésznek a vesékig ható éles pillantása meglátta volna benne a kórház nyomorultjait, a tönkrement urhatnámok elzüllését, egy sereg vizbefult öngyilkost, örökös kényszermunkára itélteket és a Guazacoalcóba toloncoltakat…	Lão già bé nhỏ, chắc rằng ngay từ lúc còn ít tuổi đã ngụp mình trong những cuộc vui sôi nổi của cuộc đời con bạc, đưa con mắt lờ đờ, nguội lạnh nhìn anh ta, trong con mắt đó một triết gia có lẽ sẽ nhìn thấy những cảnh cơ cực ở nhà thương, những nỗi bơ vơ của kẻ bị bại sản, những biên bản của bao nhiêu vụ tự tử bằng hơi ngạt, những bản án khổ sai, chung thân, những cảnh đi này biệt xứ ở Guazacoalco.
Maga volt már a megtestesült játék.	Hắn là hiện thân của thần Đổ bác.
Ha a fiatal ember egy kissé jobban megnézte volna ezt a komorképü cerberust, alighanem ilyenformát gondolt volna magában:	Nếu chàng trai kia đã ngắm nhìn lão canh cửa thiểu não đó thì chắc hẳn anh ta sẽ tự nhủ: "Trong gan ruột lão này chỉ còn có một cỗ bài.".
Gondolkozás nélkül lépett a terembe, hová az aranypengés csábitó muzsikája csalogatta… Minden valószinüség szerint Jean-Jacques Rousseau gyönyörü mondásainak leglogikusabbja volt a sarkantyuja, melynek veleje ebben volna kifejezhető: Nincsen azon megütközni való, ha valaki kártyához folyamodik, de csupán akkor nincsen, ha önmaga és a halál között nem lát már egyebet az utolsó tallérjánál…	Chắc hẳn chàng trai kia bị xô đẩy tới đó bởi cái hợp lý nhất trong những lời hùng biện của J.J. Rousseau, mà nội dung thê thảm hình như là thế này: Đúng, tôi quan niệm được một người đi đánh bạc; nhưng là khi giữa hắn và cái chết, hắn chỉ còn nhìn thấy đồng écu cuối cùng của hắn.
A szenvedély urrá lesz a szivek fölött és a nyugalmas szemlélőt éppen a résztvevők nagy tömege gátolja meg abban, hogy farkasszemet nézzen a játék démonával.	Buổi dạ hội quả là một vở hòa tấu trong đó cả đoàn la thét, ở đó mỗi nhạc cụ của giàn nhạc ngân giọng của nó.
Az egésznek olyan képe van, mintha minden egyes résztvevő kivenné a maga részét az általános zsibongásban és minden kis hangszer a maga módja szerint igyekeznék teljesebbé tenni a furcsa zenekar összjátékát.	Anh sẽ thấy ở đấy nhiều kẻ có danh giá tới để tiêu khiển và trả tiền như họ trả tiền để xem hát, chè chén, hay như khi họ tới một gian gác xép mua rẻ những mối hận đau đớn trong vài ba tháng.
De föl lehet-e fogni egész valójában annak az embernek az őrületes lelkiállapotát, ki mohón lesi a játékház megnyitását?… A reggeli és az estvéli játékosok között olyan a különbség, mint az érzelmeiben már egy kissé megülepedett férj és a szive választottjának ablaka alatt epekedő szerelmes ifju között.	Giữa con bạc buổi sáng và con bạc buổi tối có sự khác nhau như giữa anh chồng hờ hững và gã tình nhân ngây ngất chờ người yêu dưới cửa sổ.
Csak reggel felé lángol föl igazán a lobogó szenvedély s csak akkor ölt ijesztő arányokat a szörnyü nyomoruság.	Chỉ buổi sáng mới xuất hiện cái lòng say mê hồi hộp và cái túng quẫn ở trạng thái kinh khủng bóc trần của nó.
Csak akkor tárul szemeink elé az igazi játékos, ki nem evett, nem aludt, nem élt, nem gondolkozott egy egész éjszakán által, annyira megviselték lelkének felkorbácsolt indulatai, annyit szenvedett és annyit szorongott a trente et quarante minden kártyájának felvetésekor.	Lúc bấy giờ anh có thể ngắm nhìn một con bạc chính cống, một con bạc đã từng bỏ ăn, bỏ ngủ, chẳng sống, chẳng suy nghĩ, vì bị ngọn roi đen đỏ nó quất điếng người, vì bị cơn ngứa ngáy của một nước bạc giày vò.
Csak akkor tárul szemünk elé a sok hátborzongatóan nyugalmas szem, megragadó kifejezésü arc és az a sok sóvár tekintet, melyek valósággal elnyelik a fölvetett kártyalapot.	Vào cái giờ khốn kiếp đó, anh sẽ bắt gặp những con mắt mà vẻ điềm nhiên trông phát sợ, những bộ mặt làm anh mê hoặc, những cái nhìn muốn lật quân bài lên và nghiến ngấu nó.
