HUGO VICTOR	Victor Hugo
A NEVETŐ EMBER	Thằng Cười
Egy másik könyv, amely ezt követni fogja, a Monarchia cimet viselhetné.	Một cuốn khác tiếp theo có thể lấy nhan đề là Chính thể quân chủ.
És e két könyv, ha megadatik a szerzőnek, hogy befejezze e müvet, megelőzne és bevezetne egy ujabbat, amelynek cime lesz: Kilencvenhárom.	Cả hai cuốn đó, nếu tác giả hoàn thành được, sẽ ra trước và sẽ dẫn theo một cuốn khác nhan đề: Chín mươi ba.
Hauteville-House, április, 1869.	Hôtơvin-Haozơ, tháng tư 1869
KÉT ELŐLJÁRÓ FEJEZET	Hai Chương Mở Đầu
Ursust és Homot szoros barátság füzte egymáshoz.	Uyêcxuyt là một con người, Ômô là một con sói.
Ursus ember volt, Homo farkas.	Đôi bên rất tâm đầu ý hợp.
Valószinüen a saját nevét is ő maga választotta; jónak találván Ursust a maga számára, az állat részére is jónak találta Homot.	Cũng có thể chính ông ta đã tự chọn lấy tên; thấy Uyêcxuyt hợp với mình, nên ông thấy Ômô rất hợp với con vật.
A legnagyobb megelégedéssel nézzük a megjuhászitás mindenféle változatának elvonulását.	Thoả mãn nhất là khi chúng ta được nhìn tất cả các kiểu thuần hóa súc vật diễn ra trước mắt.
Ursus és Homo utcasarokról utcasarokra, Aberystwyth piacáról Yedburg piacára, országról or­szágra, megyéről megyére és városról városra vándoroltak.	Uyêcxuyt và Ômô đi hết ngã tư này đến ngã tư khác, hết các quảng trường Aberixuyt đến các quảng trường Yetbua, hết xứ này qua xứ nọ.
Ha egyik vásárnak vége volt, mentek a másikra.	Chợ này vãn, thầy trò sang chợ khác.
Ursus egy keréken járó kunyhóban lakott, amelyet az eléggé civilizált Homo nappal huzott, éjjel pedig őrzött.	Uyêcxuyt ở trong một cái chòi lưu động, được Ômô, khá văn minh, kéo lệch xệch ban ngày và ban đêm thì canh gác hộ.
Találomra letelepedtek egy ugaron, egy tisztáson, valamely kereszt­uton, a tanyák bejáratánál, a városok kapuinál, a vásárcsarnokokban, a nyilvános kertekben, a parkok szélén és a templomok pitvaránál.	Thầy trò gặp đâu cắm lều đó, trên một bãi hoang, ven một trảng trống, giữa giao điểm của đường sá, ở cổng vào thôn xóm, ngay các cửa ô, trong những đình chợ, giữa đường dạo mát, rìa các công viên, trên sân nhà thờ.
Amikor a talyiga megállt valamely vásártéren, az asszonyok tátott szájjal összefutottak és a kiváncsiak körülállották, Ursus szónokolt, Homo pedig jóváhagyta.	Khi các xe dừng bánh ở một bãi chợ phiên nào đó, khi các mẹ há mồm đổ xô đến, khi những kẻ tò mò xúm đen xúm đỏ, Uyêcxuyt lại cất tiếng ba hoa, Ômô lại tán thành.
Homo, fatányérral a szájában, adományokat gyüjtött.	Mõm ngậm một cái bát gỗ, Ômô lễ phép đi xin tiền khán giả.
A farkas müvelt volt, az ember szintén.	Sói biết chữ, mà người cũng biết chữ.
"Csak valahogy em­berré ne fajulj", mondogatta a barátja.	Sói không bao giờ cắn, nhưng người thì cũng thỉnh thoảng.
A farkas sohasem harapott, az ember néha.	Ít ra, cắn là ước vọng của Uyêcxuyt.
És a megélhetésért is, mert a gyomor föltételei erőszakosak.	Cũng cốt là để kiếm sống vì dạ dày hay áp đặt điều kiện của nó.
Még ez sem volt elég, Ursus hasbeszélő volt.	Bảo là thầy thuốc cũng chưa hết đâu.
Látható volt, hogy beszél, anélkül, hogy a szája megmozdult volna.	Người ta thấy ông nói ra nhưng mồm thì lại không mấp máy.
