Vörös és fekete	ĐỎ VÀ ĐEN (Tập 1)
EGY KIS VÁROS.	MỘT THÀNH PHỐ NHỎ
Put thousands together	Put thousands together
Less bad,	Less bad
But the cage less gay.	But the cage less gay.
Hobbes.	HOBBES
Verrières egyike Franche-Comté legcsinosabb kisvárosainak.	Thành phố nhỏ Verrières có thể coi là một trong những thành phố xinh đẹp nhất của xứ Franche-Comté .
Piros cseréppel fedett, csúcsos tetejű fehér házai egy domb oldalán terűlnek el, melynek szelíd hajlásait terebélyes vadgesztenyefák csoportjai szegik be.	Những ngôi nhà trắng mái nhọn lợp ngói đỏ, rải trên sườn của một ngọn đồi có những chùm dẻ gai khỏe khoắn làm dốc nổi bật lên tất cả những đường uốn lượn khúc khuỷu dù là nhỏ bé nhất.
A Doubs néhány száz lépésnyire ömlik a város erődítménye alatt, melyet valamikor a spanyolok építettek, de a mely most már romokban hever.	Dòng sông Doubs chảy cách vài trăm pied dưới những thành lũy xưa kia do người Tây Ban Nha xây đắp nên và bây giờ đã điêu tàn.
Északról Verrières-t magas hegyláncz védi, a Jura egyik kiágazása.	Verrières được che về phía bắc bởi một rặng núi cao, đó là một chi nhánh của dãy Jura .
A hogy’ az első októberi hidegek beköszöntenek, a Verra szaggatott vonalú magaslatait már elborítja a hó.	Những ngọn lởm chởm của rặng Verra phủ tuyết ngay từ những ngày chớm lạnh của tháng mười.
A hegyekről rohanó patak zúdúl alá, mely mielőtt beleveti magát a Doubs-ba, átszeli Verrières-t és nagyszámú fűrészmalmot tart működésben; ez nagyon egyszerű fajtája az iparnak, mely bizonyos jólétet biztosít a lakosság inkább paraszt, semmint a polgári osztályhoz számítható nagyobb részének.	Một dòng suối từ trên núi trút xuống, trải xuyên qua Verrières trước khi đổ vào sông Doubs, và làm chuyến động một số lớn những máy xẻ gỗ, đó là một công nghiệp rất đơn giản, đem lại một đời sống khá sung túc cho phần lớn dân cư có tính cách thôn dân nhiều hơn là thị dân.
Mindamellett a város nem a fűrészmalmoktól nyerte gazdagságát.	Tuy vậy, cái thành phố nhỏ đó được trù phú không phải là nhờ những máy xẻ gỗ.
Az úgynevezett mulhouse-i kékfestő-gyártmányoknak köszönhető az általános jómód, mely Napoleon bukása óta szinte valamennyi háznak megújította a homlokzatát.	Chính là nhờ nghề chế tạo vải hoa in, gọi là vải hoa Mulhouse , mà mọi người được xung túc, khiến cho từ khi Napoléon bị diệt vong, mặt ngoài của hầu hết các ngôi nhà ở Verrières đã được xây đắp lại.
Alig lép be az ember a városba, elkábúl egy zajos és látszatra rettenetes gépezetnek a lármájától.	Vừa bước chân vào thành phố, người ta đã bị choáng óc vì tiếng náo động của một cái máy rầm rĩ và trông bề ngoài có vẻ gớm ghiếc.
Egy kerék, melyet a patak vize hajt, húsz súlyos kalapácsot emel a magasba, a melyek oly dördűléssel hullanak vissza, hogy beléreszket a föld.	Hai chục cái búa nặng nề và rơi xuống rầm rầm làm rung chuyển cả mặt đường, được nhấc lên bởi một bánh xe mà dòng suối làm cho chuyển động.
Minden egyes kalapács naponta egy csomó ezer szeget ver ki.	Một chiếc búa đó chế tạo ra hàng ngày không biết cơ man nào là đinh.
Virgoncz és csinos fiatal leányok helyezik az óriási kalapácsok alá a kis vasdarabokat, melyek egy szempillantás alatt szegekké változnak át.	Có những cô gái xinh tươi đưa vào cho những chiếc búa khổng lồ ấy nên những mẩu sắt nhỏ, chỉ thoắt cái đã biến thành đinh.
