STEFAN ZWEIG	KỲ THỦ
SAKKNOVELLA	Stefan Zweig
A szokott járás-kelés, sürgés-forgás uralkodott a nagy személyszállító gőzös fedélzetén, mely éjfélkor indul el New York kikötőjéből Buenos Aires felé.	Cảnh lui tới thường thấy diễn ra vào giây phút chót bao trùm trên con tàu thủy sẽ rời Niu York đi Buênôx Airex lúc nửa đêm.
Nyilván valamelyik neves egyéniséget interjúvolták meg és fényképezték le közvetlenül az elutazása előtt.	Anh bạn tôi đưa mắt nhìn về hướng đó rồi mỉm cười : "Anh cùng đi tàu với một nhân vật lỗi lạc : Xzentôvic".
Végig kipegett-kopogott egész Amerikán, napkelettől napnyugatig, s most új babérokat akar szerezni Argentínában.	Lúc đó tôi mới nhớ lại nhà vô địch trẻ tuổi này và một số đặc điểm trong bước đường công danh kỳ lạ của anh.
Most már én is emlékeztem erre a fiatal világbajnokra, sőt eszembe jutott rakéta ívelésű karrierjének egynémely részlete is.	Do đã đọc báo chí nhiều hơn tôi, anh bạn đã bổ sung vào trí nhớ của tôi một số giai thoại.
Barátom, aki szorgalmasabb újságolvasó volt nálamnál, egész sor anekdotával egészítette ki fogyatékos ismereteimet.	Trong có vòng gần một năm, Xzentôvic đã trở thành một nhân vật sánh ngang với các bậc thầy nổi tiếng nhất về môn cờ.
Czentovic, körülbelül egy esztendővel ezelőtt, egy csapásra a legnevesebb sakkmesterek sorába emelkedett.	Alêcxin Capablăngca, Tartakôvơ, Laxkơ, Bôgôngiubôp không còn gì để truyền đạt cho anh nữa.
Czentovic intellektuális képességei sehogy sem engedtek volna ilyen csodálatos pályafutásra követ­kez­tetni.	Vì nếu chỉ dựa vào trí năng của Xzentôvic thì không ai dám tiên đoán anh ta sẽ có một tương lai sáng lạn.
A tizenkét éves fiút apja halála után egy isten háta mögötti kis helység papja vette magához.	Một đêm nọ, thuyền của ông bị một chiếc tàu thủy chở lúa mì đâm chìm.
De minden igyekezete hasztalan volt.	Nhưng ông đã uổng công vô ích.
Ha számolnia kellett, még tizennégy éves korában is az ujjait hívta segítségül, és serdült korában is nehezen birkózott meg egy újsággal vagy könyvvel.	Năm mười bốn tuổi, chú vẫn còn phải dùng ngón tay để đếm và hết sức chật vật mỗi khi đọc một quyển sách hoặc một tờ báo.
Pedig Mirko nem volt makacs, rosszindulatú gyerek.	Nhưng không thể nói rằng chú ngại khó.
S ha esténként a pap hosszú szárú parasztpipáját szíva hagyományos három sakkpartiját játszotta a csendőrőrmesterrel, a szalmaszőke kamasz szótlanul ült mellettük, és elnehezült szempillákkal, látszólag álmosan, közönyösen meredt a kockás táblára.	Lúc đó cậu thiếu niên lại ló mái tóc vàng rối bù màu vàng hoe của mình xích đến bên bàn và lặng lẽ chăm chăm nhìn bàn cờ, cặp mắt như ngái ngủ và lơ đễnh dưới đôi mí nặng sùm sụp.
A csendőrőrmester nem itta még ki a korsó sörét, rágyújtott hát még elmenetel előtt a pipájára.	Chưa kịp uống cạn cốc bia, viên đội châm lại tẩu và định xỏ chân vào đôi ủng nặng nề để ra về.
- No, nem akarod befejezni a tisztelendő úr helyett?	- Thế nào, cháu có muốn chơi nốt ván cờ này không ?
- kérdezte tréfálkozva, hiszen meg volt győződve róla, hogy a lassú észjárású kamasz egyetlenegy figurával sem tudna helyesen lépni.	– Viên đội nói đùa, vì ông tin chắc cậu bé ngù ngờ không thể đi một con Binh cho ra hồn trên bàn cờ.
