ALEXANDRE DUMAS	Alexandre Dumas
ELŐSZÓ	Chương 1
bár nevük végződése -os és -is, semmi közük a mitológiához	Ba tặng vật của ông D' Artagnan bố.
Lajos történetéhez, véletlen D’Artagnan úr emlékirataira, bukkantam; Pierre Rouge-nál nyomták Amsterdamban; így szokták rendszerint e korban a szerzők, ha meg akarták írni az igazságot, de nem ragaszkodtak ahhoz, hogy hosszabb-rövidebb időt töltsenek a Bastille-ban.	Ngày thứ hai đầu tiên của tháng tư năm 1625, thị xã Măng nơi sinh tác giả của cuốn Tiểu thuyết Hoa hồng dường như trong một cơn cách mạng như thể người theo giáo phái Canvanh lần thứ hai lại tới vây hãm Pháo thành La Rochelle.
Ám közismert tény, hogy a költő szeszélyes képzeletét nem mindig ugyanaz fogja meg, mint a legtöbb olvasót.	Trước lữ quán, một nhóm người chen chúc, mỗi lúc một đông thêm, nhốn nháo, ồn ào và đầy vẻ tò mò.
E szokatlan nevek annyira feltüzelték kíváncsiságunkat, hogy e perctől fogva nem volt többé maradásunk; minden korabeli művet végigfirtattunk, hogy a nevek viselőinek valamiképpen nyomára leljünk.	Thời buổi ấy, những cơn hoảng loạn luôn xảy ra, không mấy khi lại không có thành phố này, thị trấn nọ ghi ký vào sổ lưu trữ của mình một sự kiện nào đó thuộc loại ấy.
"La Fčre gróf úr emlékiratai némely eseményekrol, melyek XIII.	Các lãnh chúa chinh phạt lẫn nhau.
Lajos király uralkodásának vége felé és XIV.	Quốc vương khai chiến với Giáo chủ.
Lajos király uralkodásának kezdetén történtek Franciaországban."	Tây Ban Nha khai chiến với Quốc vương.
Tüstént engedélyért folyamodtunk hát, hogy kinyomassuk; úgy gondoltuk, legalább idegen poggyásszal jussunk be a Történelem és Széptudományi Akadémiára, ha már - mint igen valószínű - a sajátunk nem nyitja meg előttünk a Francia Akadémia kapuit.	Rồi thì, ngoài những cuộc chiến thầm lặng hoặc công khai, bí mật hoặc đường hoàng, lại còn bọn trộm cắp, lũ ăn mày, bọn giáo phái Canvanh, lũ sói, bọn lính hầu khai chiến với tất cả mọi người.
Mondanunk sem kell, igen könnyen megkaptuk a kegyes hozzájárulást; amit ezennel itt nyomban írásban tanúsítunk; nyilvános cáfolatául egyes rosszhiszemű híresztelésnek, melyek szerint kormányunk meglehetősen félvállról veszi az irodalmárokat.	Thị dân luôn vũ trang chống bọn trộm cướp, chống lại lũ sói, chống lũ lính hầu, cũng thường chống lại các lãnh chúa và bọn giáo phái Canvanh, đôi khi chống cả nhà Vua, nhưng không bao giờ chống lại Giáo chủ và nước Tây Ban Nha.
IDŐSB D’ARTAGNAN HÁROM AJÁNDÉKA 1625 április havának első hétfőjén Meung neves városa, a Rózsa regénye1 szerzőjének szülőhelye, olyan tökéletes zűrzavar képét mutatta, mintha a hugenották itt akarnának második La Rochelle-t rendezni.	Do đã quen như vậy nên ngày thứ hai tháng tư năm 1625 nói trên, nghe thấy tiếng náo động nhưng không thấy màu cờ vàng và đỏ eũng chẳng thấy bóng dáng đồng phục gia binh của Quận công Richelieu, đám thị dân liền đâm bổ về phía lữ quán Chu cối xay.
Harcoltak egymással a földesurak; harcolt a bíborossal a király; harcolt a királlyal a spanyol.	Đến đó rồi, ai cũng thấy và nhận ra nguyên nhân sự náo động.
