JULES VERNE	Jules Verne
ELSŐ FEJEZET	CHƯƠNG 1:
EZEK AZ ELKÉPESZTŐ FRANCIÁK!	NGƯỜI PHÁP THẬT LÀ ĐƯỜNG ĐỘT
- Beszéljen uram, hallgatom.	"Nói đi, chàng trai, tôi đang nghe.
- Alice lányom kezét?...	"Cầu hôn Alice ư?..."
Huszonhat éves vagyok.	Tôi đã hai sáu tuổi.
Nevem Cyprien Méré.	Tôi tên Cyprien Méré.
Bányamérnök vagyok, kitüntetéssel végeztem a Műszaki Főiskolát.	Tôi là kỹ sư Mỏ, tốt nghiệp hạng nhì trường Bách Khoa.
Családom nem gazdag, de tiszteletre méltó és megbecsült.	Gia đình tôi danh giá và được kính nể, dù không giàu có.
Ha kívánja, ezt Franciaország fokföldi konzulja tanúsíthatja, és bizonyságot tehet róla Pharamond Barthès barátom is, a rettenthetetlen vadász, akit ön és mindenki más ismer Griqualandban.	Ngài lãnh sự Pháp ở tỉnh Cap sẽ chứng thực điều đó giúp tôi nếu ngài muốn, và bạn tôi, Pharamond Barthès, chàng thợ săn dũng cảm mà ngài quen thân, cũng như mọi người ở Griqualand, cũng có thể xác nhận điều đó.
A Tudományos Akadémia és a francia kormány megbízásából tudományos küldetésben tartóz­kodom itt.	Tôi đến đây để công tác khoa học đại diện cho Viện hàn lâm Khoa học và cả Chính phủ Pháp.
Auvergne vulkánikus kőzeteinek kémiai összetételéről írt munkámért múlt évben az Akadémia Houdart díját nyertem el.	Năm ngoái, tôi đã đạt giải houdard ở Viện, cho công trình nghiên cứu về cấu tạo hóa học của đá núi lửa vùng Auvergne.
A Vaal-folyó gyémánttermő medencéjéről szóló, majdnem kész tanulmányomat bizonyára szívesen fogadja majd a tudományos világ.	Luận án của tôi với đề tài mỏ kim cương ở Vaal, sắp được hoàn thành, chỉ có thể được giới bác học nồng nhiệt đón nhận mà thôi.
Ha itteni munkámat befejezem, a párizsi Bányászati Főiskola tanársegédévé neveznek ki, és már ki is béreltem lakásomat az Egyetem utca 104. számú ház harmadik emeletén.	Khi trở về sau chuyến công tác này, tôi sẽ được bổ nhiệm làm trợ giảng tại trường Mỏ Địa chất Paris, và tôi đã nhờ thuê được căn hộ ở phố Đại học, số 104 trên tầng tư.
Fizetésem január elsején négyezernyolcszáz frankra emelkedik.	Lương của tôi vào tháng Giêng tới đây sẽ đạt bốn nghìn tám trăm franc.
Nem az inkák kincse, tudom, de egyéb mun­kákkal, szakértői díjakkal, akadémiai jutalmakkal és tudományos folyóiratokba írt cikkeim honoráriumával ez a jövedelem csaknem megkétszereződik.	Thế chẳng phải giàu có lắm, tôi biết, nhưng với những nghiên cứu cá nhân, công việc kiểm định, giải thưởng hàn lâm, và việc cộng tác với các tạp chí khoa học, mức thu nhập đó sẽ tăng thêm gần gấp đôi.
Uram, van szerencsém megkérni kedves lányának, Miss Watkinsnak a kezét.	Thưa ngài, tôi xin hân hạnh được cầu hôn tiểu thư Watkins, con gái ngài."
Ennek a kis szónoklatnak határozott és szilárd hangjából kiérződött, hogy Cyprien Méré mindig egyenesen a célra tör, és kertelés nélkül szokott beszélni.	Chỉ nghe cái giọng rắn rỏi và quả quyết trong đoạn diễn thuyết ngắn trên cũng dễ thấy Cyprien Méré, trong mọi tình huống, đã quen đi thẳng vào vấn đề và ăn nói thẳng thắn.
Olyan fiatalember arca volt, akit állan­dóan a legnehezebb tudományos kérdések foglalkoztatnak, s aki világi hiúságokra csak a leg­szigo­rúbban szükséges időt áldozza.	Đó là diện mạo của một chàng trai trẻ luôn bận tâm với những quan niệm khoa học cao siêu nhất, và chỉ thốt ra những lời kiêu căng hào nhoáng vào đúng thời điểm thực sự cần thiết.
Sörteszerűre vágott gesztenyeszín haja, rövidre nyírt szőke szakálla, szürke vászon utazó­ruhájának egyszerű szabása, olcsó szalmakalapja, amelyet belépésekor udvariasan egy székre helyezett - jóllehet az, akihez beszélt, híven a hagyományos angolszász fesztelenséghez, fején tartotta a kalapot -, egész viselkedése komoly megfontoltságot tükrözött, aminthogy nyílt tekintete igaz szívre és tiszta lelkiismeretre vallott.	Mái tóc màu hạt dẻ của chàng, húi cua, bộ ria vàng cạo sát da mặt, nét giản dị trong bộ y phục có áo choàng hình nón bằng vải cutin xám, chiếc mũ rơm đáng giá mười xu mà chàng lịch thiệp đặt trên ghế khi đi vào - mặc cho người đang đối thoại với chàng vẫn điềm tĩnh đội mũ với vẻ phớt tỉnh Ăng lê thường thấy - mọi thứ từ Cyprien Méré chứng tỏ một tư cách đứng đắn, cũng như ánh mắt trong sáng của chàng cho thấy một tấm lòng trong sạch và lương tâm ngay thẳng.
El kell még mondanunk, hogy ez a fiatal francia oly tökéletesen beszélt angolul, mintha hosszú időt töltött volna az Egyesült Királyság tősgyökeres brit megyéiben.	Ngoài ra, phải nói rằng chàng trai Pháp nói tiếng Anh thật hoàn hảo, như thể chàng đã sống lâu năm ở những hạt bản xứ nhất của Vương Quốc Anh.
Watkins fehér vászonnadrágot, kék vászonkabátot, sárgás flanellinget viselt, mellény és gallér nem volt rajta.	Ông vận chiếc quần tây trắng, áo vest vải thô màu xanh, áo sơ mi flanen vàng nhạt, không áo gi lê cũng chẳng đeo cà vạt.
Kevéssé vonzó ábrázatából, melyen szalma színű szőrzet ritkállott, nem éppen türelmet és jóságot sugározva pislákolt elő apró, szürke szempár.	Khuôn mặt ấy chẳng mấy hấp dẫn, điểm đây đó một lớp râu cụt ngủn màu cỏ gà, kết hợp với đôi mắt nhỏ xám, không gợi lên vẻ nhẫn nại và lòng nhân từ.
Ez a jelenet Mister Watkins udvarházában játszódott le, az egyenlítőtől délre, a huszonkilen­cedik szélességi fok és a párizsi délkörtől számított huszonkettedik keleti hosszúsági fok tájékán, Orange szabadállam nyugati határán, Fokföld angol gyarmattól északra Dél- vagy Angol-Holland-Afrika kellős közepén.	Cảnh tượng ấy diễn ra nơi tầng trệt ở trang trại ngài Watkins, vào khoảng vĩ độ 29 về phía nam xích đạo và kinh độ 22 về phía Đông của kinh tuyến Paris, trên đường biên giới Tây của Tiểu bang độc lập orange, phía Bắc của tỉnh Cap thuộc địa Anh Quốc, ở trung tâm vùng nam Phi hay vùng châu Phi thuộc địa của Anh-hà Lan.
A diplomáciai megbeszélés színhelyéül szolgáló fogadószobába egyaránt feltűnő volt néhány bútordarab oda nem illő pompája és berendezés egyéb részeinek szegénysége.	Phòng tiếp khách, nơi diễn ra cuộc hội kiến xã giao ấy, đáng chú ý bởi cả vẻ xa hoa không thích đáng của một vài đồ vật trong nhà cũng như sự nghèo nàn của một số chi tiết nội thất khác.
A padozat például döngölt agyag volt, viszont helyenként vastag szőnyegek és drága állatbőrök borí­tották.	Chẳng hạn như, nền nhà chỉ đơn giản bằng đất nện nhưng một số chỗ lại được trải thảm dày và da lông thú quý.
A gyalulatlan faasztal mellett, amely még egy konyhának sem vált volna díszére, bársonypamlag terpeszkedett.	Một chiếc ghế sofa bọc nhung đặt cạnh cái bàn gỗ trắng, loại bàn chỉ thích hợp nhất cho việc bếp núc.
Az egyenest Európából hozatott karosszékek hiába tárták karjukat Mr. Watkins felé, jobban kedvelte régi székét, melyet annakidején sajátkezűleg eszkábált.	Mấy cái ghế bành, chuyển thẳng từ châu u, đang mời gọi ông Watkins ngồi lên, nhưng ngài thì thích ngồi cái ghế cũ do chính tay ngài đẽo gọt trước đây hơn.
Egészben véve az értékes holmik halmaza s a bútorokon szanaszét heverő párduc-, leopárd-, zsiráf- és tigrisbőrök összevisszasága valamilyen barbár ragyogást kölcsönzött a szobának.	Tuy vậy, nhìn tổng thể, việc các đồ vật giá trị chồng chất lên nhau, nhất là mớ hỗn độn mấy thứ da báo, beo, hươu cao cổ và mèo rừng phủ trên các loại đồ đạc, tạo cho căn phòng một vẻ giàu sang kệch cỡm.
A mennyezet alakja szembetűnően mutatta, hogy a ház nem volt emeletes, hanem mindössze egy földszintből állt.	Vả lại, nhìn cấu tạo của trần, hẳn nhiên căn nhà này không có lầu và chỉ gồm một tầng trệt.
A vidék szokásának megfelelően részint deszkából, részint agyagból épült, és könnyű gerendákra fektetett, hornyolt bádoglemezek fedték.	Cũng giống như các ngôi nhà khác ở xứ này, nó được xây dựng bằng ván, đất sét, lợp bằng những tấm kẽm xẻ rãnh, đặt lên bộ khung nhẹ.
Egyébként látni lehetett, hogy a lakás nemrégiben készült.	Ngoài ra, ta còn nhận thấy ngôi nhà này vừa được hoàn thành.
Mr. Watkins ezeket a viskókat sorban egymásután építtette, lakta és hagyta el, aszerint, ahogy vagyona növekedett.	Đó là những căn nhà ông Watkins đã lần lượt xây, ở rồi bỏ hoang, cùng với sự giàu lên về của cải của ông ta, nói cách khác chúng thể hiện các nấc thang thăng tiến.
Látnivaló, hogy Watkins urat üzleti sikerei fokról fokra emelkedő jómódhoz segítették.	Ta có thể thấy ông Watkins đã thăng tiến thế nào nhờ các vận may trong công việc của ông.
Mindezek a többé-kevésbé düledező épületek egy kis dombon álltak a Vaal és a Modder egybefolyásának közelében.	Những ngôi nhà ấy, bị hư hỏng ít nhiều, được xây dựng trên một gò đất gần hợp lưu sông Vaal và sông Modder, hai nhánh chính của dòng orange ở vùng nam Phi này.
A Veld - ahogy errefelé hívják - száraz, terméketlen, poros, vöröses talaj, csak elvétve nő rajta ritkás fű, tüskés cserje.	Le Veld - theo người xứ này bảo - được hình thành từ nền đất đỏ nhạt, khô cằn, bụi bặm, hiếm hoi lắm mới thấy rải rác đó đây một nhành cỏ thưa và một vài bụi cây gai.
Minthogy szén sincs errefelé, s minthogy a tengerrel nehézkes és lassú az összeköttetés, nem csoda, hogy nagy hiány van tüzelőben, s hogy a lakosság háztartási célokra az állatok trágyáját kénytelen használni.	Từ đó, vì nơi này không hề có than đá, giao thông đường biển lại chậm chạp và khó khăn, nên ta không lạ gì chuyện thiếu chất đốt, và dân ở đây, để phục vụ cho các sinh hoạt gia đình, buộc phải đốt phân gia súc.
Itt, a Veldben vannak a fejtés alatt álló gyémántlelőhelyek: a Du Toit’s Pan, a New Rush és a talán legdúsabban termő Vandergaart-Kopje.	Chính ở đằng kia, là xứ Veld ấy, tập trung các mỏ kim cương đang khai thác, mỏ Du Toit’s Pan, mỏ New-Rush, và Vandergaart-Kopje, có lẽ là mỏ giàu nhất trong các mỏ.
Ezek a különféle, felszíni fejtéssel dolgozó bányák, amelyek dry-diggins, vagyis száraz bánya gyűjtőnéven ismeretesek, 1870 óta mintegy négyszázmillió frank értékű gyémántot és drágakövet szolgáltattak.	Những mỏ lộ thiên và gần như ngang mặt đất khác nhau ấy, được gọi với tên chung "dry-digging," tức là mỏ khô, từng cung cấp, từ năm 1870, lượng kim cương và đá quý trị giá khoảng bốn trăm triệu.
A bányák legfeljebb két-három kilométer sugarú körben helyezkednek el.	Chúng nằm tập trung trong một đường tròn có bán kính lớn hơn hai, ba cây số.
Távcsővel tisztán láthatók a Watkins-farm ablakaiból, amely nem esik messzebbre tőlük négy angol mérföld­nél.2	Ta nhìn thấy chúng rất rõ bằng ống nhòm từ cửa sổ trang trại Watkins, chỉ cách đó bốn dặm Anh.
Voltaképpen a farm nem a legtalálóbb kifejezés erre a létesítményre, hiszen a környéken a földművelés legcsekélyebb nyomát sem lehet felfedezni.	Vả chăng, từ "trang trại" không thích hợp lắm để gọi tên cơ sở này, bởi chẳng hề thấy có bất cứ sự trồng trọt nào quanh đấy.
Mister Watkins, akárcsak Dél-Afrika e részének többi úgynevezett farmerei, sokkal inkább volt állattenyésztő gazda, marhagulyák, kecske- és juhnyájak tulajdonosa, mint valóságos mezőgazdasági termelést űző birtokos.	Cũng giống những người tự xưng chủ trang trại ở vùng đất nam Phi này, ông Watkins là một chủ chăn nuôi, người sở hữu nhiều đàn bò, đàn dê và cừu thì đúng hơn là người quản lý một cơ sở sản xuất nông nghiệp thực thụ.
Mr. Watkins közben még mindig nem válaszolt Cyprien udvarias, de határozott kérésére.	Tuy vậy, ông Watkins vẫn còn chưa đáp lại lời cầu hôn vô cùng lịch lãm được Cyprien Méré diễn đạt vô cùng rành mạch.
Vagy három percnyi gondolkodás után végül mégis kivette pipáját a szájszögletéből, úgy tette ezt a kinyilatkoztatást, amelynek nyilvánvalóan édeskevés köze volt a tárgyhoz.	Sau khi dành ít nhất ba phút để suy nghĩ, cuối cùng ông ta cũng quyết định rút tẩu thuốc ra khỏi khóe môi rồi đưa ra ý kiến như sau, nó hẳn nhiên quá xa rời với câu chuyện:
- Úgy vélem, az időjárás megváltozik, kedves uram!	"Tôi nghĩ thời tiết sắp thay đổi, anh bạn trẻ thân mến!
A fiatal mérnök összeráncolta homlokát, és egy pillanatra elfordította a fejét.	Chưa bao giờ chứng bệnh thống phong làm tôi đau đớn như buổi sáng nay!"
- Lemondjak a ginről?!	"Bỏ rượu gin à!
- Ártott a gin valaha egy becsületes embernek?...	Đã bao giờ rượu gin làm hại người lương thiện chưa?...
Hogy a csudába is hívták azt az orvost?	- Này vị bác sĩ đó tên gì nhỉ?
Doktor Abernethy volt, gondolom.	Tôi nhớ là Abernethy thì phải!
De ha a mi vén Angliánkban valakinek ahhoz, hogy jól érezze magát, napi egy shillingből kellene megélnie, akkor mi értelme lenne a vagyonszerzésnek?...	nhưng vì nước Anh cổ kính của chúng ta, nếu để giữ gìn sức khỏe, chỉ sống qua ngày với một bảng Anh, vậy thì làm giàu để làm gì?...
Az efféle ostobaságok nem méltók olyan okos emberhez, amilyen ön, Méré úr!...	Đó là những điều ngốc nghếch không xứng với một người tài trí như anh, anh Méré thân mến!...
- Csak figyelmeztetni akartam egy egészségügyi szabályra, amelyet magam is helyesnek tartok.	Tôi chỉ nhắc ngài nhớ lời châm ngôn về sức khỏe mà tôi cho là đúng đắn!
Ebben a pillanatban nyílt az ajtó.	Đúng lúc này, cánh cửa bật mở.
Fehér bőre, finom­szálú, szép, szőke haja, nagy, kék szeme, kedves, vidám arca egészséget, kellemet és jókedvet sugárzott.	Nàng trạc mười chín đôi mươi, da trắng nõn, với mái tóc đẹp vàng óng mượt mà, đôi mắt to xanh, dáng hình thùy mị và tươi tắn.
- válaszolt Cyprien Méré, aki a fiatal lány beléptekor felállt és kissé meghajtotta magát.	"Chào tiểu thư Alice!" Cyprien Méré đứng dậy khi thấy cô gái trẻ bước vào và nghiêng người đáp lại.
- Rendkívül kedves öntől, kisasszony.	"Tiểu thư thật vô vàn tốt bụng!"
Igen, az elefántcsont-golyómat!...	Chính là viên bi bằng ngà!...
Az a falánk Dada úgy lenyelte, akár egy pirulát.	Con Dada háu ăn kia đã nuốt chửng nó như uống một viên thuốc vậy!
Miss Watkins kék szeme sarkában huncut kis fény csillogott, miközben előadta történetkéjét, mosolya semmi jelét nem mutatta annak, hogy a komor jóslat, akár későn is, valóra válik.	Khi kể lại câu chuyện, ánh mắt xanh biếc của tiểu thư Watkins thoáng lộ nét tươi vui, một nét tươi vui dường như không biểu lộ cái ham muốn lạ lùng rằng lời tiên đoán bi ai kia sẽ thành sự thực, ngay cả về sau này.
- Kérem, ha olyan titkuk van, amit nekem nem szabad hallani, máris megyek!...	"Các vị biết đấy, nếu có chuyện bí mật mà con không nên nghe thì con xin phép ạ!...
Egyébként nekem sincs elvesztegetni való időm.	Vả lại, con không có nhiều thì giờ!
Még egy szonátát kell betanulnom, mielőtt az ebédfőzéshez látnék!	Con phải tập luyện bản xô nát trước, sau đó lo bữa ăn tối!..."
Kifelé indult, de még visszafordult, és pajzán hangon folytatta, pedig komoly tárgyról akart beszélni:	Nàng đã đi rồi, nhưng chợt quay lại, và nói thật duyên dáng, cho dù chủ đề có vẻ rất nghiêm túc:
- Méré úr, ha ki akar kérdezni az oxigénből, rendelkezzék velem.	"Anh Méré này," nàng nói, "khi nào anh muốn hỏi tôi về khí ôxy, tôi sẽ rất sẵn lòng.
Már háromszor elolvastam ezt a vegytani fejezetet, amelyet volt szíves nekem feladni, és most már tisztában vagyok a "színtelen, szagtalan, íztelen gáznemű test" mibenlétével.	Tôi đã đọc đi đọc lại ba lần chương mục hóa học mà anh giao cho tôi học, và cái ‘chất ở thể khí, không màu, không mùi và không vị’ chẳng còn gì bí ẩn đối với tôi nữa!"
Ezután Miss Watkins szép bókot vágott ki és eltűnt, mint egy könnyű meteor.	Nói xong, tiểu thư Watkins cúi người chào lịch lãm rồi biến mất nhanh như sao băng.
Kisvártatva egy kitűnő zongora hangjai csendültek fel a fogadószobától jó távol eső helyi­ségből, jelezve, hogy a fiatal lány hozzákezdett a gyakorláshoz.	Một lát sau, những hợp âm dương cầm hay tuyệt, vọng lại từ một trong những căn phòng cách xa phòng tiếp khách nhất, báo hiệu rằng cô gái đang hoàn toàn thả mình vào bài tập âm nhạc.
- Nos, Watkins úr - szólalt meg Cyprien, akit a kedves lány megjelenése is iménti kérésére emlé­keztetett (ha ugyan egyáltalán képes lett volna megfeledkezni róla) -, lesz szíves vála­szolni tiszteletteljes kérésemre?	"Vâng, thưa ngài Watkins, ngài có thể trả lời cho lời cầu hôn mà tôi vinh hạnh thỉnh cầu ngài lúc nãy?" Cyprien lên tiếng, sự xuất hiện duyên dáng này có lẽ đã nhắc chàng nhớ lời thỉnh cầu của mình, như thể chàng đã quên nó rồi.
Mister Watkins kivette pipáját a szájából, méltóságteljesen köpött egyet, hirtelen fölszegte fejét, és fürkésző pillantást vetett a fiatalemberre.	Ông Watkins rút cái tẩu ra khỏi khóe môi, phun khói xuống nền đầy vẻ oai nghiêm, rồi chợt hất đầu lên, và nhìn soi mói chàng trai trẻ:
- Mit képzel rólam, Watkins úr?	Đã nói với con gái tôi chưa?"
- Ne feledje el, uram, én francia vagyok!...	"Tôi là người Pháp, thưa ngài!...
Ebből gondolhatja, sohasem engedném meg magamnak, hogy az ön beleegyezése nélkül házassági terveket pendítsek meg kedves leánya előtt.	Ngài nên biết rằng tôi không bao giờ cho phép mình nói chuyện hôn nhân với tiểu thư con gái ngài khi chưa được sự đồng tình của ngài!"
Mister Watkins tekintete nyájasabb lett, és nyelve egyszeriben megoldódott.	Ánh mắt ông Watkins dịu lại, và, bỗng chốc, ông ta như được mở lời.
- Ezt már szeretem!...	"Vậy thì tốt!...
Látom, hogy derék fiú!	Chàng trai can đảm!...
- Nos, minthogy önben meg lehet bízni, adja szavát, hogy ezentúl sem fog vele beszélni erről a dologról!	"Vậy thì, cũng bởi tôi có lòng tin ở anh, anh sẽ hứa sau này không nói chuyện đó với con gái tôi nhé!"
- És miért kívánja ezt, uram?	"Tại sao lại như vậy, thưa ngài?"
Méré úr, nem kétlem, hogy ön becsületes fiatalember, tökéletes lovag, kiváló vegyész, hogy jeles tudós, sőt szép jövő előtt áll, de lányom nem lesz az öné, egyszerűen azért, mert egészen más terveim vannak vele.	"Anh Méré này, anh là chàng thanh niên trung thực, người thực sự hào hoa, nhà hóa học tài giỏi, vị giáo sư đáng kính và đầy triển vọng - tôi chẳng nghi ngờ gì - Nhưng anh sẽ chẳng cưới được con gái tôi, bởi lẽ tôi đã chuẩn bị cho con gái những kế hoạch hoàn toàn khác!"
- De hát mégis, Watkins úr...	"Tuy vậy, thưa ngài Watkins..."
