Jules Verne - André Laurie	Jules Verne & André Laurie
A "Cynthia" hajótöröttje	Chú bé thoát nạn đắm tàu
ELSŐ FEJEZET.	CHƯƠNG MỘT:
Aligha van általánosabban ismert tudós Európában, sőt az egész világon, mint Schwaryencro­na, a stockholmi egyetem orvos-tanára.	Chắc gì còn tìm được ở châu u hay bên ngoài phạm vi của nó một học giả mà tên tuổi được mọi người biết rõ như bác sĩ Svariênkrôna ở Xtốckhôm.
Az ő képmása ott van a csukamájolajos üvegeken, s millió meg millió példányban bejárja az egész kerek földet.	Các nhãn hiệu của nhà máy có in hình ông dán lên hàng triệu cái chai được niêm phong bằng một lớp bọc màu xanh.
Hajdanában a halászok keresetforrása volt a csukamájolaj, de a mióta a hires-nevezetes Schwaryencrona kitalálta a módját, hogy miképen kell ezt a különös szagú, de egyébként egészséges folyadékot lehetőleg finomítani és szagát tűrhetővé tenni: azóta a norvég halászok keresete jócskán megcsappant.	Thật ra mà nói thì đó chỉ là một thứ dầu cá mà thôi- mỗi chai giá một Frăng 39 xăng tim (tiền Pháp), được mọi người thừa nhận là thứ thuốc rất thần hiệu, nhất là đối với dân chúng Na Uy, hằng năm đem lại số tiền lời lên đến hàng chục triệu Curon (tiền Na-uy).
Az ismeretlen művész, a ki lepingálta, csodálatos módon eltalálhatta az eredeti vonásokat, a minthogy erről mindjárt meggyőződhetünk.	Ngày nay, nhờ ứng dụng các phương pháp khoa học, nghề sản xuất này đã trở nên tinh vi hơn rất nhiều.
A fiúk, leányok tisztelettudóan felugrálnak, mint a mikor az iskola hivatalos látogatói toppan­nak be nagy váratlanul.	Học sinh đang ngồi trong lớp - một căn phòng lớn, nền đất rắc cát, nữ ngồi bên trái, nam ngồi bên phải.
- Schwaryencrona doktor úr!	- Bác sĩ Svariênkrôna!
A csukamájolajos zöld flaskók képének tehát nagyon kitünőnek kellett lennie.	Đúng là nom ông ta giống hệt hình in trên các nhãn chai!
Igaz ugyan, hogy a jeles doktor Noroëban született, illő vala tehát, hogy a falujabeli fiúk és leánykák ismerjék - a nevét, de mert reá ismertek elevenen is a képe után: vajjon nem lehetett-e méltán büszke a piktor, a ki arczképét remekelte?	Cần ghi nhận rằng những chai dầu cá luôn luôn đập vào mắt các em học sinh của Maljarius: ở Nôrôê đây cũng có một trong số các nhà máy dầu cá của bác sĩ.
Csakugyan a stockholmi hires-nevezetes doktor állott a noroëi iskolának a küszöbén: hegyes szakál; villogó kék szem, prémes sapka és prémes bunda.	Tuy nhiên đã nhiều năm nay bác sĩ không về Nôrôê và đến bây giờ chưa có em học sinh nào tự khoe rằng đã được tận mắt nhìn thấy ông cả.
Ejnye, ejnye, már hogy is elégedhetett meg ilyen kicsiny termettel.	nếu như những điều mê tín trong dân gian thực sự có cơ sở nào đó.
Alig ért föl Malárius mesternek a válláig, pedig a mester egy kissé meg is görbült, aztán jóval soványabb is a jeles doktornál: akár még egyszer olyan magasnak tetszik.	Dẫu sao thì sự "tương đồng" lạ lùng được mọi người nhất trí thừa nhận cũng chứng tỏ tài năng kiệt xuất của nhà họa sĩ vẽ chân dung vô danh.
Malárius mesternek a ruhája is sokkal egyszerűbb, szegényesebb, a szemei sem csillognak úgy, de van az ő tekintetében valami jóleső melegség, az emberszeretet két szelid tükre.	Người hoạ sĩ khiêm tốn ấy hoàn toàn có quyền tự hào về tài năng của mình, khiến cho bất kỳ một nhà nhiếp ảnh tân thời nào cũng phải ganh tị.
Csupa szív-ember a jó öreg.	Không thể lẫn đi đâu được!
A noroëiak jól emlékeznek még arra, hogy hajdanában kitünő tanuló volt, igen szép reményeket fűztek a jövőjéhez, lehetett volna belőle akár egyetemi tanár is.	Mái đầu bạc của ông chỉ đến ngang vai thầy giáo Maljarius, mà đấy là Maljarius đã bị gù xuống ‘dưới gánh nặng của tuổi tác’!
Volt egy beteges, árva huga: Katalin; ez a világ kincseért sem akart Noroëból elmozdulni, mert attól félt, hogy neki a városban meg kell halnia.	Ông mặc chiếc quần soọc tới đầu gối và đi giày có khóa, đầu đội mũ bằng lụa đen, để lộ những mớ tóc bạc.
A jó Malárius a testvérszeretetnek áldozatul hozta fényes jövőjét.	Đám học trò chưa em nào bị Maljarius trừng phạt bao giờ cả.
Falusi tanító lett belőle, csakhogy ápolhassa beteg hugát, szép álmai lassankint szétfoszladoztak, a nemes, szép, de nagyon terhes foglalkozásba beletörődött, sőt igazán meg is szerette azt.	Và cũng như bác sĩ, ông có thể nhận được một học vị, trở thành "Ngài giáo sư" ở môi trường Đại học tổng hợp lớn nào đó, trở nên nổi tiếng và giàu sang.
Néhány évvel utóbb meghalt a huga, mehetett volna, hogy tanulmányait folytassa, de nem ment.	Bà cảm thấy sợ thành phố và tưởng rằng bà sẽ phải bỏ mạng ở nơi ấy.
Ott maradt Noroëban, s gyönyörűségét találta fiú- és leánytanítványainak előhaladásában.	Maljarius thấy rất toại nguyện với những trách nhiệm hàng ngày của người thầy giáo ở trường.
Ha néha-néha egyik-másik nagyon kiváló tehetségével felébresztette a figyelmét: azzal elbabrált, foglalkozott külön is; megtanította latinul, görögül, megismertette vele az irodalom jeles művelőit.	Trường của ông là trường khá nhất huyện, và trong các bài giảng của mình, ông không chỉ hạn chế ở những kiến thức giản yếu được thừa nhận là đầy đủ đối với một trường làng.
Mert úgy gondolkozott, hogy a tudás áldá­sában gazdagnak és szegénynek egyaránt lehet részesednie.	- Tại sao những lợi ích thuộc về một số người này lại là cái mà người khác không thể với tới?
Norvégiában vannak ilyen falusi tanítók s ott nem csodálkozik senki, hogy a falusi iskolákból kikerülő fiúk jóval többet tudnak, mint az egyszerű halászok és földmívelők gyermekei szoktak egyéb országokban tudni.	Các du khách luôn luôn kinh ngạc trước sự tương phản giữa thiên nhiên bán hoang dã của vùng Scanđinav và nền sản xuất phát triển trong các nhà máy và công xưởng, chứng tỏ một trình độ văn hóa khá cao.
No lám, a hires-nevezetes Schwaryencrona doktorról szinte megfeledkeztünk, pedig most már ott állott Malárius mester előtt s karját ölelésre tárva ki, így szólalt meg:	Nếu ông được các em học sinh chưa từng gặp ông trước đây nhận ra ngay, thì không thể nói điều đó với thầy giáo các em, người đã biết bác sĩ từ lâu lắm rồi.
- Édes öreg barátom!	- Chào Maljarius thân mến của tôi!
- Uram, Isten hozta önt - fogadá Malárius mester kissé megzavarodva - engedelmet kérek... de... ha... igazán nem tudom ki...	- Bác sĩ tiến lại gần người thầy giáo, chìa tay ra bắt và sung sướng reo lên.
- Mi a patvar!	- Kính chào ngài!
- Schwaryencrona!	- Svariênkrôna!
- kiáltott fel Malárius mester.	- Maljarius reo lên.
- Igazán te vagy?	- Có thể như thế này sao?
- Ugyan, pajtás, ne komédiázzunk a titulusokkal!	- Xin anh miễn cho mọi nghi thức xã giao!
- Kedves barátom, érdemes, jeles doktor - kezdé aztán a szót - ez a nagy öröm annyira megzavart engem, hogy azt ki sem tudom mondani.	- Ông nhắc lại - Chúng ta không nán lại ở đây làm gì nữa.
Haza küldöm a gyermekeket, jerünk haza.	Bây giờ tôi sẽ cho bọn trẻ về.
- Derék egy ötlet! Helyes!	- Một ý nghĩ hay tuyệt!
No hát gyermekeim, melyik közületek a legjobb tanuló?	- bác sĩ nói sau khi ngồi vào chỗ của thầy giáo.
- kérdé a doktor, minekutána leült a tanító székébe.	Các em hãy cho biết, em nào là trò giỏi nhất trong lớp?
- Hersebom Erik!	- Êrik Hecsêbom ạ!
- kiálták harsány hangon a fiúk és leánykák.	- năm mươi cái giọng trong trẻo đồng thanh đáp.
- Hersebom Erik?	- Êrik Hecsêbom à?
Egy tizenkét éves fiucska jött ki az első padból, s a kathedra előtt megállott.	Một chú bé mười hai tuổi ngồi sau bàn học thứ nhất đứng dậy và đi lên bục giảng.
Egész egyénisége, arczélének finomsága, az értelem, mely vonásaiból kisugárzott: elárulták, hogy idegen a származása.	Cũng giống như mọi chú bé khác, Êrik Hecsêbom mặc bộ quần áo vải thô mà những người nông dân vùng ngoại ô thường mặc.
- Nos hát, fiam, miből kérdezzelek először?	- Chúng ta bắt đầu từ cái gì bây giờ?
- kérdé a kis fiútól.	- Ông hỏi.
- A doktor úr tetszésétől függ!	- Thưa, tùy ngài bác sĩ ạ.- Êrik khiêm tốn trả lời.
Néhány kérdést intézett a fiúhoz, s bámulva tapasztalta, hogy nemcsak a svéd, hanem a franczia és az angol nyelvre vonatkozólag is szabatos, világos és értelmes feleletet ad.	Thật hết sức ngạc nhiên đối với ông là chú bé đã dẫn ra các thí dụ không những bằng tiếng Thụy Điển mà còn bằng cả tiếng Pháp và tiếng Anh nữa.
- Hogyan, barátom, te megtanítottad őket a franczia és angol nyelvre is?	- Chẳng lẽ anh dạy các em cả tiếng Pháp và tiếng Anh ?
- kérdé a doktor Malárius felé fordulva.	- Bác sĩ quay sang hỏi người bạn của mình.
- Csak nem cselekedtem rosszul?	- Thế tại sao lại không được nhỉ ?
A latinról és görögről sem feledkeztem meg.	Tôi thấy chuyện ấy chẳng có hại gì.
- Meghiszem azt!	- Tôi cũng vậy.
Aztán sorra került a növénytan, a geometria.	Bác sĩ lại càng ngạc nhiên hơn.
Erik pompásan megfejtette a háromszög tantételeit.	- Đó là Bắc Băng Dương - Êrik đáp.
A doktor bámulata nőttön-nőtt.	- Thế nó thông với những biển nào?
- Hát a földrajzból?...	- Với Đại Tây Dương ở phía Tây và với Thái Bình Dương ở phía đông.
Meg tudnád-e mondani, fiam, hogy melyik tenger érinti éjszakról Skandináviát, Oroszországot és Szibériát?	- Em có thể kể cho thầy biết hai hoặc ba cảng lớn nhất trên Thái Bình Dương được không?
- Az északi Jeges-tenger.	- Con kể được ạ: Iôkôhama ở Nhật bản.
- Az Atlanti és a Csendes-óczeánnal.	- Tất nhiên ạ, thưa ngài bác sĩ.
- A Csendes-tengernek egy-két jelentékeny kikötőjét említsd meg!	- Êrik đáp, - nếu như đúng là con đường ngắn nhất ấy có thể đi qua được.
- Japánban van Yokohama, Ausztráliában Melbourne és Californiában San-Francisco.	- Không dưới 50 lần trong vòng ba thế kỷ nay, và tất cả đều không thành công.
Az imént azt mondád, hogy az északi Jeges-tenger egyfelől az Atlanti, másfelől a Csendes-tengerrel van összeköttetésben: vajjon nem lehetne San-Franciscóból Yokohamába ezen az északi Jeges-tengeren át jutni a leghamarabb?	- Cuộc thứ nhất được thực hiện năm 1523 theo sáng kiến của Sêbaschian-Kabôt (Lịch sử các cuộc thám hiểm Bắc cực của các nhà hàng hải nói ở đây được trình bày đầy đủ trong cuốn "Khám phá trái đất" của J. Verne).
- Háromszáz év alatt ötvenegyszer próbálták meg, - de mindannyiszor hiába.	Mười lăm năm sau, những người Hà Lan đã thử giải quyết nhiệm vụ ấy.
- Egyik-másik expediczióról tudnál egyetmást elmondani, fiam?	Năm 1596, Barenx hy sinh trên vùng băng Đất Mới.
- Az első expedicziót Cabot Ferencz-Sebestyén rendezte 1532-ben, a három felszerelt hajó Hugh Willoughby kapitánnyal együtt a lappok földén veszett el... - 1580-ban két expediczió indult útra, de ezeknek sem volt eredménye.	Mười năm sau, Hanri Huđzôn được hãng Ost-Inđ của Hà Lan phái đi cũng đã gặp tai nạn y hệt như vậy cùng đoàn thám hiểm thứ ba trong số các đoàn thám hiểm được tổ chức liên tục hết đoàn này đến đoàn khác.
- Tíz évvel utóbb a Hudson-társaság, majd 1653-ban a dánok jártak szerencsétlenül, - 1676-ban Wood John veszett el nyomtalanul...	Từ đó đến nay giải pháp ấy được công nhận là không thể thực hiện được và đã bị tất cả các cường quốc có biển bác bỏ.
Mindezek a rettentő fáradságos expedicziók hiábavalók voltak, sőt a tudósok utóbb úgy vélekedtek, hogy ezen a "jégsivatagon" hajóval át nem lehet jutni.	Trong suốt một thế kỷ, nước Nga đã phái ít nhất mười tám đoàn thám hiểm đi thăm dò Đất Mới, Biển Đỏ, các con đường tiếp cận với Xibir ở phía Đông và phía Tây.
- Így hát szó sem lehet arról, hogy az északnyugoti tengeri átjárót valaha felfedezzék?	- Vậy có nghĩa là phải dứt khoát từ bỏ con đường Đông Bắc?
- Az eddig tett számos kisérlet feljogosít minket arra a véleményre, hogy a Jeges-tengeren hajóval nem juthatni át.	- Ít ra đó cũng là kết luận được nêu lên sau tất cả những cuộc thám hiểm nhiều lần và không đạt kết quả.
