ÉMILE ZOLA	Émile Zola
THÉRÈSE RAQUIN	Thiếu Phụ Đam Mê
A rakodópartról jövet a Guénégaud-utca végén a Pont-Neuf sikátorba jutunk, mely szűk és sötét folyosó módjára húzódik a Mazarin-utcától a Szajna-utcáig.	Đầu đường Guenégaud, nếu đi từ bến cảng sang, người ta sẽ thấy ngõ Cầu Mới, một loại hành lang hẹp và tối tăm chạy dài từ đường Mazarine đến đường sông Seine.
Ez a sikátor harminc lépés hosszú és legfeljebb két méter széles; fakó, kopott és helyükből részben már kimozgatott kőkockákkal van kikövezve, amelyek mintha izzadnának, folyton nedvesek; a sikátort fedő üvegtető derékszögben vágott táblái feketék a portól.	Ngõ này quá lắm chừng ba mươi bước bề dài và hai bước bề rộng, được lót bằng những tấm đan vàng nhợt, cũ sờn, bong ra, tiết một mùi ẩm mốc nồng nặc, còn khung viền quanh vuông vức, đen vì cáu bẩn.
Szép nyári napokon, mikor a renyhe nap égeti az utcákat, a piszkos üvegtáblákon fehéres világosság szűrődik át s nyomoruságosan suhan végig a sikátorban.	Vào những ngày hè đẹp, khi ánh mặt trời nặng nề chói chang trên các đường phố thì một luồng sáng trắng nhợt rơi xuống các cặp kính bẩn và lê lết thảm hại trong ngõ.
A halvány téli napokon, ködös reggeleken a kövezet nyirkos kockáira az üvegfedél csak a rút, piszkos éjszaka sötétségét bocsátja át.	Còn những ngày mùa đông khắc nghiệt, những buổi sáng sương mù, các cửa kính chỉ hắt bóng tối dày đặc xuống mặt đường nhầy nhụa, thứ bóng tối bẩn thỉu và ghê tởm.
A sikátortól balra homályos, alacsony, nyomott boltok tátonganak, hideg pincelevegőt árasztva.	Bên trái, những cửa hiệu u ám, thấp lè tè, nằm khuất lấp để tránh những làn hơi lạnh từ hầm rượu.
Ódonkönyvárusok, gyermekjáték-kereskedők, papirüzletek vannak itt, melyeknek a portól szürke kirakatai szunyókálnak a homályban; a kirakatok kis kockákra szabott üvegtáblái furcsa zöldes, hullámos fényt vetnek a kirakott árúkra; ezeken túl, a kirakatok mögött a sötétséggel telt boltok mindmegannyi gyászos lyukak, melyekben bizarr formák imbolyognak.	Ở đó có các quầy hàng sách cũ, đồ chơi trẻ con, các quầy hàng giấy bồi mà hàng hoá xám xỉn vì bụi bặm phô bày lờ mờ trong bóng tối, những tủ kính tạo bằng những ô vuông nhỏ lấp lánh ánh phản chiếu nhợt nhạt kỳ lạ của hàng hoá, đàng kia, sau các quầy hàng, các cửa hiệu tràn ngập bóng tối là bấy nhiêu lỗ hổng âm u lắc lay những bóng hình kỳ dị.
Jobbról a sikátor egész hosszában egy fal huzódik, amelyre a szemközt levő boltosok szűk kirakat-szekrényeket akasztottak; valami rettenetes barna színre vannak festve ezek a keskeny deszkaalkotmányok, amelyekben mindenféle lim-lom, húsz év óta ottfelejtett árú tárul az ember elé.	Bên phải, một bức tường chạy dài suốt ngõ mà các chủ hiệu đối diện để sát vào nó những tủ bày hàng nhỏ hẹp, đồ vật linh tinh, hàng hoá bị bỏ quên ở đó từ hai chục năm nay nằm chỏng chơ dọc theo những tấm ván mỏng xỉn màu nâu tớm lợm.
Az egyik szekrényben egy hamis ékszerekkel kereskedő nő rendezkedett be; ez tizenöt souért adja a gyűrüit, melyek mahagóni fából készült dobozban, kék bársony ágyba vannak gondosan fektetve.	Một bà hàng nữ trang giả trụ ở một những chiếc tủ quầy hàng đó, bán những chiếc nhẫn giá mười lăm xu được xếp đặt khéo léo trên một miếng đệm nhung màu xanh, trong đáy chiếc hộp bằng gỗ đào hoa tâm.
A kirakatok felett sötéten emelkedik magasba a fal, mely durván van bevakolva, olyan, mintha leprás volna és tele lenne beforradt sebhelyekkel.	Phía trên mái kính, bức tường sừng sững vươn lên, đen đúa trát vữa vụng về, như mắc chứng phong sùi loang lổ đầy những vết sẹo.
A Pont-Neuf sikátorban nem szoktak sétálni.	Ngõ Cầu Mới không phải là chỗ để dạo chơi.
Csak azért megy bele az ember, hogy mellőzhessen egy kerülőutat s ezzel néhány percet nyerjen.	Người ta dùng nó để tránh đường vòng, tiết kiệm một vài phút.
Nagyon elfoglalt emberekből álló közönség jár benne, melynek egyetlen gondja, hogy gyorsan mehessen és egyenes irányban.	Đó là những người bận rộn mà nỗi lo âu duy nhất là đi nhanh và đi thẳng về phía trước.
Inasgyerekeket látunk itt munkakötényben, nőket, akik viszik haza a munkájukat; minden férfi és minden nő visz valami csomagot a karján; öreg emberek vonszolják magukat a gyászos félhomályban, mely átszűrődik az üvegfedélen és kis gyermekcsapat, mely az iskolából jövet erre tart s egészen felveri futása közben a környéket, amint szaporán kopognak facipőik a kövezeten.	Người ta thấy ở đó có những người học việc mang tạp dề, những cô thợ mang túi đồ khâu, những người đàn ông và đàn bà tay xách nách mang, những người già lê bước trong bóng hoàng hôn ảm đạm phủ trên các mặt cửa kính, những nhóm trẻ con tan trường qua đó gây thành đợt xôn xao khi tiếng guốc gõ nhịp trên các tấm đan lót đường.
Egész nap hallatszik a sietős lépések száraz zaja a kövezeten, bizonyos izgató szabálytalansággal; senki sem beszél, senki meg nem áll; mindenki megy a dolga után, lehorgasztott fejjel és gyors léptekkel, anélkül, hogy csak rá is tekintene a boltokra.	Trong ngày, chỉ có tiếng chân khô khan và hối hả khua vang trên đá một cách bất thường gây bực dọc, còn thì không ai nói năng, không ai dừng chân lại, mỗi người theo đuổi sự bận tâm của riêng mình, đầu cúi thấp, chân bước dồn, không một cái liếc mắt vào các cửa hiệu đó.
A boltosok szinte nyugtalan arccal néznek a járókelőkre, ha csodálatosképen megállnak a kirakatuk előtt.	Những người bán hàng với vẻ bồn chồn nhìn những khách bộ hành mà do điều thần kỳ nào đó, dừng lại bất chợt trước quầy hàng của họ.
Esténként három nehéz, négyszögletü lámpásba zárt gázláng világítja meg a sikátort.	Vào chiều tối, ba ngọn đèn hơi đốt được bọc trong các lồng đèn nặng chịch vuông vức, toả ánh sáng cho ngõ.
Ezek az üvegfedélről lecsüngő gázlámpások fakószinű fényfoltokat vetnek föl a fedélre, lefelé pedig pislogó sápadt fényt árasztanak maguk körül, mely minden pillanatban kialvással fenyeget.	Những ngọn đèn treo lơ lửng trên khung kính hắt những vệt sáng lạc lõng, tạo chung quanh chúng những chùm tia nhợt nhạt leo lét, chừng như sẵn sàng tắt ngấm đi.
A sikátor oly komor külsejű, mintha valóságos gyilkos-tanya volna; hosszú árnyak terjengenek a kövezeten, nedves szellők suhannak be az utcáról; szinte azt képzeli az ember, hogy ez a sikátor valami földalatti folyosó, melyet gyéren világít meg három gyászlámpa.	Ngõ có cái vẻ âm u của một nơi chốn vắng vẻ đầy bất trắc, với những đám tối phủ trên mặt đất lát, những làn hơi ẩm ướt bốc lên từ mặt đường, như thể một đường hầm được soi sáng lờ mờ bởi ba ngọn đèn tang.
A kereskedők beérik itt annyi világítással, amennyit a gázlámpák sovány fénysugarai juttatnak a kirakatjaikba; a boltjukban csak egy lámpást gyujtanak meg (azon is ernyő van) és az irodájuk egyik sarkába teszik; a járókelők így is láthatják, hogy mi van ezeknek az oduknak a mélyén, ahol még nappal is az éjszaka tanyázik.	Các chủ hiệu bằng lòng với những tia sáng yếu ớt từ các ngọn đèn hơi đốt này hắt xuống các khung kính của họ, trong tiệm chỉ thắp một ngọn đèn chụp khác được đặt ở một góc sâu, và người qua đường có thể vì thế phân biệt được những gì bên trong các hốc tối vào lúc ban ngày đó.
Az árusítónő, kezeit a nagy kendője alá dugva szundikál boltjának a mélyén.	Bà hàng đang gà gật phía sau quầy, đôi bàn tay khuất dưới tấm khăn choàng.
Ezzel az árusítónővel szemben néhány évvel ezelőtt volt egy bolt, melynek üvegzöld faburkolata minden eresztékéből nyirkosságot izzadott.	Đã vài năm nay, đối diện với bà hàng đó là một cửa hiệu với ván lát tường màu xanh ve rịn mùi ẩm mốc từ mọi kẽ hở.
A cégtáblára, mely egy szál keskeny, hosszú deszkából készült, fekete betükkel ez a szó volt írva: RÖVIDÁRUKERESKEDÉS; az ajtó üvegtábláján pedig ez a női név volt vörös betükkel: Therese Raquin.	Bảng hiệu làm bằng một tấm ván dài và hẹp, trên có hàng chữ màu đen: Tiệm tạp hoá, và trên một trong những khung kính cửa hiệu có ghi tên phụ nữ: Thérèse Raquin, bằng chữ đỏ.
Jobbról és balról mély kirakatok voltak, kék papirral kárpitozva.	Hai bên cửa kính lún sâu vào, được phủ giấy xanh lơ.
Nappal, az enyhe félhomályban nem lehetett mást megkülönböztetni a kirakatban, csak a kirakatállványokat.	Vào ban ngày chỉ có thể phân biệt hàng bày bán trong một cảnh tranh tối tranh sáng hơi dịu.
