ALEXANDRE DUMAS	Alexandre Dumas
HÚSZ ÉV MÚLVA	Hai mươi năm sau
ELSŐ KÖTET 1	Chương 1
Richelieu fantoma	Bóng ma của Richelieu
A Bíborosi Palota egyik, előttünk jól ismert szobájában, négy sarkán aranyveretű, iro­mányokkal s könyvekkel megrakott asztalnál, kezébe hajtott fővel egy férfi ült.	Trong căn phòng của Cung giáo chủ mà chúng ta đã từng biết, bên chiếc bàn có góc thếp vàng trên chất đầy giấy tờ sổ sách, một người đang ngồi tì đầu lên hai bàn tay.
Mögötte hatalmas, vörösen izzó kandalló, melynek szikrázó parazsai széles, aranyozott tűzikutyákon omlottak szerte.	Phía sau ông ta là một lò sưởi lớn đỏ rực lửa, những thanh củi bốc cháy đổ sụt trên những thanh sắt rộng vàng chóe.
E kályha fényei hátulról világították meg a tűnődő pompás öltözetét, elölről pedig több karú gyertyatartó vetett rá világosságot.	Ánh lò sưởi soi rọi phía sau bộ y phục lộng lẫy của con người trầm ngâm được ánh cây đèn thắp đầy nến chiếu sáng từ phía trước.
Sajnos, valóban csak árnyéka volt a nagy férfiúnak!	Quả thực đó chỉ là vong hồn của con người vĩ đại ấy.
De ami mindennél jobban bizonyította, hogy a vörös palást nem az öreg bíborosé: a magá­nyos­ság volt, mely, amint mondtuk, inkább holmi kísértetből látszott áradni, mint élő személyből; meg azok az udvaroncok nélkül kongó folyosók s az őröktől nyüzsgő udvarok; bizonyítá továbbá az utcáról beözönlő, csúfolkodó hangulat, mely áthatolt e miniszter ellen összefogott város izzó leheletében rázkódó szobának az ablakain; végül a távoli s meg-megújuló puskalövések dördülései, melyeket szerencsére vaktában s eredmény nélkül eregettek, csak azért, hogy megmutassák a gárdistáknak, a svájci gárdának, a testőröknek s a Palais-Royalt körülvevő katonaságnak (mert maga a Bíborosi Palota is nevet változtatott), hogy a népnek is vannak fegyverei.	Nhưng điều rõ hơn tất cả rằng tấm áo dài đỏ không phải là tấm áo của vị cố giáo chủ, ấy là sự cô đơn của một bóng ma hơn là một kẻ đang sống, ấy là những dãy hành lang vắng bóng các cận thần, những sân đầy những vệ sĩ, ấy là cái tinh thần nhạo báng bốc lên từ phố phường nó xuyên qua những cửa kính của căn phòng này đang bị lay động trước hơi thở của cả một kinh thành liên minh chống lại tể tướng, sau hết ấy là tiếng súng xa xa không ngớt dội về, may thay chỉ bắn vu vơ và không kết quả cốt làm sao cho bọn vệ sĩ, bọn lính gác Thuỵ Sĩ, đám ngự lâm quân và các binh lính bao quanh Hoàng cung - chính là Cung giáo chủ đã đổi tên - hiểu rằng nhân dân cũng có vũ khí.
Richelieu-nek ez a fantoma: Mazarin volt.	Cái bóng ma ấy của Richelieu chính là Mazarin.
Nos, Mazarin egyedül volt, s gyengének érezte magát.	Vì chưng Mazarin đơn độc và tự cảm thấy mình hèn yếu.
- suttogta.	- Người ngoại quốc?
Ezzel a jelszóval gyilkolták meg, akasztották fel s pusztították el Concinit,2 s ha engedném nekik, engem is így gyilkolnának meg, akasztanának fel és pusztítanának el, ámbár soha egyéb rosszat nem míveltem velük, csak egy kicsit megszorongattam őket.	Với lởi ấy, chúng ta đã ám sát treo cổ, xé xác Concini và nếu ta để mặc chứng, ắt chúng cũng sẽ ám sát ta, treo cổ ta, xé xác ta như vậy; mặc dù ta chẳng hề gây cho chúng một điều tai hại gì ngoài việc bóp nặn chúng một tí chút.
Az ostobák!	Đồ ngu ngốc?
- Igen, igen - folytatta a miniszter, ravasz mosolyával, mely ez alkalommal oly furcsának hatott sápadt ajkain -, igen, morajotok azt mondja nekem: a kegyencek sorsa kétes; de ha ezt tudjátok, azt is tudnotok kell, hogy én nem akármilyen kegyenc vagyok!	- Phải rồi, phải rồi, - vị tể tướng nói tiếp và xảo quyệt cười, lần này cái cười có vẻ lạ lẫm trên đôi môi nhợt nhạt, - phải rồi, những tiếng đồn của các ngươi đã nói với ta điều đó, số phận của các sủng thần là bấp bênh, nhưng nếu các người biết điều đó thì các người cũng phải biết rằng ta đây, ta chẳng phải là một sủng thần tầm thường.
Essex grófjának3 pazar, gyémántokkal tündöklő gyűrűje volt, melyet királyné-szeretőjétől kapott; az én gyűrűm egyszerű, csak egy monogram s egy dátum diszíti4, ezt a gyűrűt azonban megáldották a Palais-Royal kápolnájában; de nem is fognak engem megtörni kényük-kedvük szerint!	Bá tước D Essex có một cái nhẫn tuyệt đẹp nạm đầy kim cương mà nữ hoàng tình nhân đã tặng: còn ta chỉ có một chiếc nhẫn bình thường với một con số ngày tháng, nhưng nó đã được ban phước tại tiểu thánh đường trong Hoàng cung, cho nên họ sẽ không phế bỏ ta theo nguyện vọng của họ.
Nos: Beaufort Vincennes-ben van, a Hercegúr maholnap követi oda, a parlament pedig...	Ông de Beaufort đang ở Vinxen; Hoàng thân nay mai sẽ đến theo ông ta, còn nghị viện…
- Az ám, a parlament!...	- Nào!
Ó, csak legalább ne volnék idegen, ha legalább francia volnék, ha legalább nemesember!	Giá như ta không phải là người ngoại quốc, giá như ta là người Pháp, giá như ta là người quý tộc!
A helyzet csakugyan súlyos volt, s az elmúlt nap csak még bonyolultabbá tette.	Quá thật, tình thế đang khó khăn, và cái ngày vừa trôi qua càng thêm phức tạp.
Íme, mi történt hát e két társadalmi rétegben:	Đây là chuyện xảy ra từ hai phía đó:
Január 7-én hét- vagy nyolcszáz párizsi kereskedő gyűlt össze, s tiltakozott az új adó ellen, melyet a háztulajdonosokra készültek kivetni, s tízüket küldöttségbe menesztették az orléans-i herceghez, ki régi szokása szerint kereste a népszerűséget.	Ngày bảy tháng Giêng, bảy đến tám trăm nhà buôn tập hợp và bị kích loạn về một khoản thuế mới mà người ta muốn đánh vào các trạch chủ, và họ đã cử mười đại biểu đến trình bày với quận công Orléans, người vốn có thói quen lấy lòng dân.
A herceg fogadta őket; kijelen­tették: még akkor sem fizetnék meg ezt az új adót, ha fegyveresen kellene védekezniök a király adószedői ellen.	Quận công tiếp họ và họ tuyên bố sẽ quyết định không đóng khoản thuế mới cho dù có phải dùng vũ lực chống lại quan quân của nhà vua đến thu thuế.
Orléans hercege nagy megértéssel hallgatta meg őket, s némi módosítás reményét csillantotta meg, ígérve, hogy beszélni fog a királynéval az ügyről, s a fejedelmek szokásos: "majd meglátjuk"-ával elbocsátotta őket.	Quân công Orléans lắng nghe với vẻ rất ân cần, làm họ hy vọng một sự giảm nhẹ nào dấy, hứa sẽ trình lại với hoàng hậu và đã tông biệt họ bằng lời nói thông thường của các ông hoàng: "Người ta sẽ xem xét".
