ANTOINE DE SAINT-EXUPÉRY	Antoine de Saint-Exupéry
AZ EMBER FÖLDJE	Cõi người ta
Itt tanultam meg a mesterséget.	Tôi học nghề tại đó.
Próbarepülések, áthelyezések Toulouse és Perpignan között, szomorú meteorológiai leckék egy rideg hangárban.	Những cuộc tập dượt lái thử các kiểu phi cơ, những lần di chuyển giữa Toulouse và Perpignan, những bài học buồn thiu về khí tượng ở tận một căn phòng sâu hút trong một xưởng giá băng.
Fekete boszorkányok tiltottak vissza a völgyek bejáratától, villámok kévéi koronázták a hegyormokat.	Thế giới của những con hắc long khổng lồ đứng chặn lối vào thung lũng, của những tràng chớp động vây bọc đầu non.
De időről időre előfordult, hogy egyikük nem tért vissza, tiszteletre méltóan immár az örökkévalóságig.	Và thỉnh thoảng trong đám người ấy có một kẻ bay đi không thấy trở về, thì ông trở thành thiên thu khả kính.
Rossz időben a nyitott repülőgépekből ki kellett hajolni, túl a szélvédőn, hogy jobban lásson az ember, utána sokáig fülében zúgott a szél robaja.	Tôi nhìn Bury, tôi nuốt nước bọt, và cuối cùng đánh bạo xin hỏi liều xem cho biết chuyến bay của anh vừa rồi có phải gian nan lắm không.
Végre fölemelte fejét, látszott: meghallott, visszaemlékezik, hirtelen tisztán fölnevetett.	Bury dường như không nghe tiếng tôi hỏi, anh nhíu trán, cúi gằm đầu trên đĩa ăn.
Bury ritkán nevetett: ez a rövid, fáradságát megvilágító nevetés bámulatba ejtett.	Tiếng cười tuyệt diệu, Bury vốn rất ít khi cười, cái cười ngắn ngủi làm rạng ngời cơn nhọc mệt của anh.
Nem adott egyéb fölvilágosítást győzelméről, lehajtotta fejét, csöndesen rágcsált tovább.	Anh không giải thích gì thêm nữa về sự đắc thắng của mình, anh nghiêng đầu lặng lẽ tiếp tục nhai.
De a vendéglő homályában, ahol a kishivatalnokok pihenték ki szerény napi fáradalmukat, ez a lompos vállú bajtárs különösen nemesnek tűnt; kemény kérge alatt megvillant az angyal, aki legyőzte a sárkányt.	Nhưng trong phòng ăn xám xịt, ngồi giữa đám công chức nhỏ đang gắng gượng tìm cách quên đi những nhọc mệt rời rã ban ngày, thì người bạn có đôi vai nặng trĩu kia mang một vẻ cao nhã lạ thường.
És végre eljött az este, amikor az igazgató irodájába hívatott.	Rồi tới ngày đến lượt tôi được gọi vào phòng ông giám đốc.
Ott maradtam, előtte álltam, vártam, hogy elbocsásson.	Tôi đứng yên, chờ ông cho phép lui gót.
- kérdezte hosszú szünet után.	- Anh đã rõ các chỉ thị rồi chứ?
Az akkori motorok távolról sem voltak olyan biztosak, mint a maiak.	Máy bay thời đó không đảm bảo như máy bay ngày nay.
Sokszor előfordult, hogy váratlanul, minden előzmény nélkül, nagy csörömpöléssel cserbenhagytak.	Nhiều lúc tự nhiên phát-động-cơ đột ngột vỡ toang, loảng xoảng phá-liệt hệt như tiếng chén dĩa bể.
Akkor azután bukdácsoltunk lefelé, Spanyolország sziklás talaja felé, hol nem nyílott semmiféle menedék.	Mình lại đương đi về hướng vùng núi Tây Ban Nha, nơi không một chỗ hạ cánh tị nạn.
A legfontosabb mindenekelőtt az volt, hogy ne vakon közelítsük meg a sziklákat.	Điều cần yếu là đừng có dại dột mù quáng lao đầu bừa xuống núi.
Ha a pilótának kényszerleszállást kellett végrehajtania, a fehér gomolyagba merülve könnyen nekiütközhetett volna a hegycsúcsoknak, anélkül, hogy látná őket.	Lúc máy hỏng, nếu phi công đang len lỏi bay giữa những dải mây trắng xóa, thôi chỉ còn có thể đâm đầu vào núi mà không biết, không hay.
Ezért hívta föl figyelmemet ezen az estén ez a nyugodt hang még egyszer az utasításokra.	Thế nên chị đêm ấy, một giọng nói chậm rãi đã nhấn mạnh vào những mệnh lệnh phải theo.
- ... de ne felejtse el: a felhőtengerek alatt... ez az örökkévalóság...	- … Nhưng chớ nên quên rằng bên dưới những biển mây kia là ngàn năm ngủ mãi.
Hirtelen szokatlan értelme lett előttem annak a nyugodt, tiszta, egyszerű világnak, amely akkor tárul az ember elé, amikor kibukkan a felhők közül.	Bỗng dưng cái bình lặng phẳng lì đơn giản ta khám phá được mỗi khi nhô lên khỏi các tầng mây, bỗng dưng đối với tôi, cái thế giới đó đã mang một ý nghĩa lạ.
Ez a fehér kép számomra a valóság és a valószerűtlenség, az ismert és a megismerhetetlen határvonala lett.	Cái khoảnh tròn cuồn cuộn, trắng phau kia đã biến thành biên giới giữa hai cõi thực và hư, giữa hai bờ chân và ảo.
És megsejtettem: egy-egy látványnak csak egy kultúrán, egy műveltségen, egy mesterségen át van értelme.	Lúc ra khỏi phòng ông giám đốc, tôi cảm thấy một niềm kiêu hãnh thơ ngây.
Hajnaltól fogva utasokért, az afrikai postáért vagyok felelős.	Tôi nhận ra quả thật mình chưa chuẩn bị được chu đáo.
