Nguyên tác: Le Tour du monde en quatre-vingts jours	﻿ ~~~ JULES VERNE	-0.28125
		0.3
Tác giả: Jules Verne	NYOLCVAN NAP ALATT	0.229412
 ~~~ Thể loại: Tiểu thuyết, phiêu lưu, khoa học ~~~ 		-0.3
Dịch giả: Duy Lập	A FÖLD KÖRÜL	0.15
		0.3
Nhà xuất bản: Hội Nhà Văn ~~~ 	FORDÍTOTTA	-0.225
Năm xuất bản: 2002 ~~~ 	CSATLÓS JÁNOS	-0.06
		0.3
		0.3
		0.3
		0.3
Dự án Ebolic #16	TARTALOM	0.0333333
		0.3
Shooting: Scan trên mạng	ELSŐ FEJEZET	0.0230769
	Egy megállapodásról, melynek értelmében Phileas Fogg és Passepartout	-0.3
 ~~~ Typing: Amy, Minh Thanh, Uyen Vo ~~~ 	kölcsönösen gazdává, illetve inassá fogadja egymást	-0.18
Checking: Tornad	MÁSODIK FEJEZET	0.3
 ~~~ Leading & Publishing: Tornad ~~~ 	Passepartout megbizonyosodik róla, hogy álmai ezúttal valóra váltak	-0.235714
Ngày hoàn thành: 17/5/2017 ~~~  ~~~ 	HARMADIK FEJEZET	-0.16875
 ~~~ Ebolic là dự án chế bản ebook do Bookaholic thực hiện.	Egy beszélgetésről, mely Phileas Foggnak sokba kerülhet	-0.00833333
Chúng tôi hoạt động hoàn toàn phi lợi nhuận và dựa trên tinh thần tự nguyện, với mục đích mang đến cho độc giả những đầu sách hay và lan tỏa văn hóa đọc cho cộng đồng.		-0.3
Chúng tôi khuyến khích độc giả mua sách in, và chỉ nên tìm đến ebook này khi không thể tiếp cận ấn phẩm sách.	NEGYEDIK FEJEZET ~~~ Passepartout-nak, Phileas Fogg inasának leesik az álla a meglepetéstől	-0.0625
Liên hệ với Ebolic qua:	ÖTÖDIK FEJEZET	0.13125
 ~~~ Email: ebook@bookaholic.vn	Új valuta a londoni tőzsdén	-0.00555556
 ~~~ Group: facebook.com/groups/ebolic	HATODIK FEJEZET	-0.18
 ~~~ Fanpage: facebook.com/EbolicEbook ~~~  ~~~  ~~~  ~~~ 	Fix detektív méltán türelmetlenkedik	-0.204286
 ~~~ Ebook được thêm nhiều chú thích, sửa lỗi dịch, sửa lỗi đánh máy, lược bỏ ảnh minh họa trong sách in, do đó sẽ có nhiều khác biệt với bản in của dịch giả Duy Lập, NXB Hội Nhà Văn, 2002.		-0.3
Tất cả chú thích đề Tornad là của người làm ebook; những chú thích không đề đều là của dịch giả; chú thích của tác giả, chỉ có một cái, được ghi ngay giữa nội dung sách, trình bày dựa theo nguyên tác Le Tour du monde en quatre-vingts jours.		-0.3
Tất cả tên riêng phiên âm trong sách đã được thay thế bằng tên tiếng Pháp bởi người làm ebook – Tornad, dựa theo nguyên tác Le Tour du monde en quatre-vingts jours.		-0.3
Đặc biệt cảm ơn hai bạn Quỳnh Anh và Ngọc Quỳnh đã nhiệt tình giúp đỡ để phần Lời giới thiệu được thay thế đủ hết các tên riêng.	HETEDIK FEJEZET ~~~ Újabb bizonyíték arról, hogy rendőri ügyekben az útlevél fabatkát sem ér	-0.10618
MỤC LỤC ~~~ 	NYOLCADIK FEJEZET	-0.0461538
 ~~~ 	Passepartout talán egy csöppnyivel többet beszél a kelleténél	-0.45
LỜI GIỚI THIỆU	KILENCEDIK FEJEZET	0.283333
 ~~~ I – Phileas Fogg và Vạn Năng nhận nhau làm chủ và tớ như thế nào	A Vörös-tenger és az Indiai-óceán nem húzza keresztül Phileas Fogg terveit	0.241176
	TIZEDIK FEJEZET	-0.6
II – Như thế nào mà Vạn Năng đinh ninh rằng cuối cùng đã tìm thấy lý tưởng của mình ~~~ 	Passepartout olcsón megússza, csak a cipőjét hagyja el ~~~ TIZENEGYEDIK FEJEZET	-0.191096
III – Làm thế nào mà nổ ra một cuộc chuyện trò có thể rất tai hại cho Phileas Fogg ~~~ 	Phileas Fogg csillagászati áron paripát vásárol ~~~ TIZENKETTEDIK FEJEZET	0.156696
IV – Phileas Fogg đã làm anh hầu Vạn Năng của mình chết đứng như thế nào	Mire vezetett Phileas Foggnak és útitársának őserdei kalandozása?	0.568718
 ~~~ V – Một chứng khoán mới đã xuất hiện trên quảng trường Luân Đôn như thế nào ~~~ 		-0.3
VI – Viên thanh tra Fix biểu lộ một sự sốt ruột rất chính đáng như thế nào	TIZENHARMADIK FEJEZET ~~~ Passepartout újra bebizonyítja, hogy bátraké a szerencse	-0.00974026
 ~~~ VII – Thêm một lần nữa chứng tỏ sự vô dụng của những giấy hộ chiếu trong công việc của ngành cảnh sát.		-0.3
VIII – Vạn Năng có lẽ nói nhiều hơn sự cần thiết như thế nào	TIZENNEGYEDIK FEJEZET	-0.385714
 ~~~ IX – Biển Đỏ và biển Ấn Độ tỏ ra thuận lợi cho những kế hoạch của Phileas Fogg như thế nào.	Phileas Fogg befutja a Gangesz csodás völgyét, de arra sem kíváncsi	0.152381
X – Vạn Năng rất đỗi sung sướng chịu mất đôi giày để được thoát nạn như thế nào	TIZENÖTÖDIK FEJEZET ~~~ A pénzes zsák tovább apad; egy-két ezresnek megint lába kel	-0.0346154
 ~~~ XI – Trong trường hợp nào mà Phileas Fogg phải mua một con vật để cưỡi với giá đắt kinh người	TIZENHATODIK FEJEZET ~~~ Fix úgy tesz, mintha kettőig sem tudna számolni	-0.24
 ~~~ XII – Phileas Fogg và các bạn mình mạo hiểm qua rừng Ấn Độ như thế nào và những chuyện gì đã xảy ra từ đó ~~~ 		-0.3
XIII – Vạn Năng một lần nữa chứng minh rằng số mệnh ủng hộ những người táo bạo như thế nào ~~~ 		-0.3
XIV – Phileas Fogg đi qua tất cả lưu vực kỳ lạ của sông Hằng mà không thèm ngắm cảnh như thế nào ~~~ 	TIZENHETEDIK FEJEZET ~~~ Apróságok a hajóúton, Singapore-Hongkong között	-0.221831
XV – Do đâu mà cái xắc bạc giấy còn nhẹ thêm vài ngàn livrơ nữa	TIZENNYOLCADIK FEJEZET	-0.354545
 ~~~ XVI – Fix có vẻ chẳng biết gì cả về những chuyện người ta nói với ông như thế nào ~~~ 	Phileas Fogg, Passepartout és Fix külön-külön lát dolga után	-0.0533333
XVII – Do đâu mà sinh chuyện này chuyện nọ trong chuyến đi từ Singapore đến Hồng Kông	TIZENKILENCEDIK FEJEZET ~~~ Passepartout a kelleténél többet akar tudni Mr. Foggról.	-0.0269231
 ~~~ XVIII – Phileas Fogg, Vạn Năng, Fix, ai lo phận nấy chạy theo công việc của mình như thế nào ~~~ 		-0.3
XIX – Vạn Năng quá quan tâm đến ông chủ của mình và hậu quả từ đó sinh ra như thế nào ~~~ 	Mi következik ebből? ~~~ HUSZADIK FEJEZET	-0.371053
XX – Fix bắt đầu giao du trực tiếp với Phileas Fogg như thế nào ~~~ 	Fix közvetlen kapcsolatot teremt Phileas Fogg-gal ~~~ HUSZONEGYEDIK FEJEZET	0.210093
XXI – Do đâu mà ông chủ tàu Tankadère suýt nữa mất toi món tiền thưởng hai trăm livrơ	Elnyeri-e a kétszáz font jutalmat a Tankadčre kapitánya? ~~~ HUSZONKETTEDIK FEJEZET	-0.0272727
 ~~~ XXII – Trong hoàn cảnh nào Vạn Năng thấy rõ ngay cả ở những điểm đối chân vẫn nên cẩn thận có ít tiền trong túi ~~~ 	Passepartout belátja, hogy a világ végén sem árt, ha pénz van a zsebünkben ~~~ HUSZONHARMADIK FEJEZET	-0.233333
XXIII – Cái mũi của Vạn Năng được kéo dài quá khổ như thế nào ~~~ 	Passepartout orra módfelett hosszúra nyúlik ~~~ HUSZONNEGYEDIK FEJEZET	-0.159091
XXIV – Cuộc vượt biển qua Thái Bình Dương mất bao nhiêu ngày ~~~ 	Sikeres átkelés a Csendes-óceánon ~~~ HUSZONÖTÖDIK FEJEZET	-0.17069
XXV – Cái nhìn thoáng qua về San Francisco trong một ngày mít tinh	Meeting San Franciscóban. ~~~ Futó benyomások	0.135
 ~~~ XXVI – Chuyến đi trên đoàn tàu tốc hành tuyến đường sắt Thái Bình Dương diễn ra như thế nào	HUSZONHATODIK FEJEZET ~~~ Utazás a nagy nyugati expresszen	-0.297115
 ~~~ XXVII – Vạn Năng theo học với tốc độ hai mươi dặm một giờ một giáo trình lịch sử Mormon như thế nào ~~~ 	HUSZONHETEDIK FEJEZET ~~~ Passepartout óránként húszmérföldes sebességgel átfutja a mormonok történetét	-0.207692
XXVIII – Vạn Năng không thể làm cho người ta nghe được tiếng nói của lẽ phải như thế nào	HUSZONNYOLCADIK FEJEZET ~~~ Passepartout a józan ész mellett kardoskodik, de nem hallgatnak rá	-0.0247059
 ~~~ XXIX – Câu chuyện kể về các loại sự cố chỉ xảy ra trên những tuyến đường sắt của Liên bang ~~~ 	HUSZONKILENCEDIK FEJEZET ~~~ Beszámoló bizonyos epizódokról, melyek csupán az Unió rail-roadjain adódnak ~~~ HARMINCADIK FEJEZET	-0.305
XXX – Phileas Fogg chỉ làm bổn phận của mình thôi như thế nào ~~~ 	Phileas Fogg csupán a kötelességét teljesíti ~~~ HARMINCEGYEDIK FEJEZET	0.208571
XXXI – Ông tranh tra Fix đã đứng rất nghiêm chỉnh về phía lợi ích của Phileas Fogg như thế nào	Fix ugyancsak szívén viseli Phileas Fogg érdekeit ~~~ HARMINCKETTEDIK FEJEZET	0.393351
 ~~~ XXXII – Phileas Fogg mở một cuộc chiến đấu trực diện chống lại số phận không may như thế nào ~~~ 		-0.3
XXXIII – Phileas Fogg có thể đương đầu với mọi hoàn cảnh như thế nào	Phileas Fogg maga fordul szembe a balszerencsével	0.836667
 ~~~ XXXIV – Ai tạo cho Vạn Năng cơ hội đặt ra một trò chơi độc địa nhưng có lẽ mới lạ ~~~ 		-0.3
XXXV – Vạn Năng không để ông chủ phải ra lệnh đến hai lần như thế nào ~~~ 	HARMINCHARMADIK FEJEZET	-0.365217
XXXVI – Phileas Fogg lại được cao giá trên thị trường như thế nào	Phileas Fogg a helyzet magaslatán	0.903226
 ~~~ XXXVII – Cuối cùng Phileas Fogg chẳng được gì trong chuyến đi vòng quanh thế giới này nếu không phải là hạnh phúc ~~~  ~~~  ~~~  ~~~ 		-0.3
 ~~~ LỜI GIỚI THIỆU ~~~  ~~~  ~~~ 	HARMINCNEGYEDIK FEJEZET	-0.185714
 ~~~ Năm 1863, khi cuốn tiểu thuyết Năm tuần trên khinh khí cầu của Jules Verne ra đời, dư luận Pháp xôn xao trước một hiện tượng đặc biệt của đời sống văn học: sự xuất hiện một thể loại tiểu thuyết mới, “tiểu thuyết khoa học”.		-0.3
Nhân vật chính là nhà khoa học Fergusson đã chế tạo một khinh khí cầu có điều khiển cùng hai người cộng sự bay đi thám hiểm vùng Trung Phi.		-0.3
Trước Jules Verne, năm 1852 một người Pháp là Henri Giffard đã biểu diễn ở Paris một khinh khí cầu nhưng không chống nổi gió, phải cho khí cầu lên lên xuống xuống để tìm những hướng gió thuận lợi trong các tầng khí quyển khác nhau.		-0.3
Cuốn tiểu thuyết dựa trên những thành tựu khoa học đã đạt được, phóng tầm viễn tưởng trên hai vấn đề: việc đi lại có điều khiển trên không và việc nghiên cứu miền Trung Phi.		-0.3
Đoàn công tác của tiến sĩ Fergusson trong mấy tuần đã làm một công việc mà những người trước phải làm trong nhiều năm.		-0.3
Ra đi từ Zanzibar – một hòn đảo bên bờ Ấn Độ Dương – ngày 18/4/1862 đến ngày 23/4 đã ở trên nguồn sông Nil và ngày 24/5 bay ngang Châu Phi đến các lãnh địa Pháp trên sông Senegal.		-0.3
Jules Verne tiên đoán đúng địa điểm bắt nguồn của sông Nil và dự đoán cả tương lai phát triển của Châu Phi, một lục địa có nhiều tài nguyên phong phú. ~~~ Cuộc du hành đó là viễn tưởng.		-0.3
