Jules Verne	JULES VERNE	0.3
 ~~~ Hòn đảo bí mật	A REJTELMES SZIGET	-0.0176471
		0.3
Nguyễn Văn Của phỏng dịch	FORDÍTOTTA: MAJTÉNYI ZOLTÁN	0.27931
		0.3
Đánh máy: nhatlinh_huyenvu	TARTALOM ~~~ ELSŐ RÉSZ	-0.05
 ~~~ Nguồn: vnthuquan.net	A LEVEGŐ HAJÓTÖRÖTTEI	0
	ELSŐ FEJEZET ~~~ Az 1865. évi orkán - Vészkiáltások a levegőben - Léggömböt sodor a forgószél - A léggömb burka fölhasad - Ameddig a szem ellát: mindenütt tenger... - A léghajó öt utasa - Mi történt a léghajó gondolájában?	-0.45
Đưa lên mạng: conbo2 (11/8/2006) ~~~ 	- Part a láthatáron!	-0.105
Tạo ebook: Okal (19/08/2006) ~~~ 	- A dráma végkifejlete	-0.0409091
www.thuvien-ebook.net	MÁSODIK FEJEZET	0.1875
 ~~~  ~~~  ~~~ 	Az észak-amerikai polgárháború egyik mozzanata - Cyrus Smith mérnök - Gedeon Spilett - Nab, a néger - Pencroff, a tengerész - A fiatal Harbert - Váratlan javaslat - Találkozó este tíz órakor - Indulás viharban	-0.375
 ~~~ Chương 1	HARMADIK FEJEZET	-0.05
	Délután öt óra - Egy utas hiányzik - Nab kétségbeesése - Kutatás északi irányban - A zátony - Aggodalmak szomorú éjszakája - Hajnali köd - Nab tengerbe veti magát - A hajótöröttek földet látnak - Átkelés a tengerszoros gázlóján ~~~ NEGYEDIK FEJEZET	-0.3
	A lithodomusok - A folyó torkolata - A „Kémény” - A kutatás tovább folyik - Zöldellő fák erdeje - A tűzifakészlet - A hajótöröttek dagályra várnak - A bérctetőn - A tutaj - Vissza a partra	-0.6
Tai nạn trên không ~~~ 	ÖTÖDIK FEJEZET	-0.0375
 ~~~ Hẳn mọi người còn nhớ cơn bão khủng khiếp xảy ra vào năm 1865.	Berendezkedés a Kéményben - Fogas kérdés: hogyan gyújtsanak tüzet?	-0.00909091
	- A gyufásdoboz sorsa - Kutatás a tengerparton - Az újságíró és Nab visszatér - Egyetlen szál gyufa - Láng lobog a tűzhelyen - Az első vacsora - Az első éjszakázás a puszta földön	-0.3
	HATODIK FEJEZET ~~~ A hajótöröttek leltára - Üres kézzel - A pörköltvászon-darab - Kirándulás az erdőbe - Örökzöld fák közt - A menekülő fénymadár - Vadállatok lábnyoma - A kurukuk - A fajdok - Különös horgászat	-0.3
Trận cuồng phong đã hoành hành không ngớt từ ngày 18 đến ngày 26 tháng ba và sức tàn phá thật là ghê gớm: khắp châu Mỹ, châu u, châu Á, bao trùm cả một vùng rộng một ngàn tám trăm hải lý, kéo dài từ hướng đông bắc tới tận xích đạo.	HETEDIK FEJEZET ~~~ Nab még nem tért haza - Az újságíró tűnődése - A vacsora - Az éjszaka viharosnak ígérkezik - Borzalmas égiháború - A hajótöröttek nekivágnak az éjszakának - Küzdelem az esővel és a széllel - Nyolcmérföldnyire az első táborhelytől	-0.00878661
Hậu quả do bão gây ra thật khủng khiếp.	NYOLCADIK FEJEZET ~~~ Él-e még Cyrus Smith?	-0.0192308
Tàu bè bị sóng đập nát, thành phố bị tàn phá, hàng ngàn người bị những trận lốc xoáy cuốn đi hoặc nhận chìm xuống lòng biển.	- Nab elbeszélése - A lábnyomok - Megoldatlan kérdés - Cyrus Smith első szavai - Megállapítják a nyomok eredetét - Visszatérés a Kéménybe - Pencroff megdöbbenése	0.276761
Khi trên đất liền và trên biển đang chịu đựng trận thiên tai này thì một thảm kịch không kém phần khủng khiếp cũng đã xảy ra trên không do bão tố gây nên.	KILENCEDIK FEJEZET ~~~ Cyrus, barátai közt - Pencroff próbálkozásai - Összedörzsölt fadarabok - Szárazföld vagy sziget? ~~~ - A mérnök tervei - A Csendes-óceán melyik részére vetődtek a hajótöröttek?	-0.101183
Trong những ngày tháng ba năm 1865, trận cuồng phong đã cuốn phăng một quả khí cầu mà trên đó có năm người khách đang viễn du, nhồi nó lên tận đỉnh cột lốc như một quả bóng, rồi xoáy hút nó theo.	- Az ősrengeteg - A mandulafenyő - Vízidisznó-vadászat - Jó jel: füst gomolyog a sziklák fölött ~~~ TIZEDIK FEJEZET ~~~ Cyrus Smith találmánya - Ami a mérnököt foglalkoztatja - Indulás a hegyekbe - Az erdő - Vulkáni talaj - A tragopánok - A muflonok - Az első fennsík - Táborverés éjszakára - A hegycsúcs	-0.115217
Trên giỏ treo của khí cầu có năm người.	TIZENEGYEDIK FEJEZET	-0.075
	A kúp csúcsán - A kráter belseje - Körös-körül tenger - Szárazföld sehol - A partvidék madártávlatból - Hegyrajz és vízrajz - Lakott-e a sziget?	-0.3
Ta có thể loáng thoáng nhận ra họ trong làn sương dày đặc quyện lẫn bụi nước đại dương.	- Az öblök, szirtfokok, partok és a többi rész keresztelője - A „Lincoln-sziget” ~~~ TIZENKETTEDIK FEJEZET	-0.0015
Lúc này các nhà du hành đang ở trong giỏ treo của khí cầu không thể biết được họ đã vượt một chặng đường bao xa và khí cầu của họ bị cuốn đi đâu, họ không có một cột mốc nào để xác định vị trí cả.	Az órák egyeztetése - Pencroff elégedett - Gyanús füst - A Vörös patak folyása - A Lincoln-sziget növényzete - Az állatvilág - A hegyi fácánok - Kenguruvadászat - Az aguti - A Grant-tó - Hazatérés a Kéménybe ~~~ TIZENHARMADIK FEJEZET ~~~ Mire jó a nyakörv?	-0.105581
