Charles Dickens	﻿Charles Dickens	1.24
Bài Ca Mừng Giáng Sinh	Karácsonyi ének	0.194118
Bóng Ma Của Marley	Marley, a kísértet	0.3
Trước hết, Marley đã chết, chết hẳn rồi.	Hogy az elején kezdjem, Marley halott volt.	0.598077
Chẳng còn nghi ngờ gì điều đó.	Ehhez nem fér semmi kétség.	0.2
Bản đăng ký tang lễ đã được mục sư, trợ tế, nhân viên nhà tang lễ và người khóc thuê chính ký tên. ~~~ Scrooge cũng ký.	Halotti bizonyít­ványát szabályszerűen aláírta a pap, az anyakönyvvezető és a halottkém, sőt, mint gyászoló, maga Scrooge is.	-0.0048
Mà cái tên Scrooge có nghĩa là "Đổi để được mọi thứ ông ta đã chọn để làm".	Amit pedig Scrooge jónak lát aláírni, az úgy is van - ezt mindenki tudja róla az üzleti életben.	0.457895
Ông già Marley đã chết thật, chết cứng như một cái đinh.	Az öreg Marley tehát halott volt, mint a kapufélfa.	0.497872
Xin hãy nhớ cho! ~~~ Tôi không có ý nói rằng tôi là người hiểu biết, rằng có cái chết đặc biệt, gần như một cái đinh.	Megjegyzendő, semmi személyes tapasztalatom nincs arra nézve, hogy a kapufélfa mennyivel holtabb más egyéb fadaraboknál.	-0.00545455
Bản thân tôi thường coi đinh đóng quan tài là thứ ít sinh lời nhất trong nghề buôn bán đồ sắt.	Sőt, bevallom, magam a koporsódeszkát inkább említettem volna, ha már mindenképp ilyen fásult hasonlattal kell élnem.	0.273786
Nhưng sự so sánh này của tổ tiên chúng ta vô cùng sáng suốt, và đôi tay trần tục của tôi sẽ không quấy rầy nó, hoặc những người đã tạo ra nó.	De egyesek szerint van ebben a hasonlatban valami tősgyökeres, és Isten őrízz, hogy avatatlan kézzel ilyen szent dologhoz nyúljak. ~~~ Ebből még országos veszedelem támadhatna.	-0.00673077
Vì vậy, xin hãy cho phép tôi được nhắc lại một cách dứt khoát là ông Marley đã chết đứ đừ, chết cứng như một cái đinh.	Nem tehetek tehát mást, mint újból csak azt mondom, hogy az öreg Marley halott volt, mint a kapufélfa.	0.320938
Scrooge có biết Marley đã chết không?	Vajon tudott-e Scrooge a halálesetről?	0.775676
Lẽ tất nhiên là biết. ~~~ Làm sao có thể khác được?	Már hogy az ördögbe ne tudott volna róla!	-0.045
Tôi không rõ Scrooge và Marley là bạn làm ăn được bao nhiêu năm.	Hiszen üzlettársak voltak, ki tudja, hány esztendeje már.	0.234545
Scrooge là người điều hành duy nhất, người quản lý duy nhất, người phân công duy nhất, người thừa hưởng tài sản duy nhất, người bạn duy nhất và người đưa ma duy nhất của ông già.	Azonkívül Scrooge volt Marley egyetlen hagyatéki végrehajtója, egyetlen főörököse, egyetlen barátja és egyetlen hátramaradottja.	0.33125
Thậm chí Scrooge không đau đớn gì lắm vì sự kiện buồn bã này, đến mức trong ngày đưa ma ông vẫn là một thương nhân xuất sắc và mặc cả chi li mọi nghi thức cử hành trong tang lễ.	Ám a gyászeset korántsem sújtotta le annyira Scrooge-ot, hogy mint kitűnő üzletember, egy remek "kötés"-sel ne ünnepelte volna meg Marley temetésének napját.	0.214
Nói đến đám ma ông già Marley làm tôi trở lại từ điểm đầu tiên.	Marley temetéséről beszélve, megint csak vissza kell térnem oda, ahonnan kiindultam.	0.521233
Chắc chắn rằng ông Marley đã chết.	Tehát ismétlem, semmi kétség nem férhet hozzá, hogy Marley halott volt.	0.465
Việc này phải hiểu một rành mạch, nếu không câu chuyện tôi sắp kể ra đây sẽ mất hẳn hay ho.	Ezt feltétlenül tudomásul kell vennünk, mert egyébként az itt következő történetben semmi csodálatosat nem találnánk.	0.259223
