VOLTAIRE	VOLTAIRE	1.8
		0.3
CANDIDE	CANDIDE	1.8
	VAGY	-0.3
 ~~~ CHÀNG NGY THƠ	AZ OPTIMISTA VILÁGNÉZET	-0.075
		0.3
Tế Xuyên dịch ~~~  ~~~  ~~~  ~~~  ~~~ 	FORDITOTTA	-0.227273
NHÀ XUẤT BẢN TRI THỨC ~~~  ~~~  ~~~  ~~~ 	KEMÉNY GÁBOR	-0.227143
		0.3
Thông tin ebook	TARTALOM	0.1
 ~~~ Tên sách: Candide - Chàng Ngây Thơ ~~~ 	Néhány szó...	-0.2125
Tác giả: Voltaire	ELSŐ FEJEZET.	0.192857
 ~~~ Dịch từ bản tiếng Pháp: Candide ou l’optimisme ~~~ 	Hogyan nevelték Candide-ot egy gyönyörü kastélyban	-0.1
Dịch giả: Tế Xuyên		-0.3
 ~~~ Nhà xuất bản: NXB Tri Thức ~~~ 	és hogyan kergették ki onnan.	-0.103571
Ngày xuất bản: 09/2008	MÁSODIK FEJEZET.	0.158824
 ~~~ Kích thước: 12x20 cm ~~~ 	Mi történt Candide-dal a bolgárok között?	-0.175
Số trang: 220 ~~~ 	HARMADIK FEJEZET.	-0.009375
Thực hiện ebook: tamchec ~~~  ~~~ Ngày hoàn thành: 05/04/2015 ~~~ 	Hogyan szabadult meg Candide a bolgároktól és mily sorsra jutott?	-0.225
Nguồn: tve-4u.org ~~~  ~~~  ~~~  ~~~  ~~~ 	NEGYEDIK FEJEZET.	-0.205882
Mục lục ~~~  ~~~ LỜI NHÀ XUẤT BẢN	Hogyan találkozott Candide hajdani filozófia-tanitójával,	-0.252174
 ~~~ GIỚI THIỆU TÁC GIẢ VÀ TÁC PHẨM ~~~ 	Pangloss doktorral s mi lett az utóbbi sorsa?	-0.105263
VIẾT SỰ NGY THƠ	ÖTÖDIK FEJEZET.	0.282353
 ~~~ Chương I CHÀNG NGY THƠ ĐƯỢC NUÔI NẤNG TRONG MỘT TÒA LU ĐÀI TỐT ĐẸP ~~~ 	Vihar, hajótörés, földrengés; mi történt Pangloss doktorral,	-0.119355
Chương II CHÀNG NGY THƠ SỐNG CHUNG VỚI NGƯỜI BẢO GIA LỢI ~~~ 	Candide-dal és az anabaptista Jacques-kal? ~~~ HATODIK FEJEZET.	-0.160526
Chương III CHÀNG NGY THƠ THOÁT KHỎI TAY NGƯỜI BẢO GIA LỢI	Ünnepélyesen máglyát raknak, hogy eretnek-égetéssel	0.261111
 ~~~ Chương IV CHÀNG NGY THƠ GẶP LẠI THẦY CŨ, TRIẾT GIA PANGLOSS	akadályozzák meg a földrengést; Candide-ot megbotozzák.	-0.0160714
 ~~~ Chương V BÃO TỐ, ĐẮM TÀU, ĐỘNG ĐẤT, KHIẾN CHO PANGLOSS, JACQUES VÀ CHÀNG NGY THƠ RA SAO	HETEDIK FEJEZET. ~~~ Hogyan gondoskodik Candide-ról egy öreg asszony; hogyan találja fel kedvesét.	-0.151667
 ~~~ Chương VI NGƯỜI TA TIẾN HÀNH VỤ THIÊU SỐNG HAY HO NHƯ THẾ NÀO ĐỂ NGĂN ĐỘNG ĐẤT, VÀ CHÀNG NGY THƠ ĐÃ BỊ ĐÒN ĐÍT RA SAO ~~~ 		-0.3
Chương VII CHÀNG NGY THƠ ĐƯỢC BÀ GIÀ CHĂM SÓC VÀ GẶP LẠI NHỮNG NGƯỜI CHÀNG YÊU QUÝ ~~~ 		-0.3
Chương VIII CU CHUYỆN VỀ CÔ CUNÉGONDE	NYOLCADIK FEJEZET.	-0.0666667
 ~~~ Chương IX CHÀNG NGY THƠ GIẾT MỘT LÚC HAI MẠNG NGƯỜI	Kunigunda története. ~~~ KILENCEDIK FEJEZET.	-0.2
 ~~~ Chương X CHÀNG NGY THƠ, CUNÉGONDE VÀ BÀ GIÀ CỰC KHỔ NHƯ THẾ NÀO KHI TỚI CADIX.	Mi történt Kunigundával, Candide-dal, a nagy inkvizitorral és a zsidóval?	-0.0235714
BA NGƯỜI XUỐNG TÀU VƯỢT BIỂN	TIZEDIK FEJEZET.	-0.05625
 ~~~ Chương XI CU CHUYỆM CỦA BÀ GIÀ ~~~ 	Mily nyomoruságos helyzetbe jutnak Candide, Kunigunda	-0.142857
Chương XII CU CHUYỆN TIẾP VỀ NHỮNG ĐAU KHỔ CỦA BÀ GIÀ	és az öreg asszony Cadixban; hogyan szállnak hajóra.	0.24
 ~~~ Chương XIII CHÀNG NGY THƠ BUỘC LÒNG PHẢI CÁCH BIỆT CUNÉGONDE VÀ BÀ GIÀ	TIZENEGYEDIK FEJEZET. ~~~ Az öreg asszony története.	-0.226531
 ~~~ Chương XIV CHÀNG NGY THƠ VÀ ĐỒ ĐỆ CACAMBO ĐƯỢC CÁC GIÁO SĨ DÒNG TÊN ĐÓN TIẾP Ở PARAGUAY ~~~ 		-0.3
Chương XV CHÀNG NGY THƠ GIẾT ANH RUỘT CỦA NGƯỜI YÊU	TIZENKETTEDIK FEJEZET.	-0.163636
 ~~~ Chương XVI CHUYỆN XẢY RA GIỮA HAI THẦY TRÒ KHI GẶP HAI THIẾU NỮ, HAI CON KHỈ VÀ ĐÁM NGƯỜI RỢ OREILLONS ~~~ 		-0.3
Chương XVII CHÀNG NGY THƠ VÀ THUỘC HẠ ĐẾN XỨ ELDORADO[93] KỲ LẠ ~~~ 	Az öreg asszony tovább meséli viszontagságait.	-0.0782609
Chương XVIII THẦY TRÒ CACAMBO THẤY GÌ Ở XỨ ELDORADO	TIZENHARMADIK FEJEZET.	-0.15
 ~~~ Chương XIX HAI NGƯỜI ĐẾN SURINAM; CHÀNG NGY THƠ LÀM QUEN VỚI MARTIN ~~~ 	Hogyan kellett Candide-nak elválnia a szép Kunigundától és az öreg asszonytól?	-0.107042
Chương XX ĐIỀU GÌ XẢY RA TRÊN BIỂN VỚI CHÀNG NGY THƠ VÀ MARTIN	TIZENNEGYEDIK FEJEZET.	-0.3
