James Joyce	﻿JAMES JOYCE	0.218182
Người Dublin	Dublini emberek	0.3
Chị Em Gái	NŐVÉREK	0.24
Lần này không còn hy vọng gì về ông nữa, đây là cơn đột quỵ thứ ba.	Semmi sem menthette már meg: a harmadik szélütés érte.	0.161538
Hàng đêm nay (đang là kỳ nghỉ) đêm nào tôi cũng đi ngang ngôi nhà và quan sát vuông cửa sổ sáng đèn: và hàng đêm nay đêm nào tôi cũng thấy nó sáng cùng một kiểu, mờ nhạt và bình thản.	Éjszakáról éjszakára a ház előtt kódo­rog­tam (szünidő volt), és az ablak világos négyszögét lestem, és éjszakáról éjszakára ugyanolyan volt a világítás: egyenletes és erőtlen.	0.276923
Nếu ông chết rồi, tôi nghĩ, hẳn phải thấy ánh nến phản chiếu trên nền rèm cửa tối bởi tôi biết phải có hai cây nến đặt phía trên đầu người chết.	Ha már meghalt volna, gondoltam, látnám a sötét redőnyön átszűrődő gyertyafényeket, mert annyit már tudtam, hogy a holttest fejéhez két gyertyát szoktak állítani.	0.283019
Ông vẫn thường nói với tôi Ta sẽ chóng từ giã cõi đời, và tôi đã nghĩ những lời ông nói chỉ là vu vơ.	Gyakran hallottam tőle ilyesmit: - Nem sokáig leszek vendég ezen a világon -, de szavait akkor nem vettem komolyra.	0.267647
Giờ đây tôi hiểu đấy là những lời nói thực.	Ma már tudom, hogy igazat mondott.	0.0870968
Mỗi đêm nhìn lên cửa sổ nhà ông, tôi lại tự thầm thì từ tê liệt.	Éjjelente, amint felnéztem az ablakra, ezt a szót ismételgettem suttogva: paralízis.	0.28
Simony trong sách giáo lý.	Különös hangzású szó, akár a gnómon Euklidészben vagy a simónia a katekizmusban.	-0.323077
Nhưng lúc này tôi thấy nó vang lên như tên của một sinh linh độc ác và tội lỗi.	Most pedig éppenséggel valami gonosz és bűnös lény nevét jelentette.	0.219403
Nó làm tôi kinh hoàng, vậy mà tôi vẫn muốn được gần nó hơn, ngắm nghía thứ công việc chết chóc của nó.	Félelemmel töltött el, mégis vágytam rá, hogy a közelébe férkőzzem, és szemügyre vegyem halálos munkáját.	0.27757
Già Cotter đang ngồi bên lò sưởi, hút tẩu, khi tôi đi xuống gác ăn tối.	Cotter apó a tűz mellett ült, és fújta a füstöt, mikor lejöttem a vacsorához.	0.487838
Trong lúc bác gái tôi múc cháo yến mạch, lão cất tiếng, như thể đang quay lại với lời nhận xét lúc trước.	És míg nagynéném a zabkását merte a tányéromba, ő, mintha előbbi gondolatait fűzné tovább, így beszélt:	0.265385
- Không, tôi sẽ không nói chính xác ông ta là thế...nhưng có một cái gì đó kỳ cục...có một cái gì đó kỳ lạ về ông ta.	- Nem, hát azért nem mondanám, hogy éppenséggel... de mégis: volt valami furcsa benne... valami hátborzongatóan furcsa... Véleményem szerint...	0.433721
Tôi sẽ nói cho các vị biết ý kiến của tôi...		-0.3
Lão bắt đầu rít những hơi tẩu ngắn, không nghi ngờ gì lão ta đang sắp xếp lại ý trong đầu.	Hatalmas füstfelhőt fújt ki pipájából, kétségkívül azért, hogy közben megfogalmazza véle­mé­nyét.	0.288119
Lão già ngớ ngẩn chán ngán!	Fárasztó vén bolond!	0.177273
Hồi đầu khi chúng tôi mới biết lão, lão ta còn khá thú vị, suốt ngày giải thích nào sái rượu với ống xoắn cất rượu, nhưng rồi tôi nhanh chóng chán ngấy lão và những câu chuyện lê thê về nhà máy rượu.	Mikor megismerkedtünk vele, még nagyon szórakoztatónak tartottam, hogy szeszgőzökről meg hűtőcsövekről beszél; de aztán hamar meguntam szeszfőzdékről szóló végtelen történeteit.	0.231667
- Tôi có giả thuyết riêng của tôi về chuyện này - lão nói - Tôi nghĩ đây là một trong những... trường hợp cá biệt...Nhưng cũng khó mà khẳng định...	- Én, kérem alássan, másképp látom - folytatta. ~~~ - Azt hiszem, egyike volt a... különleges eseteknek... De hát nehéz erről beszélni...	0.068471
Lão lại rít một hơi mà vẫn chưa nói cho chúng tôi về giả thuyết của lão.	Újabb füstfelhők jöttek a pipából, anélkül, hogy részletesebben kifejtette volna, hogy látja.	0.25125
Bác trai tôi thấy tôi bộ điệu ngây ra, bèn nói:	Nagybátyám, látva bámész mozdulatlanságomat, így szólt hozzám:	0.211765
- Nào, vậy là ông bạn già của nhóc đã đi, nghe thế chắc nhóc buồn lắm.	- Nos, öreg barátod itt hagyott. ~~~ Szomorú, mi?	-0.0257143
- Ai cơ ạ?	- Kicsoda?	1.27
- tôi hỏi.	- kérdeztem.	1.275
- Cha Flynn.	- Flynn atya.	1.02273
- Ông ấy chết rồi sao?	- Meghalt?	0.85
- Bác Cotter đây vừa mới thông báo cho bọn ta.	- Éppen most mondta Mr. Cotter.	0.514286
Bác vừa rẽ qua nhà cha về.	Arra járt.	-0.190909
Tôi biết tôi đang bị quan sát nên tiếp tục ăn như thể cái tin vừa rồi chẳng làm tôi mảy may bận tâm.	Tudtam, hogy most figyelnek, s ezért nyugodtan ettem tovább, mintha a hír egyáltalán nem érdekelne.	0.244565
Bác tôi giải thích cho già Cotter.	Nagybátyám Cotter apóhoz fordult.	0.291176
- Thằng nhóc và ông ta là chỗ bạn thân.	- A kölyök igen jó barátságban volt vele.	0.618333
Ông già đã dạy cho nó rất nhiều, ông ạ, người ta còn đồn ông ta rất kỳ vọng nó.	Tudja, sokat tanult az öregtől; azt mondják, még a végén is nagyon látni akarta.	0.24
- Cầu Chúa phù hộ linh hồn ông ấy - bác gái tôi sùng kính.	- Isten legyen irgalmas lelkének - mondta nagynéném ájtatosan.	0.889831
Già Cotter nhìn tôi một lúc.	Cotter apó egy darabig rajtam pihentette a szemét.	0.568571
Tôi cảm thấy đôi mắt đen tròn vo nhỏ xíu của lão đang dò xét nhưng tôi nhất quyết sẽ không làm lão ta thoả mãn bằng cách rời đĩa thức ăn mà ngước lên.	Éreztem, hogy apró, mozgékony madárszeme valamit fürkész bennem, de azért sem szereztem meg neki azt az örömet, hogy tányéromról föltekintsek.	0.236496
Lão ta quay lại với cái tẩu và cuối cùng thô lỗ nhổ toẹt vào lò sưởi.	Visszatért pipájához, és végül nagyot köpött a rostélyra.	0.21
- Tôi thì tôi sẽ không để cho con cháu mình - lão nói - giao du nhiều với kiểu người như vậy.	- Nem örülnék, ha az én gyerekeim nagyon összemelegednének egy ilyen emberrel.	0.437526
- Bác nói thế nghĩa là sao, bác Cotter?	- Hogy érti ezt, Cotter úr?	0.560571
- bác gái tôi hỏi.	- kérdezte nagynéném.	1.005
- Tôi nói thế nghĩa là - Già Cotter nói - như thể không hay ho gì cho bọn trẻ.	- Úgy értem - mondta Cotter apó -, hogy ez nem tesz jót a gyereknek.	0.770975
Ý kiến của tôi là, cứ để trẻ con được chơi đùa thoả thích với bọn cùng tuổi và không bị...Ta nói thế đúng không, Jack?	Az én elvem az: fiatal gyerkőc rohangáljon és játsszon hasonló korú fiatal gyerkőcökkel, ne pedig... Igazam van, Jack?	0.39303
- Đó cũng là nguyên tắc của tôi - bác trai tôi nói - cứ để nó tự học cách xoay sở kiếm sống trên cái đời này.	- Nekem is ez az elképzelésem - bólogatott a nagybátyám.	0.47187
Tôi vẫn lớn nói thế với vị đệ tứ giáo phái Ro-den-crơ đây: phải tập luyện.	- Tanulja meg, hogy az élet küzdelem! ~~~ Mindig ezt hajtom ennek a rózsakeresztesnek: verekedj!	-0.00529412
Thế nên từ bé đến giờ không sáng nào là tôi không tắm nước lạnh, đông cũng như hè.	Kérem, amikor én siheder voltam, minden áldott reggel hideg vízben fürödtem, télen-nyáron.	0.279545
Có thể thì giờ mới được như thế này chứ.	Meg is látszik rajtam, még a mai napig is!	0.194595
