Ivan S.Turgenev.	﻿Turgenyev	0.230769
Mối Tình Đầu	Első szerelem	0.235714
Chương 1	A vendégek rég elmentek.	-0.12
Tiệc đã tan từ lâu.	Fél egyet ütött az óra.	0.286957
Đồng hồ gỏ mười hai giờ ba mươi phút.. Trong phòng chỉ còn lại vị chủ nhà, Sergei Nilolaevitch và Vladimir Petrovitch.	A szobában csak a házigazda maradt, Szergej Nyikolajeviccsal meg Vlagyimir Petroviccsal.	0.137037
Chủ nhà rung chuông, ra lệnh dọn đi phần còn lại của bửa cơm tối.	A házigazda csengetett, s kivitette a vacsora maradékait.	0.186792
"Và chúng ta đã đồng ý," ông nhìn quanh, ngồi thoải mái trong lòng chiếc ghế bành, châm một điếu xì gà." ~~~ mỗi người sẽ nói về mối tình đầu của mình.	- Így hát megegyeztünk - szólalt meg, s közben mélyebbre húzódott karosszékében, és szivarra gyújtott -, mindegyikünk köteles elmondani első szerelmének történetét.	-0.00368098
Tới phiên anh, Sergei Nikolaevich."	Magán a sor, Szergej Nyikolajevics.	0.281818
Sergei Nikolaevich, một người đàn ông thấp bé mập mạp với gương mặt bầu bỉnh, trắng trẻo, đầu tiên nhìn vị chủ nhà, sau đó hướng ánh mắt lên trần.	Szergej Nyikolajevics, pufók arcú, szőke szakállú, köpcös ember, előbb ránézett a házi­gazdára, majd felnézett a mennyezetre.	0.1968
"Tôi không có mối tình đầu," sau cùng ông nói; "Tôi bắt đầu bằng mối tình thứ hai."	- Nekem nem volt első szerelmem - szólalt meg aztán -, én mindjárt a másodikkal kezdtem. ~~~ - Hogyan?	-0.00333333
"Sao lại có thể như thế được?"		-0.3
"Rất đơn giản.	- Igen egyszerűen.	0.283333
Năm mười tám tuổi lần đầu tiên tôi tán tỉnh một cô gái trẻ và duyên dáng, nhưng tôi đeo đuổi nàng như thể không có chi là mới lạ; về sau này với các cô gái khác cũng thế.	Tizennyolc éves voltam, mikor udvarolni kezdtem egy nagyon bájos kis­lánynak; de úgy udvaroltam, mintha ez nem is volna új nekem: ugyanúgy, ahogy később másoknak tettem.	0.240385
Nói cho chính xác, lần đầu và cũng là lần cuối, tôi yêu nhũ mẫu của mình khi tôi lên sáu; nhưng đó là chuyện ngày xưa.	Tulajdonképpen először és utoljára hatéves koromban a dajkámba voltam szerelmes; de ez már nagyon régen volt.	0.233654
Tôi không tài nào nhớ được những chi tiết, và ngay cả khi tôi nhớ được, có ai thích nghe chăng?	Ennek a szerelemnek a részletei elmosódtak az emlékezetemben, de még ha emlékezném is rájuk, kit érdekelhetnének?	0.285437
"Vậy về phần tôi thì sao?"	- Akkor hát mit tegyünk?	0.208696
ông chủ nhà bắt đầu nói.	- kérdezte a házigazda.	0.208696
"Mối tình đầu của tôi cũng chẳng có gì hấp dẫn; tôi chưa từng yêu ai cho đến khi gặp Anna Nikolaeva, nhà tôi hiện nay, -- và tất cả mọi chuyện đều xảy ra hết sức êm đẹp; cha mẹ chúng tôi xếp đặt cuộc gặp gỡ, chúng tôi yêu nhau ngay, và cưới nhau liền sau đó.	- Az én első szerelmemben sincs semmi érdekes: senkibe sem voltam szerelmes, mielőtt megismertem Anna Ivanovnát, a mostani feleségemet, s minden a legsimábban alakult: szüleink összehoztak; hamarosan megszerettük egymást, és egykettőre összeházasodtunk.	0.336707
Chuyện của tôi có thể kể lại vỏn vẹn trong vài ba chữ.	Az én esetemet el lehet mondani két szóval.	0.135
Thú thật với các bạn, khi nêu lên chủ đề là mối tình đầu, tôi đã đặt hy vọng nơi các bạn, tôi không nói là đã già, nhưng không còn trẻ trung gì nữa. ~~~ Vladimir Petrovich, anh có thể làm cho không khí sôi động hơn không ?"	Bevallom, uraim, hogy mikor szóba hoztam az első szerelem témáját, önökre számítottam: nem mondom, hogy öreg, de már nem is fiatal agglegényekre; talán ön szórakoztat majd minket valamivel, Vlagyimir Petrovics?	-0.028934
"Mối tình đầu của tôi, chắn chắn không bình thường," Vladimir Petrovitch, một người trạc tứ tuần, tóc đen ngã sang màu muối tiêu, hơi ngập ngừng, trả lời.	- Az én első szerelmem valóban nem tartozik a közönséges esetek közé - felelte némi habozás után Vlagyimir Petrovics, egy negyvenéves, fekete hajú, de már deresedő férfi.	0.279503
"Ah!"	- Á!	0.24
ông chủ nhà và Sergei Nikolaevitch cùng nói một lúc: "Càng tốt...Kể cho chúng tôi nghe đi."	- kiáltott fel a házigazda és Szergej Nyikolajevics egyszerre. ~~~ - Annál jobb... - Mesélje el.	-0.0139535
"Nếu các bạn muốn...nhưng không; tôi không kể đâu; tôi không biết cách kể chuyện; tôi sẽ làm cho nó khô khan và cộc lốc, hay thêm thắt quá đà.	- Szívesen... azaz hogy nem: nem mesélem el: nem értek a meséléshez; száraz lehetne és rövid, vagy bőbeszédű és hamis.	0.184821
Nếu các bạn đồng ý, tôi sẽ viết tất cả những gì tôi còn nhớ và đọc cho các bạn nghe."	De ha megengedik, mindent leírok egy füzetbe, amire emlék­szem, s felolvasom majd.	0.213158
Các ông bạn lúc đầu không bằng lòng, nhưng Vladimir Petrovitch nhất định làm theo ý mình.	Barátai először nem akartak beleegyezni, de Vlagyimir Petrovics megmaradt elhatározása mellett.	0.286813
Hai tuần sau, họ gặp lại, và Vladimir Petrovitch giữ lời hứa.	Két hét múlva megint összejöttek, s Vlagyimir Petrovics beváltotta az ígéretét.	0.240909
Bản thảo của ông chính là câu chuyện sau đây:		-0.3
Tôi lên mười sáu.	Ezt írta le a füzetben:	0.285714
Chuyện xảy ra vào mùa hè năm 1833.	1 ~~~ Tizenhat éves voltam akkor, 1833 nyarán történt.	-0.0458333
Tôi sống tại Moscow với cha mẹ tôi.	Moszkvában, szüleimnél laktam.	0.234375
Họ sở hữu một ngồi nhà nghỉ mát ở gấn cổng Kalouga, đối diện vườn hoa Neskutchny.Tôi đang chuẩn bị vào đại học, nhưng không chăm học và không sốt sắng.	Villát béreltek a kalugai városkapu környékén, a Nyeszkucsnij-kerttel szemben. ~~~ - Egyetemi felvételre készültem, de keveset dolgoztam, lassú tempóban.	-0.0277397
Tôi hoàn toàn tự do tự tại, không ai để ý đến tôi.	Senki sem korlátozta szabadságomat.	0.111429
Tôi muốn làm gì tùy thích, nhất là sau khi chia tay với người thầy sau chót, người Pháp, ông này không bao giờ chấp nhận rằng ông đã rơi tỏm vào nước Nga "comme une bombe" (như một quả bom), và nằm bẹp dí trên giường ngày này sang ngày khác với vẻ mặt phẩn uất.	Azt tettem, amit akartam, különösen azóta, hogy megváltam utolsó francia nevelőmtől, aki sohasem tudott megbarátkozni azzal a gondolattal, hogy "bombaként" (comme une bombe) hullt Oroszországba, s elkeseredett arckifejezéssel naphosszat az ágyon heverészett.	0.346281
Cha tôi tử tế, dễ dãi với tôi, còn mẹ tôi gần như chẳng ngó ngàng gì đến, mặc dù tôi là đứa con độc nhất ; nhiều việc khác chiếm trọn tâm trí của bà.	Apám egykedvűen szíves volt hozzám; anyám úgyszólván nem is törődött velem, bár egyetlen gyermeke voltam: más gondok emésztették.	0.20625
Cha tôi, vẫn còn trẻ và rất đẹp trai, đã kết hôn với mẹ tôi chỉ vì tiền; mẹ tôi lớn hơn cha tôi đến mười tuổi.	Apám, aki még fiatal volt, s nagyon szép ember, számításból vette el: tíz évvel volt idősebb apámnál.	0.211224
Mẹ tôi sống một cuộc đời buồn bả; lúc nào cũng bực dọc, ghen tuông và cáu kỉnh, nhưng chỉ khi vắng mặt cha tôi; mẹ tôi rất e sợ ông, và ông luôn luôn nghiêm khắc, lạnh lùng và xa cách... Tôi chưa bao giờ gặp ai trầm tỉnh, tự tin và uy quyền như ông.	Anyámnak szomorú volt az élete: állandóan nyugtalankodott, féltékenykedett és haragudott - de nem az apám jelenlétében; nagyon félt tőle, mert szigorú volt, hideg és tartózkodó. ~~~ Nem láttam apámnál mesterkélten nyugodtabb, magabiztosabb és zsarnokibb embert.	-0.0108434
Tôi không bao giờ quên những tuần lễ đầu tiên sống ở quê.	Sohasem felejtem el a villában töltött első heteimet.	0.211765
Thời tiết tuyệt diệu; chúng tôi rời thành phố vào ngày 9 tháng Năm, ngày lễ thánh Nicholas.	Az idő csodaszép volt; május 9-én, Miklós napján költöztünk ki a városból.	0.208
Tôi thường lang thang trong vườn nhà mình, trong vườn hoa Neskutchny, và đi xa khỏi cổng thành; tôi hay mang theo vài quyển sách -- sách giáo khoa của Keidanov, thí dụ vậy -- nhưng hiếm khi đọc, và thường hay ngâm nga những vần thơ; tôi thuộc lòng nhiều bài ; với bầu máu nóng sôi sục, với trái tim đau thương ngọt ngào; lòng tôi tràn đầy niềm tin và hy vọng, tôi hơi sợ sệt một điều gì đó, và thích thú về mọi thứ; trí tưởng tượng của tôi mãnh liệt như lũ chim nhạn lượn lờ quanh tháp chuông lúc rạng đông; tôi mơ mộng, tôi buồn rầu, đôi khi khóc than; nhưng qua những giọt lệ và nỗi buồn gợi ra bởi một vần thơ du dương hay bởi vẽ đẹp của một buổi chiều tà, hượng vị ngọt ngào của tuổi trẻ và cuộc sống sôi động vẫn vươn cao như ngọn cỏ mùa xuân.	Én hol a villa kertjében, hol a Nyeszkucsnij-kertben, hol meg a városkapun kívül sétálgattam, magammal vittem egy-egy könyvet - például Kajdanov tankönyvét, de ritkán nyitottam ki; többnyire verseket mondogattam hangosan - sokat tudtam könyv nélkül -, a vérem forrt, s a szívem sajgott - olyan édes és nevetséges búval: mindig vártam valamit, s féltem valamitől, mindenen csodálkoztam, s mindenre készen álltam, képzeletem játéka eleven volt, mindig ugyanazon képek körül csapongott, mint a partifecskék hajnalban a templomtorony körül; tűnődő lettem, szomorkodtam, sőt sírtam is; de a könnyeken és a szomorúságon át, melyet hol egy dallamos verssor, hol egy szépséges este lopott a szívembe, a fiatal pezsgő élet örömérzése úgy ütközött ki, mint a tavaszi fű.	0.258169
Tôi có một con ngựa, tôi thường tự thắng lấy yên cương và một mình cởi ngựa rất lâu, phóng nước đại và tưởng tượng như mình là một hiệp sĩ trong trận đấu thương. ~~~ Gió thổi mơn man tươi vui làm sao!	Volt egy hátaslovam. ~~~ Magam szoktam megnyergelni, s el-ellovagoltam valahova messze, vágtatni kezdtem, s olyankor lovagi torna hősének képzeltem magam (milyen vígan fútt a fülembe a szél!	-0.162139
hoặc ngẩng mặt lên, tôi đón lấy vẽ lộng lẫy và xanh mát của bầu trời vào linh hồn tôi rộng mở.	), vagy az ég felé emeltem az arcom, s kitárt lelkembe befogadtam a ragyogását és azurkékjét.	0.227586
Tôi nhớ lúc đó hình ảnh của người đàn bà, gương mặt của tình yêu, hiếm khi hình thành rõ nét trong đầu óc tôi; nhưng tôi có nghĩ đến và cảm thây chung chung ở một cõi mơ hồ kín đáo nào đó, một linh cảm ngượng ngùng về một điều gì đó, mới lạ, vô cùng ngọt ngào, yểu điệu...	Úgy emlékszem, akkoriban szinte sohasem jelent meg képzeletemben határozott vonásokkal egy nő képe, egy nő iránti szerelem látománya, de mindenben, amit gondoltam, mindenben, amit éreztem, valami újnak, kimondhatatlannak, édesnek, nőinek a féltudatos, szemérmes előérzete rejtőzött...	0.263603
Mối linh cảm này, niềm hy vọng này, thấm đẫm vào tôi; tôi hít thở trong nó, nó chảy trong huyết quản, trong từng giọt máu...nó là định mênh sẽ sớm được hoàn thành.	Ez az előérzet, ez a várakozás áthatotta egész lényemet; benne volt a lélegzetemben, ott lüktetett ereim minden csepp vérében... s a sors úgy rendelte, hogy nemsokára beteljesedjék.	0.280588
Địa điểm, nơi chúng tôi sẽ sống trong mùa hè, gồm một dinh thự bằng gỗ và hai căn nhà nhỏ; trong ngôi nhà phía trái là một cơ sở sản xuất giấy dán tường loại rẻ tiền...Đã hơn một lần tôi đi dạo về hướng đó, nhìn thấy khoảng một chục đứa bé gầy còm và luộm thuộm, quần áo dính đầy dầu mở, gương mặt mỏi mệt, thường xuyên nhảy lên những chiếc cần gổ để ép những ô vuông của cái máy in, và do đó, bằng sức nặng mong manh của chúng, tạo nên những mẫu mã khác nhau của giấy dán tường.	Nyaralónk fából épült, oszlopos úriházból s két alacsony szárnyépületből állt; a bal szárnyban olcsó kárpitokat gyártó üzem helyezkedett el; gyakran meglátogattam, hogy nézzem: hogyan ugrik fel minduntalan tíz sovány és borzas, zsírfoltos kabátú, nyűtt arcú fiú a sajtószerkezet négyszögletű tönkjeit leszorító emelőkre - s hogyan nyomják ki ilyen módon, satnya testük súlyával a kárpitok tarka mintáit.	0.186835
Căn nhà bên tay mặt không có ai cư ngụ.	A jobb oldali szárnyépület üresen állt, s kiadó volt.	0.219512
