CHARLES DICKENS	﻿CHARLES DICKENS	1.24
NHỮNG KỲ VỌNG LỚN LAO	NAGY VÁRAKOZÁSOK	0.166667
Chương 1	ELSŐ FEJEZET.	0.18
Họ của bố tôi là Pirrip, còn tên thánh của tôi là Philip, nhưng cái lưỡi còn bé của tôi chỉ có thể phát âm cả hai thành một chữ Pip.	Az apám vezetékneve Pirrip volt, az én keresztnevem pedig Philip. ~~~ Gyermeki nyelvem ebből a két névből sem hosszabbat, sem kifejezőbbet nem tudott alkotni a Pip szónál.	-0.0137324
Vậy nên tôi tự gọi mình là Pip, rồi dần dà mọi người cũng gọi tôi là Pip.	Így hát Pip-nek neveztem magamat és Pip-nek neveztek mások is.	0.175862
Tôi đoán Pirrip là họ của bố tôi dựa vào bia mộ của ông và vào chị tôi, bà Joe Gargery, chị đã kết hôn với người thợ rèn.	Hogy az apámnak Pirrip volt a vezetékneve, ezt egyrészt a sírkövéről tudom, másrészt a nénémtől, Gargerynétől, aki Joe Gargery-nek, a kovácsnak, felesége volt.	0.505224
Vì tôi chưa bao giờ biết mặt bố mẹ mình, cũng chưa bao giờ được thấy chân dung của họ (vì hai người đã qua đời từ lâu trước khi người ta phát minh ra nhiếp ảnh), nên những hình ảnh đầu tiên tôi tưởng tượng về vẻ bề ngoài của họ đều xuất phát một cách vô căn cứ từ bia mộ của hai người.	Minthogy az apá­mat és az anyámat sohase láttam és nem láttam egyiküknek a képmását sem (mert a fény­képek koránál jóval előbb éltek), első elképzeléseimet arról, hogy milyenek voltak, oktalanul a sírkövükből merítettem. ~~~ Az apámra vonatkozó fölírás betűinek formája azt a furcsa gon­do­latot ébresztette bennem, hogy az apám köpcös, erős, göndör, feketehajú ember volt.	-0.0195046
Hình dáng những chữ cái trên bia mộ của bố tôi khiến tôi có một suy nghĩ kỳ lạ rằng ông là người vai rộng, rắn rỏi, ngăm ngăm với mái tóc xoăn đen.	A másik cifrabetűs föliratból: "Valamint Georgiána, Fentinek Hitvestársa" azt a gyer­me­kes következtetést vontam le, hogy az anyám szeplős és beteges teremtés volt.	0.29434
Từ đặc điểm và nét lượn của dòng chữ, "Và cả Georgiana vợ của người ở trên", tôi đi tới kết luận thật trẻ con rằng mẹ tôi xanh xao ốm yếu lấm chấm tàn nhang, về phần năm tấm bia nhỏ, mỗi tấm dài chừng một foot rưỡi được xếp thành một hàng chỉn chu cạnh mộ phần của bố mẹ tôi, để tưởng nhớ năm anh trai nhỏ của tôi, tất cả đều đã từ bỏ nỗ lực giành sự sống từ quá sớm trong cuộc vật lộn trần thế, tôi hàm ơn chúng cái niềm tin hằng ghi khắc một cách sùng kính là tất cả các anh đều sinh ra nằm ngửa với hai bàn tay đút vào túi quần, và đến tận trạng thái tồn tại này vẫn chưa bao giờ rút tay ra.	Apám és anyám sírja mellett szép sorjában öt kis kőlap volt, valamennyi körülbelül másfél láb hosszú, öt kis testvérkém emlékének szentelve, akik túlságos korán lemondtak arról, hogy megélni próbáljanak az általános életharcban. ~~~ Ennek az öt kis sírkőnek köszönhetem azt a szinte vallásos hitemet, hogy testvérkéim egytől-egyig háton fekve és nadrágzsebükbe dugott kézzel születtek és kezüket itt e földi létben nem is húzták ki soha a zsebükből.	-0.0801606
Quê chúng tôi là một vùng đầm lầy ven sông, chạy theo những khúc uốn quanh co của con sông, cách biển chừng hai mươi dặm.	A lápvidéken laktunk, amely a kanyargó folyó mentén mintegy húsz angol mérföldnyire van a tengertől.	0.196875
Ấn tượng sống động và rõ ràng đầu tiên tôi có được về đặc tính của sự vật dường như là vào một buổi chiều rét căm căm không thể nào quên, gần sẩm tối.	Ha nem csalódom, az első eleven, világos benyomás a dolgok azonosságáról egy emlékezetes nyirkos délután támadt bennem, estefelé.	0.1728
Vào một thời điểm như thế tôi đã phát hiện ra chắc chắn rằng chốn cô tịch lạnh lẽo đầy những bụi tầm ma mọc tua tủa này là nghĩa địa nhà thờ; và Philip Pirrip, con chiên quá cố của giáo khu này, cũng như Georgiana vợ ông, đều đã chết và được chôn sâu trong mộ; và Alexander, Bartholomew, Abraham, Tobias cũng như Roger, năm đứa con sơ sinh của họ, cũng đã chết và nằm yên dưới đất; và khoảng không gian hoang vu bằng lặng tối sẫm nằm phía bên kia nghĩa địa, với những bờ kè, đê, cửa cống cắt ngang cắt dọc, lác đác gia súc đang tìm cái ăn, là đầm lầy; còn dải thấp màu xám chì nằm phía sau nó là con sông; và chốn hoang vu xa tít từ đó những con gió lồng lộng đang thổi vào chính là biển cả; còn cái đùm bé xíu đang run lẩy bẩy, càng lúc càng thấy sợ tất cả những thứ đó và bắt đầu khóc, là Pip.	Akkor állapítottam meg határozottan, hogy ez a csalánnal benőtt puszta hely a temető; és hogy Philip Pirrip, ennek az egyházköz­ség­nek néhai tagja, valamint Georgiána, az előbbinek hitvestársa, halott és a föld alatt pihen; és hogy Alexander, Bartholomew, Abraham, Tobias és Roger, az imént nevezettek csecsemő­gyermekei, szintén halottak és a föld alatt pihennek; és hogy a temetőn túl az a sötét, lapályos pusztaság, amelyet árkok, töltések és sorompók szaggatnak meg és amelyen szanaszéjjel barmok legelnek, a lápvidék; és hogy amott túl, lent az az ólomszínű vonal a folyó; és hogy az a távoli vad térség, ahonnan a szél fujt suhogva, a tenger; és hogy az a kis didergő valaki, aki mindettől félt és sírva fakadt, Pip.	0.421695
"Nín cái tiếng ồn của mày lại ngay!" Một giọng nói khủng khiếp gắt lên khi một người đàn ông vụt đứng dậy từ giữa những ngôi mộ nằm một bên cổng nhà thờ.	- Ne bömbőjj! ~~~ - ordított egy rettenetes hang, miközben a sírok között a templom pitvara mellett egy ember emelkedett föl hirtelen.	-0.0706612
"Yên nào, thằng quỷ con, không thì tao cắt cổ!"	- Elhallgass, sátánporonty, mer mingyá ketté­nyisszantom a gégédet!	0.2
Một người đàn ông đáng sợ, mặc toàn một màu xám tồi tàn, chân đeo một cái xiềng sắt to.	Félelmes ember volt, szürke darócruhában, a lábán nagy vasdarabbal.	0.145455
Một người đàn ông không đội mũ, đi giày rách, một cái khăn cũ như tấm giẻ quấn quanh đầu.	Kalap nélkül volt, ron­gyos cipőben, a fejére ócska rongy volt csavarva.	0.156522
Một người đàn ông vừa bị dầm trong nước, dìm trong bùn, khập khiễng vì đá, sây xước vì vật sắc, sưng vù vì cọ phải tầm ma, quần áo bị gai thạch nam làm rách mướp; một người đàn ông tập tễnh, run rẩy, mắt long lên, miệng gầm gừ; và răng ông ta va lập cập khi ông ta chộp lấy cằm tôi. ~~~ "Ối!	Ázott volt, sáros volt, belesántult a kövekbe, megsebezték az éles kavicsok, összeszurkálta a csalán, megtépte a tüske; bicegett és didergett, kimeresztette a szemét és morgott; és a foga hallhatóan vacogott, miközben megragadta az államat.	-0.0577434
Ông đừng cắt cổ cháu, ông ơi," tôi kinh hãi van xin.	- Ó, uram, ne nyisszantsa ketté a gégémet!	0.1875
"Xin ông đừng làm thế."	- könyörögtem rémületemben.	0.255556
"Nói cho tao biết tên mày!" người đàn ông ra lệnh.	- Kérem, uram, ne tegye. ~~~ - Mi a neved?	-0.0882353
"Nhanh!"	- kérdezte.	0.2
"Pip, thưa ông."	- Gyorsan! ~~~ - Pip, uram.	-0.0441176
"Nói lại," ông ta vừa nói vừa trừng mắt nhìn tôi.	- Hadd hallom mégeccer - szólt rámmeredve.	0.1875
"To cái mồm lên!"	- Nyögd ki mán!	0.22
"Pip, Pip, thưa ông."	- Pip, uram, Pip.	0.78
"Chỉ cho tao xem mày sống ở đâu," người đàn ông nói.	- Mutasd meg, hol laktok - kiáltotta.	0.0727273
"Tay đâu, chỉ xem nào!"	- Jelőd meg, meere!	0.183333
Tôi chỉ về phía làng mình, nằm trên vùng đất bằng phẳng ven bờ, giữa những rặng cây dương tía và những thân cây bị xén ngọn, cách nhà thờ chừng một dặm.	A falunk felé mutattam, amely vagy másfél angol mérföldnyire volt a templomtól befelé a lapályon az égerfák és a fűzfák között.	0.180488
Người đàn ông lạ mặt, sau khi nhìn tôi một thoáng, dốc ngược tôi xuống, rồi lục hết túi áo túi quần tôi.	Egy pillanatig rámnézett, azután felfordított és kiürítette a zsebeimet.	0.108333
Trong đó chẳng có gì ngoài một mẩu bánh mì.	Nem volt bennük más, csak egy darab kenyér.	0.24
Khi nhà thờ trở lại đúng như cũ - bởi kẻ này ra tay đột ngột và mạnh đến mức ông ta làm ngôi nhà thờ bỗng dưng lộn ngược trước mắt tôi, vậy là tôi trông thấy tháp chuông ở tận dưới chân mình - ý tôi là khi nhà thờ trở lại đúng như cũ trong mắt mình, tôi bị đặt ngồi lên một tấm bia mộ cao nghêu, cả người run bần bật trong khi ông ta ngấu nghiến ăn mẩu bánh mì.	Mikor a templom megint a helyén állt - mert az az ember olyan gyors és olyan erős volt, hogy megbukfenceztette előttem a templomot úgy, hogy a tanyát a lábam alatt láttam -, mondom, mikor a templom megint a helyén állt, egy magas sírkövön ültem remegve, az az ember pedig mohón falta a kenyeremet.	0.20212
"Thằng chó con," ông ta vừa nói vừa liếm môi, "mày có hai má phúng phính quá nhỉ."	- Te kutyakölyök - szólt, az ajkát nyaldosva -, milyen kövér a pofád.	0.203077
Tôi tin là hai má mình phúng phính, cho dù lúc ấy tôi còi hơn so với tuổi, và chẳng khỏe mạnh gì.	Azt hiszem, az arcom csakugyan kövér volt, bár akkoriban a rendesnél kisebb voltam koromhoz képest és gyönge voltam.	0.282178
"Quỷ bắt tao đi nếu tao không chén được chúng," người đàn ông nói, kèm theo một cái lắc đầu đe dọa, "mà tao cũng muốn thế lắm rồi đấy!"	- Vigyen el az ördög, ha fő nem tudnálak falni - szólt az ember és közben fenyegetően rázta a fejét -, nagy kedvem vóna hozzá!	0.20087
Tôi thiết tha bày tỏ hy vọng ông ta sẽ không làm vậy, rồi bấu chặt hơn lấy tấm bia mộ ông ta đã đặt tôi ngồi lên; một phần để khỏi bị ngã xuống; một phần để khỏi bật khóc.	A legkomolyabban azt mondtam erre: remélem, hogy nem fog felfalni és a sírkőbe, amelyre ráültetett, erősebben belefogóztam, egyrészt azért, hogy le ne forduljak róla, másrészt pedig azért, hogy elfojtsam a sírásomat.	0.289286
"Giờ nhìn tao xem nào!" người đàn ông ra lệnh.	- Most pedig ide figyejj! ~~~ - szólt újra.	-0.0527027
"Mẹ mày đâu?"	- Hol az anyád?	0.235714
"Đằng kia, thưa ông!" tôi đáp.	- Amott van, uram! ~~~ - feleltem rá.	-0.0145161
Ông ta giật mình, chạy đi vài bước rồi dừng lại ngoái nhìn đằng sau.	Felugrott, futásnak eredt, majd csakhamar megállt és hátratekintett.	0.25
"Kia kìa, thưa ông!" tôi sợ sệt giải thích.	- Amott van, uram! ~~~ - magyaráztam félénken.	-0.0178571
"Và cả Georgiana.	- Valamint Georgiána.	0.268421
Đấy là mẹ cháu."	Ez az édesanyám.	0.229412
"À!" ông ta thốt lên, quay trở lại.	- Ó! ~~~ - szólt visszatérve hozzám.	-0.0176471
"Còn kia là bố mày nằm cạnh mẹ mày phải không?"	- Ez a másik meg az apád az anyád mellett?	0.17027
"Vâng, thưa ông," tôi nói, "cả bố cháu nữa; con chiên quá cố của giáo khu này."	- Az, uram - válaszoltam -; ő is itt van; ennek az egyházközségnek néhai tagja.	0.25
"Hừm!" ông ta lẩm bẩm, có vẻ nghĩ ngợi.	- Hm! ~~~ - dörmögött elgondolkozva.	-0.0485294
"Vậy mày sống với ai, ấy là nếu mày được nhân từ để cho sống, mà chuyện đó thì tao vẫn chưa quyết đâu?"	- Hát akkor hol ész... ha ugyan élve hagylak, mer ez még egyátajján nem bizonyos?	0.117568
"Chị cháu, thưa ông, bà Joe Gargery, vợ của Joe Gargery, người thợ rèn, thưa ông."	- A nénémnél, uram... Gargerynénél... a kovácsnak, Joe Gargery-nek a feleségénél, uram.	0.530769
"Thợ rèn hả?" ông ta nói.	- Kovács az ura, kovács?	0.234783
Rồi ông ta nhìn xuống chân mình.	- kérdezte. ~~~ És lenézett a lábára.	-0.00428571
Sau khi hết nhìn xuống chân lại nhìn tôi vài lượt với ánh mắt ám muội, người đàn ông tới bên tấm bia tôi đang ngồi, chộp cả hai cánh tay tôi, rồi ngả ngửa tôi ra sau hết tầm tay ông ta; sao cho mắt ông ta nhìn cực kỳ hung hãn vào mắt tôi, còn mắt tôi nhìn cực kỳ vô vọng vào mắt ông ta.	Miután többször letekintett sötéten hol a lábára, hol énrám, közelebb lépett a sírkövemhez, megragadta mind a két karomat, hátrabillentett, amennyire csak tudott, és keményen bele­mélyesztette tekintetét az enyémbe, mialatt az én szemem gyámoltalanul nézett föl az övébe.	0.253232
"Nào nhìn tao đây," ông ta nói, "câu hỏi bây giờ là có nên để mày sống hay không.	- Ide figyejj - kezdte újra -, mer arrú van szó, élve hagylak-e vagy se.	0.190476
Mày biết một cái giũa là gì chứ?"	Tudod, mi a reszelő?	0
"Biết, thưa ông."	- Tudom, uram.	0.138462
"Và mày cũng biết chỗ để đồ ăn chứ?"	- És tudod, mi az ennivaló?	0.06
"Biết, thưa ông."	- Tudom, uram.	0.138462
Sau mỗi câu hỏi ông ta lại đẩy tôi ngả về phía sau thêm tí nữa, để tôi cảm thấy rõ hơn sự bất lực và tình cảnh nguy hiểm của mình.	Minden kérdés után egy kicsit még jobban hátrabillentett, mintha még inkább éreztetni akarná velem tehetetlenségemet és a veszedelmet, amelyben forogtam.	0.3
"Mày lấy cho tao một cái giũa." Người đàn ông lại đẩy tôi.	- Reszelőt fogsz hozni nekem. ~~~ - Hátrabillentett.	-0.0606383
"Và mày lấy đồ ăn cho tao." Ông ta đẩy tôi thêm lần nữa.	- És ennivalót fogsz hozni nekem. ~~~ - Megint hátrabillentett.	-0.0131579
"Mày mang cả hai thứ đến cho tao." Ông ta lại lắc tôi.	- Eehozod ide nekem azt is, meg ezt is. ~~~ - Megint hátrabillentett.	-0.00263158
"Không thì tao móc tim moi gan mày ra." Ông ta lại đẩy tôi thêm một lần.	- Mer külöm­ben kitépem a szivedet meg a májadat. ~~~ - Megint hátrabillentett.	0
Tôi sợ chết khiếp, và chóng mặt đến mức níu chặt lấy ông ta bằng cả hai tay rồi nói, "Nếu ông làm ơn để cháu được ngồi thẳng người, thưa ông, có khi cháu sẽ không bị chóng mặt, như thế cháu có thể giúp được nhiều hơn."	Szörnyen meg voltam ijedve és úgy elszédültem, hogy belekapaszkodtam mind a két kezem­mel az idegenbe és így szóltam: ~~~ - Legyen szíves, uram, ültessen föl, akkor talán nem leszek rosszul és jobban tudok majd figyelni is.	-0.0325123
Ông ta tóm lấy tôi dốc lộn ngược xuống nhanh chóng mặt, làm nhà thờ đột nhiên nhảy lên ngồi chồm hỗm lên cái chong chóng gió vốn nằm trên nóc.	Nagyon megrázott és úgy hátranyomott, hogy a templom keresztülbukfencezett a saját szél­kakasán.	0.104211
Rồi ông ta giữ lấy hai cánh tay tôi để tôi đứng thẳng người trên đỉnh tấm bia, và nói tiếp những lời thật khủng khiếp.	Azután megfogta a két karomat, fölültetett a sírkő tetejére és a következő rettenetes dolgokat közölte velem:	0.221495
