VĂN HỌC PHÁP	﻿ ~~~ Jules Verne	-0.01
		0.3
JULES VERNE	Grant kapitány gyermekei	-0.0545455
		0.3
NHỮNG ĐỨA CON	Fordította Bartócz Ilona	0.158824
		0.3
CỦA THUYỀN TRƯỞNG GRANT	TARTALOM ~~~ Első rész	-0.05
 ~~~ 	I.	0
	A pörölycápa	-0.3
	II.	-0.3
	A három okmány	-0.3
Dịch giả: Phạm Hậu	III. ~~~ Malcolm-Castle	-0.0214286
 ~~~ 	IV.	-0.05
	Lady Glenarvan javaslata	-0.3
Nhà xuất bản Trẻ	V. A Duncan útnak indul	0.3
 ~~~ 	VI.	-0.05
	A hatos számú fülke utasa	-0.3
	VII. ~~~ Honnan jön és hová készül Jacques Paganel? ~~~ VIII.	-0.3
	Eggyel több derék ember a Duncanon	-0.3
 ~~~ 	IX.	-0.05
	A Magellán-szoros	-0.3
	X.	-0.3
	A 37. szélességi fok	-0.3
	XI.	-0.3
Nguồn: Vnthuquan	Chilén keresztül	0.3
	XII. ~~~ Tizenkétezer lábnyi magasságban ~~~ XIII.	-0.3
	Lefelé a Kordillerák lejtőin	-0.6
Sửa lỗi và làm eBook: 4DHN	XIV. ~~~ Váratlan puskalövés	0
	XV. ~~~ Jacques Paganel spanyol tudománya ~~~ XVI.	-0.3
	A Rio Colorado	-0.3
	XVII.	-0.3
	A pampák	-0.3
	XVIII.	-0.3
	Vízkeresés	-0.3
	XIX.	-0.3
	A prérifarkasok	-0.3
	XX.	-0.3
	Az argentin síkságok	-0.3
	XXI.	-0.3
	Az Indépendance-erőd	-0.3
	XXII.	-0.3
	Az árvíz	-0.3
	XXIII.	-0.3
	Madárélet a fa tetején	-0.3
	XXIV. ~~~ Amelyben még mindig madár módra élnek ~~~ XXV.	-0.3
	Tűz és víz között	-0.3
	XXVI.	-0.3
	Az Atlanti-óceán	-0.3
	Második rész	-0.3
	I. Ismét a hajón	-0.3
	II.	-0.3
	Tristan da Cunha	-0.3
	III.	-0.3
	Az Amsterdam-sziget	-0.3
	IV.	-0.6
	Jacques Paganel és Mac Nabbs őrnagy fogadása	-0.3
Ngày hoàn thành: 1-8-2010	V. Vihar az Indiai-óceánon	0.3
	VI.	-0.6
Cập nhật: 2-8-2014	A Bernoulli-fok ~~~ VII.	0
	Ayrton	-0.3
	VIII.	-0.3
	Az indulás	-0.3
	IX.	-0.3
	A Victoria tartomány	-0.3
	X.	-0.3
	A Wimerra folyó	-0.3
	XI.	-0.3
	Burke és Stuart	-0.3
	XII. ~~~ A melbourne-sandhursti vasútvonal ~~~ XIII.	-0.3
	Első díj földrajzból	-0.3
	XIV.	-0.3
http://thuvien-ebook.com	Az Alexander-hegy bányái	0.3
 ~~~ 	XV.	-0.05
	Australian and New Zealand Gazette ~~~ XVI.	-0.3
	Az őrnagy szerint majmok	-0.3
	XVII.	-0.3
	A milliomos állattenyésztők	-0.3
	XVIII.	-0.3
	Az Ausztráliai-Alpok	-0.3
	XIX.	-0.3
	Váratlan fordulat	-0.3
 ~~~ 	XX.	-0.05
	Aland-Zealand	-0.3
	XXI.	-0.3
	Négy gondterhes nap	-0.3
	XXII.	-0.3
	Eden	-0.3
	Harmadik rész	-0.3
	I.	-0.3
Jules Verne	A Macquarie	0.3
	II.	-0.3
	Új-Zéland múltja	-0.3
	III. ~~~ Az új-zélandi vérfürdő ~~~ IV.	-0.3
	A sziklazátonyok	-0.3
	V. A botcsinálta tengerészek	-0.3
	VI. ~~~ Elméleti fejtegetés az emberevésről ~~~ VII.	-0.3
	Partraszállás a rettegett vidéken ~~~ VIII.	-0.3
	Új-Zéland jelene	-0.3
	IX. ~~~ Harminc mérföld észak felé	-0.3
	X.	-0.3
	A nemzeti folyó	-0.3
	XI.	-0.3
(1828-1905)	A Taupoi-tó	0.3
	XII.	-0.3
	Egy maori főnök temetése	-0.3
	XIII.	-0.3
	Az utolsó órák	-0.3
	XIV.	-0.3
	A tabu hegy	-0.3
 ~~~ 	XV.	-0.05
	Paganel hatásos eszközei	-0.3
	XVI.	-0.3
	Két tűz között	-0.3
	XVII. ~~~ Mit keresett a Duncan Új-Zéland keleti partján? ~~~ XVIII.	-0.3
	Ayrton vagy Ben Joyce?	-0.3
	XIX.	-0.3
	Az egyezség	-0.3
	XX. ~~~ Kiáltás az éjszakában ~~~ XXI.	-0.3
	A Tabor-sziget	-0.3
	XXII. ~~~ Paganel utolsó szórakozottsága	-0.3
		0.3
		0.3
		0.3
LỜI GIỚI THIỆU	Első rész	0.0818182
 ~~~ 	I.	0
Jules Verne (1828 - 1905) nhà văn Pháp nổi tiếng được mệnh danh là bậc thầy về viết truyện phiêu lưu và khoa học viễn tưởng.	A pörölycápa ~~~ 1864. július 26-án pompás jacht szelte teljes gőzzel az Északi-csatorna1 vizének szél korbá­csolta hullámait.	-0.0134146
Ông nổi tiếng ngay từ những tiểu thuyết đầu tay của mình, sách của ông đã được dịch ra nhiều thứ tiếng nước ngoài, phát hành rộng rải khắp nơi, được mọi người, nhất là giới trẻ, háo hức đón đọc.	Tatárboca csúcsán angol lobogó lengett az erős északkeleti szélben, főárboca csúcsán meg kisebb kék zászló, rajta arannyal hímzett két betű: E.G. ~~~ s e monogram fölött hercegi korona.	-0.0440678
Trong những năm 1970, so với các tác giả khác thì số sách của Jules Verne được xuất bản đứng hàng thứ ba trên thế giới.	Duncan volt a hajó neve, tulajdonosa, Lord Glenarvan egyike volt annak a tizenhat skót peernek, aki öröklött jogon tagja a Lordok Házának, s ugyanakkor az Egyesült Királyságban oly nevezetes Royal Thames Yacht Club2 legelőkelőbb tagja volt.	0.0969231
Không phải ngẫu nhiên người ta gọi ông là “người đồng hành bất tử của tuổi trẻ”.	Lord Glenarvan ifjú hitvesével, lady Helenával és egyik unokabátyjával, Mac Nabbs őr­naggyal utazott a hajón.	0.281818
Jules Verne có ý định viết về toàn bộ trái đất của chúng ta - từ thiên nhiên ở các vùng khí hậu khác nhau đến thế giới động vật - thực vật và phong tục tập quán, sinh hoạt của các dân tộc trên hành tinh.	A nemrégiben épült Duncan a Clyde-öböltől néhány mérföldnyire járt próbaúton, s most haza­térőben Glasgow felé igyekezett.	0.0696
Nhưng đó không phải chỉ là sự diễn tả một cách đơn thuần, mà ý nghĩ tuyệt vời ấy thể hiện trong một loạt tiểu thuyết nhiều tập được ông gọi chung là “Những cuộc du lịch lạ thường”.	Már Arran szigete is kibontakozott a láthatáron, mikor az őrt álló matróz jelentette, hogy roppant nagyságú hal siklik villámgyorsan a hajó nyomában. ~~~ John Mangles kapitány azonnal tudatta lord Edwarddal a történteket.	-0.00585366
Và ông đã dành hơn 40 năm (từ 1862 đến đầu năm 1905) để hoàn thành bộ sách vĩ đại này gốm 63 tiểu thuyết và hai tuyển tập truyện vừa và truyện ngắn được in thành 97 cuốn sách.	A lord Mac Nabbs őrnaggyal együtt a fedélzetre sietett, s megkérdezte a kapitányt, véleménye szerint miféle állatról van szó. ~~~ - Azt hiszem, uram, nem más, mint jókora cápa. ~~~ - Cápa? ~~~ Ezeken a vizeken?	-0.164815
Việc xuất bản loại sách trên đã kéo dài hơn nửa thế kỷ.	- csodálkozott Glenarvan. ~~~ - Bizony az - mondta a kapitány.	-0.0305556
J. Verne vừa là nhà văn, vừa là nhà khoa học có kiến thức uyên bác, tư tưởng tiến bộ, trí tưởng tượng phong phú.	- A cápáknak ahhoz a fajtájához tartozik, amelyik megél valamennyi tengerben, s bármelyik szélességi fokon.	0.238235
Ông là người khởi xướng loại truyện khoa học viễn tưởng dựa trên sự thật khoa học.	Pörölycápa néven ismeretes, és szinte bizonyos vagyok benne, hogy ez a nyavalyás is ebből a fajtából való.	0.287629
Ông còn là nhà văn kiệt xuất viết tiểu thuyết phiêu lưu mạo hiểm, đồng thời là người cố sức say sưa cho khoa học và tương lai của nó.	Ha lordságod is úgy akarja, és lady Glenarvan is szívesen végignéz egy ilyen nem mindennapi halászatot, akkor hamarosan megtudjuk, igazam van-e. ~~~ - Mi a véleménye, Mac Nabbs?	-0.0111486
Đến nay, nhiều dự kiến, ước mơ của ông đã trở thành hiện thực.	- kérdezte Glenarvan az őrnagyot. ~~~ - Kockáztassuk meg ezt a kalandot?	-0.0257813
Bằng lao động nghệ thuật sáng tạo, J. Verne đã góp phần cống hiến to lớn cho nền văn minh và tiến bộ của loài người.	- Ahogy kedve tartja - felelte nyugodtan az őrnagy. ~~~ - Különben is - tette hozzá John Mangles -, nem irthatjuk eleget ezeket a szörnyű állatokat.	-0.00116279
Nhiều thế hệ bạn đọc trẻ đã được hiểu biết và giáo dục qua các tiểu thuyết của ông.	Éljünk az alkalommal, és ha lordságod is így akarja, hát izgalmas látványban lesz részünk, és egyúttal hasznosat is cselekszünk. ~~~ - Rajta, John!	-0.0341584
Nhiều nhà bác học, nhà phát minh, nhà du lịch đã cảm ơn J. Verne mỗi khi nhớ lại rằng, thời niên thiếu, nhờ say mê đọc sách của ông mà họ đã phát triển được năng khiếu, thậm chí đã có những phát minh quan trọng.	- mondta lord Glenarvan. ~~~ Majd lady Helenáért küldött, és együtt mentek a hátsó fedélzetre; a ladyt is nagyon érdekelte ez az izgalmas halászat. ~~~ A tenger csodálatos volt; felszínén világosan látszottak a cápa gyors mozdulatai; bámulatos lendülettel hol alábukott, hol nekilendült.	-0.105195
J. Verne là con cả trong một gia đình.	John Mangles kiadta az utasításokat.	0.274286
	A matrózok a hajó jobb oldali korlátján át erős kötelet vetettek a tengerbe, a kötél végére vaskos szalonna­darabbal felcsalizott horgot tettek.	-0.3
	Noha jó ötven yardnyi3 távolságra volt, a falánk cápa megérezte a felkínált csalétket.	-0.3
