Alain Fournier	﻿ALAIN-FOURNIER	0.214286
Lâu Đài Huyền Bí	A TITOKZATOS BIRTOK	0.266667
Phần I	ELSŐ RÉSZ	0.1875
Chương 1	Első fejezet	0.21
NGƯỜI Ở TRỌ	A KOSZTOS DIÁK	0.235714
Anh đến nhà tôi một chủ nhật tháng 11, năm 189...	Vasárnap volt, 189... novemberének egyik vasárnapja, amikor az új kosztosfiú megérkezett hozzánk.	0.317925
Tôi vẫn nói "nhà tôi" mặc dù căn nhà không còn là của gia đình tôi.	Még ma is így mondogatom: "hozzánk" - pedig már réges-régen nincs semmi közünk ahhoz a házhoz.	0.229167
Chúng tôi rời nơi đó chẳng bao lâu nữa đã 15 năm và chắc chắn không bao giờ trở lại.	Idestova tizenöt éve, hogy elköltöztünk arról a vidékről, és bizonyára nem látjuk soha többé.	0.296774
	Sainte-Agathe-ban laktunk, a városi iskola épületében.	-0.3
	Édesapám, akit én is Seurel tanár úrnak szólítottam, akár a többi gyerek, volt az iskola igazgatója.	-0.3
	Nemcsak az alsós diákokat tanította, ő foglalkozott a felsősökkel is.	-0.3
	A felső tagozatba azok jártak, akik tanítói oklevelet akartak szerezni.	-0.3
Bây giờ, gia đình tôi ngụ trong khu nhà giáo sư ở Xanhtơ-Agat.	Drága jó édesanyám a legkisebbekkel, az elemistákkal vesződött.	0.295313
	Néhány nagyobb színfolttal, egy-két erősebb ecsetvonással fel is vázolhatom a lakásunkat.	-0.3
	Vadszőlővel befuttatott, hosszúkás, vörös téglaépülete a városka szélén állott.	-0.3
	Öt szárnyas üvegajtaja volt s hatalmas, tágas udvara, külön az iskolások számára elkerített hellyel.	-0.3
	Ugyan­csak itt volt a mosókonyha is.	-0.3
	Az udvarba, melynek eleje a városka felé nézett, széles, faragott kertkapun át juthattak be a diákok.	-0.3
Cha tôi, mà tôi cũng gọi là ông Xơ-ren như các học sinh khác, vừa dạy lớp đại học để đào tạo giáo viên cấp một, vừa dạy trung học.	A ház északi oldala mellett húzódott el az országút, mely a három kilométernyire fekvő La Gare-ba vezetett; kis rácsos vasajtón át léphettél itt ki a szabadba.	0.293836
	Hátul, dél felé, mezőket lehetett látni, kerteket, réteket, ezek mind a szétszórt, nagykiterjedésű tanyavilághoz tartoztak.	-0.3
Mẹ tôi dạy tiểu học.	Itt laktunk ebben a környezetben.	0.242308
