Bà Bô vary	Bovaryné	0.27
GUYXTAVƠ FLÔBE	Irta Flaubert	0.230769
PHẦN THỨ NHẤT	ELSŐ RÉSZ.	0.15
I	I.	0.15
Chúng tôi đang học thì ông hiệu trưởng vào. ~~~ Theo sau ông là một người học trò mới ăn mặc quần áo tầm thường và một người lao công vác một chiếc bàn viết to.	A dolgozó-szobában voltunk, amikor megjelent az igazgató egy uj fiuval, a kin még nem volt egyenruha, meg az iskolaszolgával, aki egy fiókos munka-asztalt czipelt utánok.	-0.0214286
Những bạn đang ngủ bừng tỉnh, cậu nào cậu nấy đều đứng phắt dậy dường như đã bị bắt quả tang giữa giờ học.	Az alvók fölriadtak s mindnyájan fölkeltünk, mintha nagy munkában zavartak volna meg bennünket.	0.171429
Ông hiệu trưởng ra hiệu cho chúng tôi ngồi xuống; rồi ông quay về phía thầy giám thị, khẽ nói:	Az igazgató intett, hogy üljünk le; aztán, a korrepetitor felé fordulva:	0.141176
- Ông Rôgiê, đây là người học trò mà tôi giao phó cho ông.	– Roger ur – szólt alig érthető hangon – ezt a növendéket ajánlom a figyelmébe.	0.217742
Bây giờ em vào lớp Năm.	Egyelőre a második osztályba fog járni.	0.15
Nếu em học hành tốt và có hạnh kiểm xứng đáng, thì em sẽ được chuyển lên lớp các em lớn cho hợp với lứa tuổi.	Ha szorgalmas lesz és jól viseli magát, átviszszük a nagyokhoz; mert kora ezek közé utalná.	0.163953
Người học trò mới cứ đứng ở góc tường, sau cánh cửa ra vào, thành ra chúng tôi chẳng nhìn thấy rõ hắn mấy.	Az uj fiu félénken huzódott meg az ajtó mögött lévő szögletben, úgy, hogy alig láthattuk.	0.186207
Hắn là một gã nhà quê, chừng mười lăm tuổi, có một tầm vóc cao hơn bất kỳ đứa nào trong đám chúng tôi.	Mintegy tizenöt esztendős falusi gyerek volt; erősebb, nagyobb mindnyájunknál.	0.146053
Hắn hớt tóc lối để bằng trên trán như dân hát lễ ở nhà thờ làng, hắn có vẻ biết điều và hết sức lúng túng.	Homlokába fésült haját rövidre nyirva viselte, amint ministráns-gyermekeken látni; jóképü fiunak tünt fel s látszott rajta, hogy roppant zavarban van.	0.251613
Tuy vai hắn không rộng, chiếc áo dạ xanh đơm khuy màu đen mà hắn mặc ngoài cùng xem chừng cũng chật ních, và qua kẽ hở của cửa tay áo, lộ ra hai cổ tay đỏ vốn quen bỏ trần.	Bár nem volt széles vállu, zöld posztóból készült zekéje, melyen fekete gombok ékeskedtek, nagyon bánthatta a hónaljánál, s a rövid ruhaujj hajtókája alól kibuvó vörös kézcsuklón szemmellátható volt, hogy igen megszokta a fedetlenséget.	0.221311
Chân hắn đi tất màu lơ thò ra ngoài chiếc quần vàng nhạt được kéo lên bằng dải đeo.	Sárgás-barna, kurta pantallója alól, melyet a nadrág-tartó erősen huzott felfelé, kikandikált a kék gyapjuharisnya; lábafejét nagy, formátlan, rosszul fényesitett, szeges czipő fedte.	0.0319149
Đôi giày hắn vững chắc, đánh xi lem nhem, có đóng đinh.	Fel kellett olvasnunk a feladatainkat.	0.0857143
Giờ học bắt đầu.	Az uj fiu tátott szájjal, áhitatosan hallgatta, mint a szent beszédet.	-0.247826
Hắn hết sức chú ý lắng tai nghe giảng bài như nghe giảng đạo, hắn không dám bắt chéo chân, tỳ khuỷu tay, và đến hai giờ, khi chuông báo hiệu, thầy giám thị buộc phải bảo hắn ra xếp hàng cùng với chúng tôi.	Nem merte a lábát keresztbe tenni, nem mert az asztalára könyökölni s két órakor, mikor előadásra csöngettek, a korrepetitornak kellett figyelmeztetnie, hogy keljen fel és csatlakozzék hozzánk.	0.230769
Khi vào lớp, chúng tôi có cái thói quen là ném mũ cát-két xuống đất để tay được rảnh hơn.	Az volt a szokásunk, hogy mikor berontottunk az osztályba, a földhöz vágtuk a sipkánkat, hogy a kezünk annál szabadabb legyen; a küszöbről kellett a pad alá teremteni, ugy, hogy onnan a falhoz vágódjék s minél nagyobb port csapjunk; ezt mi igen elmésnek találtuk.	-0.127273
Ngay từ lúc qua ngưỡng cửa, chúng tôi đã phải quẳng mũ xuống dưới gầm ghế sao cho mũ vừa đập vào tường vừa làm bụi mù lên, có như thế mới đúng kiểu cách.	Az uj fiu vagy nem vette észre ezt a virtust, vagy nem mert utánozni bennünket, elég az hozzá, még az imádság után is a térdén tartotta a kucsmáját.	0.213333
Nhưng hoặc hắn không nhận thấy cái trò chơi ấy, hoặc hắn chẳng dám làm theo cho nên bài kinh đã xong mà người học trò mới vẫn giữ cái mũ cát-két trên đầu gối, một trong những loại kiểu hỗn hợp mà ở đó người ta nhận thấy cả những thành phần mũ trùm đầu có tuyết lẫn mũ kỵ binh Ba Lan và mũ tròn, mũ cát-két bằng lông da rái cá, mũ trùm bằng vải bông, tóm lại, nó là một vật tồi mà cái vẻ xấu xí trầm lặng biểu hiện một cách sâu sắc tựa hồ bộ mặt của một kẻ đần độn.	Ez a fejfedő egyike volt ama ravasz szerkezetü holmiknak, a melyekben megtalálni a katonasipka, a csákó, a kerek kalap, a süveg és a vidra-sipka elemeit, szóval: egyike ama szegényes, szomoru dolgoknak, melyeknek néma csunyaságában van valami meginditó kifejezés, olyanféle, mint a minőt a félkegyelmüek arczán találunk.	0.0709459
Cái mũ ấy hình quả trứng, được căng phồng bằng những chiếc gọng, mở đầu bằng ba khoanh tròn như ba khúc dồi lợn, rồi đến những hình trám bằng nhung và lông thỏ xen kẽ nhau qua đường băng đỏ; tiếp nữa là một thứ túi độn bìa cứng hình đa giác có đường viền thêu rắc rối kiểu mũ võ quan và từ đó quả tua mũ nhỏ xíu hình thập tự bằng kim tuyến treo ở đầu một sợi giây quá mảnh.	A tojásdad formáju, különös fejfedő alapzatát három, halcsonttal béllelt bőrtekercs alkotta; a másik része házinyul-bőrből és bársonydarabokból volt összeróva, a melyeket a prémtől vörös zsinór választott el; felső, zsákszerü része végül egy szögletes, szövettel bevont s czifra sujtással boritott keménységben végződött, melynek diszitményéről igen vékony és igen hosszu zsinóron apró "arany"-szálakból készült bojt-forma csüngött le.	0.290024
Cái mũ mới tinh, lưỡi trai bóng lộn.	Ez a csákó uj volt; az ellenzője csak ugy ragyogott.	0.2475
-Đứng dậy, - thầy giáo nói.	– Keljen fel – szólt a tanár.	0.28
Hắn đứng lên: Cái mũ rơi xuống.	Fölkelt s a csákója leesett.	0.203571
Cả lớp cười ồ. Hắn cúi xuống nhặt mũ.	Az egész osztály elkezdett nevetni.	0.185294
Một bạn ngồi cạnh hích	Lehajolt és fölvette.	0.218182
khuỷu tay làm cái mũ lại rơi xuống, một lần nữa hắn lại cúi xuống nhặt mũ.	De egyik szomszédja a könyökével ujra lelökte; fölszedte másodszor is.	0.230435
Thầy giáo, vốn là một người tinh ý, liền bảo:	– Tegye el már egyszer a sisakját – szólt a tanár, a ki elmés ember volt.	0.215094
-Thì em cứ bỏ cái mũ của em ra nào.	Ezeket a szavakat általános hahota honorálta, amire a szegény fiu teljesen elvesztette a fejét.	-0.113514
