Homer	HOMÉROSZ	0.1
Iliad và Odyssey	Odüsszeia	0.163636
Khúc 1	ELSŐ ÉNEK –	0
Hỡi Thi Thần, xin kể cho bản nhân hay chuyện người ấy, người trăm phương nghìn kế đã cướp phá thành Troa thiêng liêng, sau đó lang thang góc biển chân trời, gặp nhiều sắc dân, tới nhiều thành phố, hiểu phong tục, tập quán của họ, người trải qua vô vàn gian truân, lo lắng ngấm ngầm vò xé tâm can khi lênh đênh trên biển cả, quyết tâm phấn đấu sống còn, cùng lúc lèo lái đưa đồng đội trở về với gia đình, nhưng không thể, dù cố gắng hết sức.		-0.3
Họ mất mạng vì việc làm bất chính.	AZ ISTENEK GYŰLÉSE ~~~ ATHÉNÉ INTELME TÉLEMAKHOSZHOZ	-0.0365854
Do điên rồ, mù quáng họ bắt bò quý tử Mặt Trời làm thịt, vì thế Đấng Trên Cao bít lối ngăn đường nhất định không cho nhìn thấy ngày về.	Férfiuról szólj nékem, Múzsa, ki sokfele bolygott ~~~ s hosszan hányódott, földúlván szentfalu Tróját,	-0.0787129
Và hỡi nữ thần, ô ái nữ Chúa tể, cùng lúc cất lời kể cho ngô bối hay chút ít chuyện phiêu lưu, bắt đầu bất kỳ chỗ nào tùy ý.	sok nép városait, s eszejárását kitanulta, ~~~ s tengeren is sok erős gyötrelmet tűrt a szivében,	-0.0807692
Người sống sót sau cuộc chiến bây giờ đã trở về, nguy hiểm ngoài chiến trường, ngặt nghèo trên biển cả đã trôi qua.	menteni vágyva saját lelkét, társak hazatértét. ~~~ Csakhogy nem tarthatta meg őket, akárhogy akarta:	-0.0546875
Chỉ có Odysseus dù rất mong muốn không trở về gặp lại hiền thê.	mert önnön buta vétkeikért odavesztek a társak,	0.146809
Yêu mị Calypso, nữ thần nhan sắc, quyền lực kỳ lạ hăm hở muốn lấy làm chồng giữ ghịt trong động vòm cung.	balgák: fölfalták Hüperíón Éeliosznak ~~~ barmait, és hazatértük napját ő elorozta.	-0.06
Thời gian xoay vần, năm tháng đổi thay, kéo tơ dệt chỉ, thần linh quyết định cho về Ithaka.	Istennő, Zeusz lánya, beszélj minekünk is ezekből. ~~~ Hát aki megmenekült meredek vészből, valamennyi	0
Ngay cả lúc ấy Odysseus vẫn chưa hết gian nguy, và lúc ấy Odysseus cũng chẳng hề đoàn tụ với gia đình.	otthon volt, túl háborun és a vizek veszedelmén; ~~~ őt egyedül, hitvesre, hazára hiába sovárgót	-0.0277174
Bởi thế thần linh đều thương hại, trừ Poseidon, thịnh nộ khôn nguôi, tìm đủ cách hãm hại không để Odysseus kiên cường trở về quê hương.	tartóztatta Kalüpszó nimfa, az isteni úrnő ~~~ barlang öblös ölén, mivel áhította urául.	-0.1125
Nhưng hiện giờ hải thần đang trên đường tới vùng xa xôi thăm người mặt sạm nắng, vùng tận cùng trái đất, cư dân chia đôi, nửa sống nơi mặt trời chìm lặn, nửa sống chỗ mặt trời nhô lên.		-0.3
Hải thần tới đó tiếp nhận lễ bách sinh, bò dê cúng dường hậu hĩ, đến đó ngồi vào bàn tiệc, tận hưởng nguồn vui.	És hogy az esztendők perdültén jött az az év is, ~~~ melyhez az istenek azt szőtték, hogy visszakerüljön	-0.0510309
Thần linh còn lại tụ tập trong cung điện Chúa tể trên núi Olympos.	már Ithakába, a küzdelmektől nem menekült meg ~~~ még a szerettei közt sem.	-0.00214286
