Quo Vadis	QUO VADIS?	0.266667
Henryk Sienkiewicz	SIENKIEWICZ HENRIK	0.3
Tập 1 - Chương 1	ELSŐ KÖTET.	0.207692
Petronius thức giấc vào lúc gần giữa trưa và như thường lệ, mệt mỏi vô cùng.	ELSŐ KÖNYV. ~~~ ELSŐ FEJEZET.	-0.310714
Hôm qua, ông ấy dự yến tiệc ở nhà Nêrô, bữa tiệc kéo dài mãi tận khuya.	Petronius csak déltájban ébredt föl, de azért mégis, mint rendesen, nagyon bágyadtnak érzé magát.	0.24375
Từ một lúc nào đấy, sức khỏe của ông bắt đầu suy sụp.	Az előtte való nap Nero lakomáján vett részt, mely késő éjjelig tartott.	0.276923
Chính ông bảo rằng, buổi sáng khi tỉnh giấc ông cảm thấy như bị liệt cả người và không sao tập trung tư tưởng nổi.	Egy idő óta folyton-folyvást egészségére panaszkodott és azt állította, hogy reggel mindig szinte meg­bénulva ébred föl és képtelen gondolatait összeszedni.	0.24186
Song việc tắm sáng cũng xoa bóp kỹ lưỡng toàn thân do các nô lệ thành thạo công việc này làm đã thúc nhanh dần sự tuần hoàn dòng máu biếng nhác của ông, đánh thức cơ thể ông khiến nó hồi tỉnh lại, trả lại cho ông sức lực và đến khi bước ra khỏi gian cuối cùng của phòng tắm - elaeo!hesium - thì trông ông dường như vừa mới được hồi sinh, với cặp mắt long lanh ánh hài hước và niềm vui, trẻ hẳn lại, tràn trề sinh lực, trang nhã không ai bì.	De a megszokott reggeli fürdő és testének gyakorlott rabszolgáktól való megnyomkodása sohasem téveszté el hatását, ellustult vérének keringését mindig fokozta, sőt ugy megélénkítette, fölvidámította és megerősítette, hogy mintegy ujjászületve jött ki belőle.	0.0465116
Ngay cả đến chàng Otho cũng không thể sánh cùng ông, quả đúng là cái tên người ta vẫn gọi ông: arbiter elegantiarum.	Akkor aztán ujfent szellem és vidámság ragyogott szeméből; megifjultnak, élettel teljesnek, külső megjelenésében tökéletesnek látszott.	0.268293
Hiếm khi ông lui tới các nhà tắm công cộng, trừ khi có nhà hùng biện nào đó gây nên sự kinh ngạc và được người ta đồn đại khắp thành phố, hoặc có những cuộc đấu đặc biệt hấp dẫn trong các trường thiếu sinh quân.	A nyilvá­nos fürdőkbe ritkán szokott menni. ~~~ "Szigetein" saját fürdői voltak, melyeket a hires Severus Ceter megnagyobbított, átépített és oly rendkívüli ízléssel szerelt föl, hogy maga Nero is a császári fürdők fölé helyezte, habár ezek sokkal tágasabbak és jóval díszesebbek voltak.	-0.00519481
Vả chăng, trong khu dinh thự của ông cũng có các phòng tắm riêng được chính Xeler - người cộng sự nổi tiếng của Xeverux - mở rộng, xây thêm và bài trí tuyệt vời đến nỗi chính Nerô cũng phải thừa nhận là chúng hơn hẳn các phòng tắm của hoàng đế, dẫu các phòng tắm của hoàng đế rộng hơn và xa hoa khôn sánh.		-0.3
Vậy là, sau bữa yến đêm qua, - trong đó, quá ngán ngẩm với những trò hề của Vatynius, ông đã cùng với Nerô, Lukan và Xenexion tham dự cuộc phiếm luận: Đàn bà có linh hồn hay không?		-0.3
- ông dậy muộn và đi tắm như thường lệ.	Ama lakoma után későn kelt föl és a fürdőbe ment.	0.286957
Hai tên nô lệ chuyên phục vụ việc tắm, người lực lưỡng, đặt ông lên chiếc bàn bằng gỗ trắc bá phủ lụa Ai Cập trắng như tuyết, rồi nhúng tay vào dầu thơm bắt đầu xoa khắp thân hình có những đường nét rất đẹp đẽ của ông, còn ông nằm nhắm mắt chờ cho sức nóng của dầu laconicum cùng hơi ấm bàn tay chúng thấm vào người xua đi sự mệt mỏi.	Most két erős fürdőszolga hófehér egiptomi bisszuszszal takart cipruszfa "ágyon" kihozta és jóillatu olajjal megnedvesített kezével szépformáju testét kenegetni kezdte, ő pedig behunyt szemmel várakozott, mig a laconicum1 melege és kezöknek melegsége reá is hatott és bágyadtságát tovaüzte.	0.192473
