LÂU ĐÀI	﻿A KASTÉLY	0.21
Tác giả: Franz Kafka	FRANZ KAFKA	0.0272727
Chương I	Első fejezet	0.21
Khi K. đến nơi thì đêm đã khuya.	Késő este volt, mikor K. megérkezett.	0.72
Ngôi làng yên nghỉ dưới lớp tuyết dày.	A falu vastag hó alatt pihent.	0.1
Sương mù và bóng tối bao phủ, không thể nhìn thấy ngọn đồi có thành lũy và tòa Lâu đài lớn, dù chỉ là một ít ánh sáng mờ nhạt nhất.	A várhegyet nem lehetett látni, köd és sötétség vette körül, a nagy kastélyt a leghalványabb fény sem jelezte.	0.183962
K. đứng hồi lâu trên chiếc cầu gỗ dẫn từ đường quốc lộ vào làng và nhìn vào khoảng không.	K. sokáig állt a fahídon, mely az országútról a faluba vezetett, és fölnézett a semmibe.	0.416071
Sau đó chàng đi tìm nơi nghỉ. ~~~ Trong quán trọ người ta vẫn còn thức. ~~~ Không có phòng cho thuê, nhưng ông khách đến muộn này đã làm cho người chủ quán bị bất ngờ và bối rối, anh ta đề nghị K. ngủ trên đệm rơm trong quầy uống.	Aztán elindult szállást keresni; a kocsmában még ébren voltak, kiadó szoba nem volt, de a kocsmárost annyira meglepte és megzavarta a kései vendég, hogy váltig azt ajánlotta neki, aludjék egy szalmazsákon az ivóban.	-0.1065
K. đã đồng ý. Một vài người nông dân vẫn còn ngồi lom khom bên cốc bia, nhưng chàng không muốn bắt chuyện với ai cả.		-0.3
Chàng mang đệm rơm xuống nằm cạnh lò sưởi.	K. ebbe bele is egyezett.	-0.0818182
Quán trọ ấm áp, những người nông dân ngồi im lặng.	Néhány paraszt még ott gubbasztott a söre mellett, ő azonban senkivel sem akart szóba elegyedni, maga hozta le a padlásról a szalmazsákot és lefeküdt a kályha mellé.	-0.191379
K. quan sát họ một lúc bằng đôi mắt mệt mỏi rồi chàng ngủ thiếp đi.	Meleg volt, a parasztok hallgattak, fáradt szemével egy ideig még fürkészte őket, aztán elaludt.	0.245455
Nhưng chẳng mấy chốc người ta đã đánh thức chàng dậy.	De hamarosan fölébresztették.	-0.00967742
Một gã trẻ tuổi mặc quần áo như người thành phố, có khuôn mặt nghệ sĩ, - mắt ti hí, lông mày rậm, - đang đứng bên chàng cùng với chủ quán.	Városi ruhás, színészies arcú, szűk szemű, erős szemöldökű fiatalember állt mellette meg a vendéglős.	0.154369
Những người nông dân vẫn chưa về, một số quay ghế lại để nhìn và nghe cho rõ hơn.	Ott voltak még a parasztok is, egyik-másik meg­fordította a székét, hogy jobban lásson és halljon.	0.293407
Gã trẻ tuổi xin lỗi K. một cách lịch sự vì đã đánh thức chàng dậy rồi tự giới thiệu mình là con trai quan phòng thành. ~~~ Gã nói:	A fiatalember udvariasan bocsánatot kért K.-tól, amiért fölébresztette, bemutatkozásul közölte, hogy ő a várnagy fia, és azt mondta:	-0.00117188
- Cái làng này là của Lâu đài, ai sống hoặc nghỉ đêm ở đây cũng đều như là sông hoặc nghỉ đêm trong Lâu đài.	- Ez a falu a kastélyé, aki itt lakik vagy éjszakázik, mintegy a kastélyban lakik vagy éjsza­kázik.	0.372101
phải được phép của bá tước.	Ehhez pedig grófi engedély kell.	0.251613
Ngài không có giấy tờ gì, chí ít thì ngài đã không cho chúng tôi xem.	Önnek azonban nincs engedélye, legalábbis nem mutatta meg.	0.207273
K. chống hai tay ngồi dậy, vuốt lại tóc, nhìn mọi người, hỏi:	K. fölkönyökölt, megigazította a haját, fölnézett az emberekre, és azt kérdezte:	0.497826
- Tôi lạc vào làng nào thế này?	- Milyen faluba tévedhettem?	0.822222
Chẳng lẽ ở đây có Lâu đài à?	Hát van itt valami kastély?	0.196154
- Có chớ! ~~~ - gã trẻ tuổi kiên nhẫn trả lời, và K. thấy một vài người lắc đầu.	- Van hát - felelte a fiatalember kimérten, és K. közben látta, hogy itt is, ott is a fejüket csóválják.	0.168137
- Lâu đài của bá tước West West.	- Westwest gróf úr kastélya.	0.725
- Phải có giấy phép thì mới được nghỉ đêm tại đây à?	- És engedély kell hozzá, hogy az ember itt éjszakázzék?	0.522727
- K. hỏi như thể muốn tin chắc điều mình vừa nghe là không phải ở trong mơ.	- kérdezte K., mintha meg akarna győződni róla, nem csak álmodta-e, amit az imént hallott.	0.480093
- Phải có giấy phép. ~~~ - có tiếng đáp, và như để cợt nhạo K., gã trẻ tuổi dang cánh tay về phía chủ quán và những người khách: - Hay là không cần giấy phép nhỉ?	- Engedély kell hozzá - hangzott a válasz, s mintha gúnyos megszégyenítés lett volna K.-ra nézve, amikor a fiatalember széttárt karral a kocsmáros és a vendégek felé fordult:	0.0932631
- Vậy thì tôi đi xin phép.	- Vagy talán nem kell hozzá engedély?	0.586111
- K. vừa ngáp vừa nói, rồi hất chiếc chăn khỏi người như thể chàng muốn ngồi dậy.	- Hát akkor elmegyek az engedélyért - mondta ásítva K., és lelökte magáról a takarót, mintha föl akarna kelni.	0.422411
- Nhưng đi xin ai?	- De kihez?	0.84
- gã trẻ tuổi hỏi.	- kérdezte a fiatalember.	0.872727
- Đến xin ngài bá tước, - K. trả lời.	- A gróf úrhoz - felelte K. - Ki máshoz mehetnék?	1.09623
- tôi có thể đi xin được?		-0.3
- Đến ngài bá tước để xin phép lúc nửa đêm thế này à?	- Most, éjfélkor, a gróf úrhoz, az engedélyért?	0.537589
- gã trẻ tuổi kêu lên và lùi lại một bước.	- kiáltott föl a fiatalember, és hátrált egy lépést.	0.581633
- Không được sao?	- Talán nem lehet?	0.847059
- K. hỏi tưng tửng.	- kérdezte K. egykedvűen.	1.44286
- Vậy tại sao anh đánh thức tôi dậy?	- Akkor miért zavart föl?	0.6
Gã trẻ tuổi đột nhiên nổi cáu:	A fiatalembert egyszeriben elöntötte az indulat.	0.227027
- Quân lêu lổng!	- Csavargó tempók!	1.03333
- gã thét lên.	- kiabálta.	1.225
- Tôi yêu cầu anh phải tôn trọng người của bá tước!	- Tessék tisztelettel lenni a grófi hatóság iránt!	0.572109
