JULES VERNE	JULES VERNE	2.3
NGƯỜI HOA TIÊU TRÊN SÔNG DANUBE	A DUNAI HAJÓS	-0.161538
CHƯƠNG 1	ELSŐ FEJEZET	0.21
TẠI CUỘC THI Ở DITMARINGEN	A SIGMARINGENI VERSENYEN	0.221739
Vào ngày đó, thứ bảy 5 tháng tám 1876, cả một đám đông người ồn ào tụ tập tại quán rượu "Cuộc gặp mặt của các ngư dân".	1876. augusztus 5-én, egy szombati napon nagy, zsibongó tömeg töltötte meg a Halász­tanyá­hoz címzett vendéglőt.	0.227027
Những tiếng hát, tiếng ly tách, tiếng hoan nghênh, tiếng la hét trộn lẫn thành sự ồn ào kiinh khủng, chốc chốc lại bật lên những tiếng thét to: "Hô!"	Az énekszó, a kiáltozás, az összevert poharak csengése, a taps és üdvrivalgás fülsiketítő lármává folyt össze.	0.166071
bộc lộ niềm vui tràn ứ. ~~~ Những ô cửa sổ nhỏ của quán rượu trông thẳng ra sông Danube, ven sông là một thành phố nhỏ tuyệt diệu của Ditmaringen, thủ phủ cua triều đại Phổ, tọa lạc bên nguồn sông vĩ đại vùng Trung u.	A lármát csaknem szabályos időközönként harsogták túl azok a "Hoch!" kiáltások, melyekkel a németek szoktak hangot adni túláradó jókedvüknek.	-0.0723404
Sau khi đeo xong tấm biển, được kẻ bằng những kiểu chữ Gô-tích thật đẹp, treo trên cửa ra vào, các hội viên của "Hội vùng sông Danube" đi vào quán rượu.	A vendéglő ablakai közvetlenül a Dunára néztek, a bájos Sigmaringen városkának szélén.	0.0206897
Đây là một hội quốc tế bao gồm những ngư dân thuộc nhiều quốc gia khác nhau nằm ở ven sông Danube.	Sigmaringen a Poroszországhoz tartozó, de csaknem a nagy közép-európai folyam eredeténél fekvő hohenzollerni terület-beszögellés székhelye.	0.213084
Nếu không có sự đánh chén thì cuộc nhóm họp nào cũng mất đi phần náo nhiệt vui tươi - thức uống phải ngon nhất hạng.	A vendéglő kapuja fölé cifra gót betűkkel festett cégér hívogató szavának eleget téve itt gyűltek össze a Dunai Ligának, a különböző Duna-völgyi nemzetiségekhez tartozó horgászok nemzetközi társaságának tagjai.	0.109302
Thế nên ở đây người ta uống bia Huyn-khen hảo hạng và rượu ngon Hungary - ly cốc nào cũng luôn đầy tràn.	Effajta vidám összejövetel nem is képzelhető el alapos ivászat nélkül. ~~~ A vendégek bőségesen kortyintgatták a jó müncheni sört és a jó magyar bort.	-0.0428571
