TRỌNG ĐỨC	﻿HÖLGYEK ÖRÖME	0.192857
CHƯƠNG 1	1	15.6
Denise cùng hai em trai xuống tàu Cherbourg ở ga Saint-Lazare, đi bộ sau một đêm ngồi ghế cứng trên một toa xe hạng ba.	Denise gyalog indult el a Saint-Lazare pályaudvarról, ahol a cherbourg-i vonatból szállt ki, két öccsével, egy harmadik osztályú kocsi kemény padján töltött éjszaka után.	0.3125
Nàng dắt tay Pépé, Jean đi theo sau, cả ba mỏi nhừ vì chuyến đi, kinh hoàng và lạc lõng giữa Paris mênh mông, hếch mũi lên nhìn các nhà, ở mỗi ngã tư lại hỏi thăm về phố La Michodière, nơi có nhà ông chú Baudu.	Pépét kézen fogva vezette, Jean utána ment; mindhármukat megviselte az utazás, s most riadtan, honta­lanul bandukoltak ebben az óriási Párizsban, bámulták a magas házakat, és minden utcasarkon a Michodière utca után kérdezősködtek, ahol Baudu nagybátyjuk lakott.	0.339797
Nhưng cuối cùng, khi tới quảng trường Gaillon, cô gái đột ngột dừng lại ngỡ ngàng. ~~~ — Ôi!	Mikor végre kiértek a Gaillon térre, a fiatal leány meglepetten torpant meg.	-0.0492857
– cô nói, – Jean ơi, trông kìa!	- Ó - mondta -, nézd csak, Jean!	0.235714
Và họ đứng sững, siết chặt lấy nhau, cả ba đều mặc đồ đen đã cũ vì sắp mãn tang bố.	S csak álltak egymáshoz húzódva, talpig feketében, az apjukért viselt régi gyászruhában.	0.262069
Cô gái, mảnh khảnh với tuổi hai mươi, vẻ con nhà nghèo, tay xách một gói nhẹ; còn phía bên kia thì đứa em nhỏ lên năm, níu lấy tay, sau lưng là thằng anh lớn, mười sáu tuổi, vênh vênh, phơi phới, đứng thõng hai tay.	A lány fejletlen volt húsz esztendejéhez képest, külseje szegényes, kezében kis csomag; a másik oldalon ötesztendős kisöccse akaszkodott a karjára, mögötte meg a nagyfiú állt ragyogó, büszke tizenhat esztendejével, karját lóbálva.	0.294619
— Chà, tuyệt, – sau một phút im lặng cô nói, – một cửa hàng như thế chứ!	- Ez aztán a bolt! ~~~ - folytatta a leány, egy kis hallgatás után.	-0.062069
Đó là, ở góc phố La Michodière và phố Neuve-Saint-Augustin, một cửa hiệu tân phẩm, hàng bày nổi bật lên những màu rực rỡ trong ánh ngày tháng mười dịu nhạt.	A Michodière utca és az Új Szent Ágoston utca sarkán egy divatáruház volt, melynek kira­katai eleven színekkel tündököltek a szelíd, sápadt októberi napon.	0.378691
Chuông nhà thờ Saint-Roch điểm tám giờ, trên bờ hè chỉ có dân Paris dậy sớm, những nhân viên tới sở và những bà nội trợ chạy các cửa hàng.	Szent Rókus templomában nyolcat ütött az óra, a gyalogjárókon még csak a reggeli Párizs sürgött-forgott: irodájukba siető hivatalnokok és bevásárló háziasszonyok.	0.286364
Trước cửa hiệu, hai viên thư ký bán hàng leo trên một chiếc thang đôi, sắp treo xong những hàng len, còn trong một tủ kính phố Neuve-Saint-Augustin thì một viên thư ký khác, ngồi xổm và quay lưng đang thận trọng xếp nếp một tấm lụa xanh da trời.	Az ajtó előtt két kereskedősegéd, kettős létrán állva, éppen gyapjúholmit aggatott föl, az Új Szent Ágoston utcai kirakatban pedig egy harmadik segéd térdelt az utcának háttal, s gondosan redőkbe szedett egy kék selyemdarabot.	0.238605
Trong cửa hiệu còn vắng khách mà nhân viên thì mới đến lác đác, râm ran như một tổ ong thức dậy.	Az áruház, melyben vevők nem voltak még, s a személyzet is alighogy megérkezett, úgy zümmögött odabenn, mint az ébredező méhkas.	0.251887
— Ui chao!	- Az áldóját!	0.190909
– Jean nói.	- mondta Jean.	0.3
– Nó đánh bạt Valognes… Hiệu của chị chẳng đẹp đến thế.	- Ez aztán különb Valognes-nál... A tied nem volt ilyen szép.	0.231579
Denise lắc đầu.	Denise megrázta a fejét.	0.971053
Cô đã hai năm làm việc ở đó, nhà Cornaille, tay bán tân phẩm số một thành phố; thế mà cửa hiệu này, cô bắt gặp đột ngột, nó thật là đồ sộ đối với cô, khiến cô hào hứng, xúc động, chăm chú, quên hết mọi sự.	Két esztendőt töltött ott Cornaille-nál, a város legelső divatárusánál; és most, hogy váratlanul megpillantotta ezt az üzletet, ezt a mérhetetlennek tetsző házat, szíven ütötte valami; megállt, nyugtalanul, kíváncsian, mindenről megfeledkezve.	0.294872
Trên vạt tường cách ngang nhìn ra quảng trường Gaillon, chiếc cửa ra vào, toàn bằng gương, cao tới tầng một, giữa những trang trí phức tạp, mạ vàng khắp lượt.	Az épület­nek a Gaillon térre néző levágott sarkán a magas üvegkapu fölért a félemeletig, bonyolult, aranyozással megrakott díszítések között.	0.232867
Hai nhân vật biểu tượng, hai người đàn bà tươi cười, hở vú và ưỡn ra, trương lên tấm biển: Hiệu Hạnh phúc các bà. ~~~ Rồi những tủ kính chạy dài, suốt dọc phố La Michodière và phố Neuve-Saint-Augustin, ngoài ngôi nhà ở góc, chúng choán bốn ngôi nhà khác, hai bên phải, hai bên trái, gần đây mới mua và được tu sửa.	Két allegorikus alak, két nevető, meztelen mellű, hátradűlő nő tartotta kezében a cég nevét: "Hölgyek Öröme." A kirakatablakok aztán mélyen benyúltak a Michodière és az Új Szent Ágoston utcába, ahol a sarokházon kívül négy más házat foglaltak még el, kettőt balra, kettőt jobbra, melyeket nemrég vásárolt és alakított át a cég.	-0.0118671
Cả một cuộc triển khai dường như vô tận, mất hút theo đường viễn thị, với những hàng bày ở tầng dưới và những tấm gương không tráng ở tầng trên, qua đó người ta nhìn thấy cả cuộc sống bên trong của các quầy hàng.	Végtelennek látszott ez a sor, összefutó távlatával, a földszinti kirakatokkal s a félemelet tükörablakaival, melyek mögött az üzlethelyiségek egész belső életét látni lehetett.	0.185143
Ở phía trên, một cô gái, mặc đồ lụa, gọt một chiếc bút chì trong khi hai cô khác, gần đấy, mở ra những chiếc măng tô nhung.	Odafönn egy selyembe öltözött kisasszony ceruzát hegyezett, mellette meg két másik bársony köpenyeket bontogatott ki.	0.241593
