Miếng Da Lừa	A SZAMÁRBŐR	0.253846
Honoré de Balzac	Honoré Balzac	2.25714
	ELSŐ RÉSZ	-0.3
TẤM BÙA	A TALIZMÁN	0.27
Khoảng cuối tháng Mười - năm ngoái, một chàng thanh niên bước tới khu Hoàng cung vào lúc các sòng bạc mở cửa, theo đúng như pháp luật vẫn che chở một dục vọng vốn dĩ đánh thuế được. ~~~ Chẳng ngập ngừng cho lắm, anh ta leo cầu thang lên cái sòng tên gọi là sòng số 36.	I. ~~~ Október vége felé lehetett, mikor egyszer a Palais-Royalbeli játékházak estvéli megnyitásának törvényszabta órájában egy fiatal ember sietett a bőségesen adózó, tehát a törvény által kellőképpen pártfogolt kártyabarlang felé s minden habozás nélkül haladt föl a lépcsőn, hogy a 36. szám alatt tanyát ütött játékbankba térjen.	-0.168293
- Bỏ mũ ra, thưa ngài!	– A kalapját, tisztelt ur, a kalapját!	0.117391
- Một lão già loắt choắt, mặt tái nhợt gọi bảo chàng trai, giọng cộc lốc và gắt gỏng, lão ta đang ngồi xổm trong bóng tối, sau một hàng bao lơn, đột nhiên đứng lên, thò ra bộ mặt rập khuôn theo một kiểu bỉ ổi.	– kiáltott rá rekedtesen rikácsoló hangon a folyosó homályos zugából egy kis összetöpörödött emberke, nem éppen bizalomgerjesztő fakó ábrázatával a rács mögül előbukkanva.	0.205714
Khi anh bước vào một sòng bạc, luật lệ đầu tiên là lột của anh chiếc mũ.	Ha az ember játékházba teszi a lábát, a törvény első gondja a kalap, melynek a fejről le kell kerülnie.	0.24878
Phải chăng đó là một ngụ ý trong giáo lý của Thượng đế?	Talán valami evangéliumi példabeszéd értelmében?	0.217647
Hay phải chăng đó là một cách ký kết bản giao kèo hắc ám bắt anh phải nộp một vật nào đấy làm bằng?	Vagy talán inkább annak a pokoli szerződésnek a biztositékaképpen, mit vele hallgatagon megkötöttünk?	0.257576
Hoặc giả đó là buộc anh phải giữ một thái độ kính trọng trước những kẻ sắp sửa lấy được tiền của anh?	Vagy arra való csupán az egész, hogy kellő tisztelettel ácsorogjunk azok előtt, kik besöprik elnyert pénzünket?	0.251887
