ĐỎ VÀ ĐEN (Tập 1)	Vörös és fekete	0.229412
CHƯƠNG I	I.	-0.4
MỘT THÀNH PHỐ NHỎ	EGY KIS VÁROS.	0.128571
Put thousands together	Put thousands together	2.55
Less bad	Less bad,	1.2625
But the cage less gay.	But the cage less gay.	2.8
HOBBES	Hobbes.	0.257143
Thành phố nhỏ Verrières có thể coi là một trong những thành phố xinh đẹp nhất của xứ Franche-Comté .	Verrières egyike Franche-Comté legcsinosabb kisvárosainak.	1.03621
Những ngôi nhà trắng mái nhọn lợp ngói đỏ, rải trên sườn của một ngọn đồi có những chùm dẻ gai khỏe khoắn làm dốc nổi bật lên tất cả những đường uốn lượn khúc khuỷu dù là nhỏ bé nhất.	Piros cseréppel fedett, csúcsos tetejű fehér házai egy domb oldalán terűlnek el, melynek szelíd hajlásait terebélyes vadgesztenyefák csoportjai szegik be.	0.157143
Dòng sông Doubs chảy cách vài trăm pied dưới những thành lũy xưa kia do người Tây Ban Nha xây đắp nên và bây giờ đã điêu tàn.	A Doubs néhány száz lépésnyire ömlik a város erődítménye alatt, melyet valamikor a spanyolok építettek, de a mely most már romokban hever.	0.428145
Verrières được che về phía bắc bởi một rặng núi cao, đó là một chi nhánh của dãy Jura .	Északról Verrières-t magas hegyláncz védi, a Jura egyik kiágazása.	0.468182
Những ngọn lởm chởm của rặng Verra phủ tuyết ngay từ những ngày chớm lạnh của tháng mười.	A hogy’ az első októberi hidegek beköszöntenek, a Verra szaggatott vonalú magaslatait már elborítja a hó.	0.46756
Một dòng suối từ trên núi trút xuống, trải xuyên qua Verrières trước khi đổ vào sông Doubs, và làm chuyến động một số lớn những máy xẻ gỗ, đó là một công nghiệp rất đơn giản, đem lại một đời sống khá sung túc cho phần lớn dân cư có tính cách thôn dân nhiều hơn là thị dân.	A hegyekről rohanó patak zúdúl alá, mely mielőtt beleveti magát a Doubs-ba, átszeli Verrières-t és nagyszámú fűrészmalmot tart működésben; ez nagyon egyszerű fajtája az iparnak, mely bizonyos jólétet biztosít a lakosság inkább paraszt, semmint a polgári osztályhoz számítható nagyobb részének.	0.283217
Tuy vậy, cái thành phố nhỏ đó được trù phú không phải là nhờ những máy xẻ gỗ.	Mindamellett a város nem a fűrészmalmoktól nyerte gazdagságát.	0.164516
Chính là nhờ nghề chế tạo vải hoa in, gọi là vải hoa Mulhouse , mà mọi người được xung túc, khiến cho từ khi Napoléon bị diệt vong, mặt ngoài của hầu hết các ngôi nhà ở Verrières đã được xây đắp lại.	Az úgynevezett mulhouse-i kékfestő-gyártmányoknak köszönhető az általános jómód, mely Napoleon bukása óta szinte valamennyi háznak megújította a homlokzatát.	0.183019
Vừa bước chân vào thành phố, người ta đã bị choáng óc vì tiếng náo động của một cái máy rầm rĩ và trông bề ngoài có vẻ gớm ghiếc.	Alig lép be az ember a városba, elkábúl egy zajos és látszatra rettenetes gépezetnek a lármájától.	0.132632
Hai chục cái búa nặng nề và rơi xuống rầm rầm làm rung chuyển cả mặt đường, được nhấc lên bởi một bánh xe mà dòng suối làm cho chuyển động.	Egy kerék, melyet a patak vize hajt, húsz súlyos kalapácsot emel a magasba, a melyek oly dördűléssel hullanak vissza, hogy beléreszket a föld.	0.233077
Một chiếc búa đó chế tạo ra hàng ngày không biết cơ man nào là đinh.	Minden egyes kalapács naponta egy csomó ezer szeget ver ki.	0.181132
Có những cô gái xinh tươi đưa vào cho những chiếc búa khổng lồ ấy nên những mẩu sắt nhỏ, chỉ thoắt cái đã biến thành đinh.	Virgoncz és csinos fiatal leányok helyezik az óriási kalapácsok alá a kis vasdarabokat, melyek egy szempillantás alatt szegekké változnak át.	0.288722
Công việc ấy, bề ngoài trông có vẻ vất vả lắm, là một trong những công việc làm ngạc nhiên nhất khách du lịch lần đầu tiên bước chân vào miền rừng núi ngăn cách nước Pháp với xứ Helvétie .	Ez a látszólag oly kemény munka egyike azoknak a dolgoknak, a melyek leginkább meglepik az utast, a ki először jár a hegyekben, melyek Francziaországot elválasztják Helvétiától.	0.218675
Nếu, khi bước vào Verrières, người du khách hỏi cái xưởng chế tạo đinh đẹp mắt kia, nó làm inh tai những người đi lên dốc phố lớn, là của ai, thì người ta trả lời với một giọng ề à: À!	Ha belépve Verrières-be, az utas megkérdi, kié ez a szeggyártó, mely megsiketűléssel fenyegeti az embereket, a kik a fő-utczán járnak, vontatott hangon felelik neki: - Hát a polgármester úré!	0.253073
