Alexandre Dumas	﻿ALEXANDRE DUMAS	0.24
Ba người lính ngự lâm	A HÁROM TESTŐR ~~~ ELSŐ KÖTET	-0.018
Chương 1	ELŐSZÓ	0.266667
	melyben megnyugtatjuk a tisztelt olvasót, hogy most következő történetünk hőseinek,	-0.3
Ba tặng vật của ông D' Artagnan bố.	bár nevük végződése -os és -is, semmi közük a mitológiához	0.126316
	Körülbelül egy esztendeje, amikor a Királyi Könyvtárban anyagot gyűjtöttem könyvemhez, XIV.	-0.3
Ngày thứ hai đầu tiên của tháng tư năm 1625, thị xã Măng nơi sinh tác giả của cuốn Tiểu thuyết Hoa hồng dường như trong một cơn cách mạng như thể người theo giáo phái Canvanh lần thứ hai lại tới vây hãm Pháo thành La Rochelle.	Lajos történetéhez, véletlen D’Artagnan úr emlékirataira, bukkantam; Pierre Rouge-nál nyomták Amsterdamban; így szokták rendszerint e korban a szerzők, ha meg akarták írni az igazságot, de nem ragaszkodtak ahhoz, hogy hosszabb-rövidebb időt töltsenek a Bastille-ban.	0.28375
Nhiều thị dân thấy đàn bà ở phố lớn chạy trốn, trẻ con kêu khóc nơi ngưỡng cửa, liền vội vã khoác chiến bào, và bằng một khẩu hỏa mai hoặc ngọn giáo để củng cố lòng dũng cảm, hướng về phía lữ quán Chủ cối xay.	A cím csalogató volt. ~~~ A könyvet - természetesen az igazgató engedélyével - hazavittem, és egy szuszra végigolvastam. ~~~ Nem szándékszom itt az érdekes mű elemzésébe bocsátkozni; mindössze figyelmébe ajánlom azoknak az olvasóimnak, akik élvezik a korrajzokat.	-0.107111
	Mesterien odavetett arcképekre bukkan­hatnak benne; és bár e vázlatokat többnyire kaszárnya-bejáratokra és kocsmafalakra firkantotta a szerző, mégis teljes élethűségükben ráismerhetnek XIII.	-0.3
	Lajosnak, Ausztriai Annának, Richelieu-nek, Mazarinnek és a kor legtöbb udvaroncának képére; mintha csak Anquetil úr műveiben szerepelnének.	-0.3
Trước lữ quán, một nhóm người chen chúc, mỗi lúc một đông thêm, nhốn nháo, ồn ào và đầy vẻ tò mò.	Ám közismert tény, hogy a költő szeszélyes képzeletét nem mindig ugyanaz fogja meg, mint a legtöbb olvasót.	0.270588
	Márpedig, jóllehet, mi is éppúgy csodáltuk az említett finomságokat, mint ahogy nyilván csodálni fogják leendő olvasói, mégis, figyelmünket elsősorban olyasvalami vonta magára, amire addig bizonyára ügyet sem vetett senki.	-0.3
	D’Artagnan elmondja, hogy amikor első ízben látogatta meg Tréville urat, a királyi testőrség kapitányát, előszobájában három fiatalemberre bukkant; azok már abban a dicső alakulatok­ban szolgáltak, ahová bejutni neki is legfőbb becsvágya volt; a fiatalemberek neve: Athos, Porthos és Aramis.	-0.3
