Émile Zola	ÉMILE ZOLA	0.3
Thiếu Phụ Đam Mê	THÉRÈSE RAQUIN	0.225
Chương 1	I.	-0.4
Đầu đường Guenégaud, nếu đi từ bến cảng sang, người ta sẽ thấy ngõ Cầu Mới, một loại hành lang hẹp và tối tăm chạy dài từ đường Mazarine đến đường sông Seine.	A rakodópartról jövet a Guénégaud-utca végén a Pont-Neuf sikátorba jutunk, mely szűk és sötét folyosó módjára húzódik a Mazarin-utcától a Szajna-utcáig.	0.239216
Ngõ này quá lắm chừng ba mươi bước bề dài và hai bước bề rộng, được lót bằng những tấm đan vàng nhợt, cũ sờn, bong ra, tiết một mùi ẩm mốc nồng nặc, còn khung viền quanh vuông vức, đen vì cáu bẩn.	Ez a sikátor harminc lépés hosszú és legfeljebb két méter széles; fakó, kopott és helyükből részben már kimozgatott kőkockákkal van kikövezve, amelyek mintha izzadnának, folyton nedvesek; a sikátort fedő üvegtető derékszögben vágott táblái feketék a portól.	0.254795
Vào những ngày hè đẹp, khi ánh mặt trời nặng nề chói chang trên các đường phố thì một luồng sáng trắng nhợt rơi xuống các cặp kính bẩn và lê lết thảm hại trong ngõ.	Szép nyári napokon, mikor a renyhe nap égeti az utcákat, a piszkos üvegtáblákon fehéres világosság szűrődik át s nyomoruságosan suhan végig a sikátorban.	0.227027
Còn những ngày mùa đông khắc nghiệt, những buổi sáng sương mù, các cửa kính chỉ hắt bóng tối dày đặc xuống mặt đường nhầy nhụa, thứ bóng tối bẩn thỉu và ghê tởm.	A halvány téli napokon, ködös reggeleken a kövezet nyirkos kockáira az üvegfedél csak a rút, piszkos éjszaka sötétségét bocsátja át.	0.166154
Bên trái, những cửa hiệu u ám, thấp lè tè, nằm khuất lấp để tránh những làn hơi lạnh từ hầm rượu.	A sikátortól balra homályos, alacsony, nyomott boltok tátonganak, hideg pincelevegőt árasztva.	0.227473
Ở đó có các quầy hàng sách cũ, đồ chơi trẻ con, các quầy hàng giấy bồi mà hàng hoá xám xỉn vì bụi bặm phô bày lờ mờ trong bóng tối, những tủ kính tạo bằng những ô vuông nhỏ lấp lánh ánh phản chiếu nhợt nhạt kỳ lạ của hàng hoá, đàng kia, sau các quầy hàng, các cửa hiệu tràn ngập bóng tối là bấy nhiêu lỗ hổng âm u lắc lay những bóng hình kỳ dị.	Ódonkönyvárusok, gyermekjáték-kereskedők, papirüzletek vannak itt, melyeknek a portól szürke kirakatai szunyókálnak a homályban; a kirakatok kis kockákra szabott üvegtáblái furcsa zöldes, hullámos fényt vetnek a kirakott árúkra; ezeken túl, a kirakatok mögött a sötétséggel telt boltok mindmegannyi gyászos lyukak, melyekben bizarr formák imbolyognak.	0.261947
Bên phải, một bức tường chạy dài suốt ngõ mà các chủ hiệu đối diện để sát vào nó những tủ bày hàng nhỏ hẹp, đồ vật linh tinh, hàng hoá bị bỏ quên ở đó từ hai chục năm nay nằm chỏng chơ dọc theo những tấm ván mỏng xỉn màu nâu tớm lợm.	Jobbról a sikátor egész hosszában egy fal huzódik, amelyre a szemközt levő boltosok szűk kirakat-szekrényeket akasztottak; valami rettenetes barna színre vannak festve ezek a keskeny deszkaalkotmányok, amelyekben mindenféle lim-lom, húsz év óta ottfelejtett árú tárul az ember elé.	0.297727
Một bà hàng nữ trang giả trụ ở một những chiếc tủ quầy hàng đó, bán những chiếc nhẫn giá mười lăm xu được xếp đặt khéo léo trên một miếng đệm nhung màu xanh, trong đáy chiếc hộp bằng gỗ đào hoa tâm.	Az egyik szekrényben egy hamis ékszerekkel kereskedő nő rendezkedett be; ez tizenöt souért adja a gyűrüit, melyek mahagóni fából készült dobozban, kék bársony ágyba vannak gondosan fektetve.	0.225414
