Alexandre Dumas	﻿ALEXANDRE DUMAS	0.24
Hai mươi năm sau	HÚSZ ÉV MÚLVA	0.26
Chương 1	ELSŐ KÖTET ~~~ 1	7.65
Bóng ma của Richelieu	Richelieu fantoma	1.21176
Trong căn phòng của Cung giáo chủ mà chúng ta đã từng biết, bên chiếc bàn có góc thếp vàng trên chất đầy giấy tờ sổ sách, một người đang ngồi tì đầu lên hai bàn tay.	A Bíborosi Palota egyik, előttünk jól ismert szobájában, négy sarkán aranyveretű, iro­mányokkal s könyvekkel megrakott asztalnál, kezébe hajtott fővel egy férfi ült.	0.264815
Phía sau ông ta là một lò sưởi lớn đỏ rực lửa, những thanh củi bốc cháy đổ sụt trên những thanh sắt rộng vàng chóe.	Mögötte hatalmas, vörösen izzó kandalló, melynek szikrázó parazsai széles, aranyozott tűzikutyákon omlottak szerte.	0.26087
Ánh lò sưởi soi rọi phía sau bộ y phục lộng lẫy của con người trầm ngâm được ánh cây đèn thắp đầy nến chiếu sáng từ phía trước.	E kályha fényei hátulról világították meg a tűnődő pompás öltözetét, elölről pedig több karú gyertyatartó vetett rá világosságot.	0.271111
Cứ nhìn tấm áo dài đỏ tía và những thêu ren sang trọng ấy, nhìn vầng trán xanh xao vọng dưới những suy tư, nhìn cảnh quạnh hiu của căn phòng, sự yên tĩnh ở các tiền sảnh, bước đi đều đặn của lính vệ trên thềm, người ta có thể tưởng như vong hồn của cố giáo chủ tể tướng Richelieu vẫn còn ngự trong phòng của ông ta. ~~~ Hỡi ơi!	A vörös palást, a dús csipkék, a sápadt, tűnődésbe merült homlok, a dolgozószoba magánya, az előcsarnokok csendje, az őrt álló gárdisták kimért léptei láttán az ember azt hitte volna, hogy Richelieu bíboros árnyéka még mindig itt van a szobájában.	-0.032458
Quả thực đó chỉ là vong hồn của con người vĩ đại ấy.	Sajnos, valóban csak árnyéka volt a nagy férfiúnak!	0.222
Nước Pháp suy yếu, quyền lực của nhà vua không dược biết đến, các quan đại thần lại mạnh lên và hiếu loạn. ~~~ Kẻ thù lấn vào tận bên trong biên thuỳ, mọi thứ chứng tỏ rằng Richelieu không còn ở đây nữa.	A meggyengült Franciaország, a királyi tekintély hanyatlása, a megerősödött és garázdává vált hatalmasok, a határokon bevonult ellenség azt bizonyította, hogy Richelieu nincs többé jelen.1	-0.0358696
Nhưng điều rõ hơn tất cả rằng tấm áo dài đỏ không phải là tấm áo của vị cố giáo chủ, ấy là sự cô đơn của một bóng ma hơn là một kẻ đang sống, ấy là những dãy hành lang vắng bóng các cận thần, những sân đầy những vệ sĩ, ấy là cái tinh thần nhạo báng bốc lên từ phố phường nó xuyên qua những cửa kính của căn phòng này đang bị lay động trước hơi thở của cả một kinh thành liên minh chống lại tể tướng, sau hết ấy là tiếng súng xa xa không ngớt dội về, may thay chỉ bắn vu vơ và không kết quả cốt làm sao cho bọn vệ sĩ, bọn lính gác Thuỵ Sĩ, đám ngự lâm quân và các binh lính bao quanh Hoàng cung - chính là Cung giáo chủ đã đổi tên - hiểu rằng nhân dân cũng có vũ khí.	De ami mindennél jobban bizonyította, hogy a vörös palást nem az öreg bíborosé: a magá­nyos­ság volt, mely, amint mondtuk, inkább holmi kísértetből látszott áradni, mint élő személyből; meg azok az udvaroncok nélkül kongó folyosók s az őröktől nyüzsgő udvarok; bizonyítá továbbá az utcáról beözönlő, csúfolkodó hangulat, mely áthatolt e miniszter ellen összefogott város izzó leheletében rázkódó szobának az ablakain; végül a távoli s meg-megújuló puskalövések dördülései, melyeket szerencsére vaktában s eredmény nélkül eregettek, csak azért, hogy megmutassák a gárdistáknak, a svájci gárdának, a testőröknek s a Palais-Royalt körülvevő katonaságnak (mert maga a Bíborosi Palota is nevet változtatott), hogy a népnek is vannak fegyverei.	0.297079
Cái bóng ma ấy của Richelieu chính là Mazarin.	Richelieu-nek ez a fantoma: Mazarin volt.	0.218919
Vì chưng Mazarin đơn độc và tự cảm thấy mình hèn yếu.	Nos, Mazarin egyedül volt, s gyengének érezte magát.	0.567333
Ông ta lẩm bẩm:	- Idegen!	0
- Người ngoại quốc?	- suttogta.	0.945455
Người Ý!	- Olasz!	0.15
Đấy những lời đao to búa lớn mà chúng buông ra!	Ez hát a jelszavuk!	-0.266667
Với lởi ấy, chúng ta đã ám sát treo cổ, xé xác Concini và nếu ta để mặc chứng, ắt chúng cũng sẽ ám sát ta, treo cổ ta, xé xác ta như vậy; mặc dù ta chẳng hề gây cho chúng một điều tai hại gì ngoài việc bóp nặn chúng một tí chút.	Ezzel a jelszóval gyilkolták meg, akasztották fel s pusztították el Concinit,2 s ha engedném nekik, engem is így gyilkolnának meg, akasztanának fel és pusztítanának el, ámbár soha egyéb rosszat nem míveltem velük, csak egy kicsit megszorongattam őket.	0.288462
Đồ ngu ngốc?	Az ostobák!	0.2
Vậy là chúng không thấy rằng kẻ thù của chúng không phải lão người Ý này nói tiếng Pháp không sõi mà chính là cái bọn kia, họ có tài nói năng với chúng những lời hoa mỹ bằng cái giọng Paris thật là thuần tuý và tuyệt diệu.	Nem érzik hát, hogy nem ez a franciául rosszul beszélő olasz az ellenségük, hanem sokkal inkább azok, kik oly ékesszóló s oly hibátlan párizsi szójárásban mondanak nekik szép hazugságokat.	0.194413
- Phải rồi, phải rồi, - vị tể tướng nói tiếp và xảo quyệt cười, lần này cái cười có vẻ lạ lẫm trên đôi môi nhợt nhạt, - phải rồi, những tiếng đồn của các ngươi đã nói với ta điều đó, số phận của các sủng thần là bấp bênh, nhưng nếu các người biết điều đó thì các người cũng phải biết rằng ta đây, ta chẳng phải là một sủng thần tầm thường.	- Igen, igen - folytatta a miniszter, ravasz mosolyával, mely ez alkalommal oly furcsának hatott sápadt ajkain -, igen, morajotok azt mondja nekem: a kegyencek sorsa kétes; de ha ezt tudjátok, azt is tudnotok kell, hogy én nem akármilyen kegyenc vagyok!	0.203943
Bá tước D Essex có một cái nhẫn tuyệt đẹp nạm đầy kim cương mà nữ hoàng tình nhân đã tặng: còn ta chỉ có một chiếc nhẫn bình thường với một con số ngày tháng, nhưng nó đã được ban phước tại tiểu thánh đường trong Hoàng cung, cho nên họ sẽ không phế bỏ ta theo nguyện vọng của họ.	Essex grófjának3 pazar, gyémántokkal tündöklő gyűrűje volt, melyet királyné-szeretőjétől kapott; az én gyűrűm egyszerű, csak egy monogram s egy dátum diszíti4, ezt a gyűrűt azonban megáldották a Palais-Royal kápolnájában; de nem is fognak engem megtörni kényük-kedvük szerint!	0.33483
Họ chẳng nhận thẩy rằng với tiếng hô muôn thuở của họ: "Đả đảo lão Mazarin!" ~~~ ta đã hô với họ, khi thì de Beaufort muôn năm, khi thì ngài Hoàng thân muôn năm? ~~~ - Này!	Nem veszik észre, hogy örökös "Le Mazarinnal" kiáltozásuk közben, hol "éljen Beaufort"-t5, hol "éljen a Hercegúr"-at6, hol "éljen a parlament"-et kiáltatok velük!...	-0.108861
Ông de Beaufort đang ở Vinxen; Hoàng thân nay mai sẽ đến theo ông ta, còn nghị viện…	Nos: Beaufort Vincennes-ben van, a Hercegúr maholnap követi oda, a parlament pedig...	0.491808
Đến đây, nụ cười của giáo chủ biểu hiện một vẻ thù hằn dường như không thể có được trên gương mặt vốn dịu dàng của ông.	Most a bíboros mosolya oly gyűlölet fintorát öltötte, amilyenre szelíd ábrázata képtelennek látszott.	0.169307
- Nào!	- Az ám, a parlament!...	0.657143
Nghị viện… Chúng ta xem xét sẽ làm gì cải nghị viện này. ~~~ Có Orléans. ~~~ Ồ!	Majd meglátjuk, mit csinálunk a parlamenttel; itt van Orléansis Montargis.	-0.107813
Ta sẽ để thì giờ xem xét. ~~~ Song những ai đã hô đả đảo Mazarin cuối cùng sẽ phải hô đả đảo tẩt cả những kẻ đó, người nào phiên nấy.	Ó, ráérünk arra még; de azok, akik elkezdték, hogy "Le Mazarinnal", előbb-utóbb úgy végzik, hogy ezeket az urakat hurrogják le, sorra mind!	-0.00853659
Richelieu khi còn sống bị bọn họ căm ghét và khi chết còn bị họ nhắc đến luôn trước kia còn thấp kém hơn ta, bới vì ông ta đã bị nhiều lần xua đuổi và luôn luôn nơm nớp còn bị xua đuổi nhiều hơn nữa.	Richelieu, kit gyűlöltek, amíg élt, s kit halála óta folyton emlegetnek, lennebb volt, mint én; mert több ízben elkergették, s még többször félt, hogy elkergetik.	0.170588
Hoàng hậu, chẳng bao giờ xua duổi ta đâu, còn nếu ta bị ép buộc phải nhượng bộ dân chúng thì nàng sẽ nhượng bộ cùng với ta; nếu ta chạy trốn, nàng cũng sẽ bỏ trôn và chúng ta sẽ thấy bọn phiến loạn xoay xở thế nào khi không có hoàng hậu, không có đức vua của họ. ~~~ Ôi!	A királyné engem soha el nem kerget, s ha kénytelen leszek a népnek engedni, velem együtt fog engedni ő is; ha menekülök, ő is menekül, s akkor majd meglátjuk, mit kezdenek a rebellisek királynéjuk s királyuk nélkül!	-0.0692893
Giá như ta không phải là người ngoại quốc, giá như ta là người Pháp, giá như ta là người quý tộc!	Ó, csak legalább ne volnék idegen, ha legalább francia volnék, ha legalább nemesember!	0.207407
Và ông ta lại rơi vào trạng thái trầm ngâm.	És visszaesett révedezésébe.	0.145161
Quá thật, tình thế đang khó khăn, và cái ngày vừa trôi qua càng thêm phức tạp.	A helyzet csakugyan súlyos volt, s az elmúlt nap csak még bonyolultabbá tette.	0.24507
Luôn luôn bị tính biền lận bẩn thỉu thôi thúc, Mazarin chà siết dân chúng bằng thuế khoá, và dân chúng ấy chỉ còn lại có linh hồn như tổng trạng sư Talon nói, và hơn nữa, vì người ta không thể đem linh hồn ra bán tầm tầm, cho nên đám dân chúng mà người ta cố làm cho họ kiên nhẫn bằng tiếng đồn về những trận chiến thắng đã giành được, họ thấy những vòng nguyệt quế chẳng phải là thịt để có thể nuôi sống mình, đám dân chúng ấy từ lâu đã bắt đầu xì xào kêu ca.	Mazarin, piszkos fösvénységtől sarkallva, adókkal szipolyozta a népet, s a nép, melynek csak a lelke maradt, ahogyan Talon főügyész mondta volt (s lelke is csak azért, mert azt nem lehetett elárverezni), a nép, melynek türelmét a győzelmes csaták hírével próbálták táplálni, úgy találta, a babér nem pecsenye, hogy megehetné:7 már régóta zúgolódott.	0.194857
Nhưng đó chưa phải là tất cả, vì khi dân chúng xì xào, triều đình không nghe thấy do nó vốn bị ngăn cách bởi giới thị dân và các nhà quý tộc Nhưng Mazarin đã dại dột đánh vào các pháp quan!	De ez még nem minden; mert ha csak a nép zúgolódik, amúgy magában, a polgárságtól s a nemességtől elrekesztve, az udvar meg se hallja. ~~~ Azonban Mazarin elég meggondolatlan volt, és megtámadta a magas rangú tisztviselőket.	-0.00147783
Ông ta đã bán mười hai tờ chứng chỉ uỷ viên thỉnh nguyện, và do các án quan trả giá cho những chức vị của họ quá đắt và sự gia nhập của mười hai bạn đồng nghiệp kia tất làm giảm giá những chức vị đó, những án quan cũ đã hợp nhau lại, thề trước kinh Phúc âm là sẽ không chịu sự tăng thêm ấy và kháng cự lại mọi sự ngược đãi của triều đình; họ hứa hẹn với nhau là trong trường hơp một ngươi trong bọn họ do sự phản kháng ấy mà mất chức vị của mình thì họ sẽ cùng nhau đóng góp để hoàn lại tiền cho người ấy.	Eladott tizenkét kincstári előadói pátenst, s lévén, hogy a régebbi tisztviselők állásukat nagyon drágán vásárolták meg, s a tizenkét új kolléga bevonulása jövedelmüket apasztotta, összegyűltek s megesküdtek az evangéliumra, hogy nem tűrik ezt a szaporulatot, s az udvar minden zaklatásának ellenállnak, megfogadván egymásnak, hogy ha egyikük vagy másikuk e tiltakozás miatt állását vesztené, közadakozásból kárpó­tolnák veszteségét.	0.199532
Đây là chuyện xảy ra từ hai phía đó:	Íme, mi történt hát e két társadalmi rétegben:	0.256098
Ngày bảy tháng Giêng, bảy đến tám trăm nhà buôn tập hợp và bị kích loạn về một khoản thuế mới mà người ta muốn đánh vào các trạch chủ, và họ đã cử mười đại biểu đến trình bày với quận công Orléans, người vốn có thói quen lấy lòng dân.	Január 7-én hét- vagy nyolcszáz párizsi kereskedő gyűlt össze, s tiltakozott az új adó ellen, melyet a háztulajdonosokra készültek kivetni, s tízüket küldöttségbe menesztették az orléans-i herceghez, ki régi szokása szerint kereste a népszerűséget.	0.265145
Quận công tiếp họ và họ tuyên bố sẽ quyết định không đóng khoản thuế mới cho dù có phải dùng vũ lực chống lại quan quân của nhà vua đến thu thuế.	A herceg fogadta őket; kijelen­tették: még akkor sem fizetnék meg ezt az új adót, ha fegyveresen kellene védekezniök a király adószedői ellen.	0.232836
Quân công Orléans lắng nghe với vẻ rất ân cần, làm họ hy vọng một sự giảm nhẹ nào dấy, hứa sẽ trình lại với hoàng hậu và đã tông biệt họ bằng lời nói thông thường của các ông hoàng: "Người ta sẽ xem xét".	Orléans hercege nagy megértéssel hallgatta meg őket, s némi módosítás reményét csillantotta meg, ígérve, hogy beszélni fog a királynéval az ügyről, s a fejedelmek szokásos: "majd meglátjuk"-ával elbocsátotta őket.	0.368269
Về phía mình, ngày mồng chín, các uỷ viên thỉnh nguyện của Tham chính viện đến gặp giáo chủ tể tướng, và một người thay mặt họ phát ngôn đã nói năng rất cương quyết và táo bạo đến nỗi giáo chủ sửng sốt; ông ta tống khứ họ ra và nói giống như quận công Orléans rằng người ta sẽ xem xét.	A másik részen, január 9-én, a kincstári előadók a bíborost keresték fel, s egyikük, a többi szószólója, oly erélyesen és bátran beszélt, hogy a bíboros valósággal megdöbbent; de csak elküldte őket, ugyanazt mondván, amit az orléans-i herceg, hogy majd meglátjuk.	0.219048
