Tác giả : Jane Austen	Jane Austen	2.02727
		0.3
Dịch giả: Diệp Minh Tâm		-0.3
		0.3
Ebook miễn phí tại : www.Sachvui.Com	Büszkeség és balítélet	0.173077
		0.3
		0.3
		0.3
* * *	 ~~~ 	-0.05
	For­dí­tot­ta: Szenczi Mik­lós	-0.3
		0.3
		0.3
		0.3
		0.3
		0.3
Mục Lục	Tartalom ~~~ 	0
		0.3
	I. KÖNYV1.	-0.3
	Fejezet	-0.3
		0.3
		0.3
Lời giới thiệu		-0.3
		0.3
	2.	-0.3
Tập I	Fejezet	0.257143
		-0.3
		-0.3
		0.3
	3.	-0.3
Chương 1	Fejezet ~~~  ~~~ 	-0.1
		0.3
	4.	-0.3
Chương 2	Fejezet ~~~  ~~~ 	-0.1
		0.3
	5.	-0.3
Chương 3	Fejezet ~~~  ~~~ 	-0.1
		0.3
	6.	-0.3
Chương 4	Fejezet ~~~  ~~~ 	-0.1
		0.3
	7.	-0.3
Chương 5	Fejezet ~~~  ~~~ 	-0.1
		0.3
	8.	-0.3
Chương 6	Fejezet ~~~  ~~~ 	-0.1
		0.3
	9.	-0.3
Chương 7	Fejezet ~~~  ~~~ 	-0.1
		0.3
	10.	-0.3
Chương 8	Fejezet ~~~  ~~~ 	-0.1
		0.3
	11.	-0.3
Chương 9	Fejezet ~~~  ~~~ 	-0.1
		0.3
	12.	-0.3
Chương 10	Fejezet ~~~  ~~~ 	-0.11
		0.3
	13.	-0.3
Chương 11	Fejezet ~~~  ~~~ 	-0.11
		0.3
	14.	-0.3
Chương 12	Fejezet ~~~  ~~~ 	-0.11
		0.3
	15.	-0.3
Chương 13	Fejezet ~~~  ~~~ 	-0.11
		0.3
	16.	-0.3
Chương 14	Fejezet ~~~  ~~~ 	-0.11
		0.3
	17.	-0.3
Chương 15	Fejezet ~~~  ~~~ 	-0.11
		0.3
	18.	-0.3
Chương 16	Fejezet ~~~  ~~~ 	-0.11
		0.3
	19.	-0.3
Chương 17	Fejezet ~~~  ~~~ 	-0.11
		0.3
	20.	-0.3
Chương 18	Fejezet ~~~  ~~~ 	-0.11
		0.3
	21.	-0.3
Chương 19	Fejezet ~~~ 	-0.015
		0.3
Chương 20		-0.3
		0.3
	22.	-0.3
Chương 21	Fejezet ~~~ 	-0.015
		0.3
Chương 22		-0.3
		0.3
	23.	-0.3
Chương 23	Fejezet ~~~ 	-0.015
		0.3
Tập II	 ~~~ 	-0.25
		0.3
	II.	-0.3
	KÖNYV1.	-0.3
Chương 1	Fejezet ~~~  ~~~ 	-0.1
		0.3
	2.	-0.3
Chương 2	Fejezet ~~~  ~~~ 	-0.1
		0.3
	3.	-0.3
Chương 3	Fejezet ~~~  ~~~ 	-0.1
		0.3
	4.	-0.3
Chương 4	Fejezet ~~~  ~~~ 	-0.1
		0.3
	5.	-0.3
Chương 5	Fejezet ~~~  ~~~ 	-0.1
		0.3
	6.	-0.3
Chương 6	Fejezet ~~~  ~~~ 	-0.1
		0.3
	7.	-0.3
Chương 7	Fejezet ~~~  ~~~ 	-0.1
		0.3
	8.	-0.3
Chương 8	Fejezet ~~~  ~~~ 	-0.1
		0.3
	9.	-0.3
Chương 9	Fejezet ~~~  ~~~ 	-0.1
		0.3
	10.	-0.3
Chương 10	Fejezet ~~~  ~~~ 	-0.11
		0.3
	11.	-0.3
Chương 11	Fejezet ~~~  ~~~ 	-0.11
		0.3
	12.	-0.3
Chương 12	Fejezet ~~~  ~~~ 	-0.11
		0.3
	13.	-0.3
Chương 13	Fejezet ~~~  ~~~ 	-0.11
		0.3
	14.	-0.3
Chương 14	Fejezet ~~~  ~~~ 	-0.11
		0.3
	15.	-0.3
Chương 15	Fejezet ~~~  ~~~ 	-0.11
		0.3
	16.	-0.3
Chương 16	Fejezet ~~~  ~~~ 	-0.11
		0.3
	17.	-0.3
Chương 17	Fejezet ~~~  ~~~ 	-0.11
		0.3
	18.	-0.3
Chương 18	Fejezet ~~~  ~~~ 	-0.11
		0.3
	19.	-0.3
Chương 19	Fejezet ~~~ 	-0.015
		0.3
Tập III	 ~~~ 	-0.3
		0.3
	III.	-0.3
	KÖNYV1.	-0.3
Chương 1	Fejezet ~~~  ~~~ 	-0.1
		0.3
	2.	-0.3
Chương 2	Fejezet ~~~  ~~~ 	-0.1
		0.3
	3.	-0.3
Chương 3	Fejezet ~~~  ~~~ 	-0.1
		0.3
	4.	-0.3
Chương 4	Fejezet ~~~  ~~~ 	-0.1
		0.3
	5.	-0.3
Chương 5	Fejezet ~~~ 	0
		0.3
Chương 6		-0.3
		0.3
	6.	-0.3
Chương 7	Fejezet ~~~ 	0
		0.3
Chương 8		-0.3
		0.3
	7.	-0.3
