 ~~~ 	﻿	-0.05
Stefan Zweig	STEFAN ZWEIG	0.3
 ~~~ Dịch giả : Trịnh Xuân Hoành ~~~  ~~~  ~~~  ~~~ 	SAKKNOVELLA	-0.279167
 ~~~ Nguồn : bản scan của Go_Player (www.thanhlongkydao.com)		-0.3
		0.3
Chuyển sang text : tuanz (www.e-thuvien.com) ~~~  ~~~  ~~~  ~~~  ~~~  ~~~ Lời dẫn	FORDÍTOTTA: FÓNAGY IVÁN	-0.243429
		0.3
		0.3
Cách nay lâu lắm rồi, khi lần đầu tiên đọc sách của Stefan Zweig, tôi đã thấy run sợ. ~~~ Nhà văn người Áo này như nhìn thấu suốt người đời. ~~~ Kiêu hãnh và ám thị. ~~~ Ðam mê và bạc nhược.	A szokott járás-kelés, sürgés-forgás uralkodott a nagy személyszállító gőzös fedélzetén, mely éjfélkor indul el New York kikötőjéből Buenos Aires felé.	-0.15
Những rung động khó tả, sâu lắng trong những thang bậc thầm kín nhất của tâm hồn. ~~~ Zweig là nhà phân tích tâm lý bậc thầy với óc quan sát cực kỳ sắc bén.	Ott tolongtak a szárazföldi vendégek, hogy búcsút mondjanak barátaiknak, ferdesapkás sürgönyhordó fiúk rohantak a termeken át, s egy-egy nevet kiáltoztak.	-0.0191275
Ông có thể lột trần những cảm xúc tột cùng chỉ qua vài động tác, vài cử chỉ… Với Zweig, người đọc cảm thấy như bị chụp lên đầu chiếc vòng kim cô, có đi đến đâu cũng quanh quẩn trong vòng khống chế và bị thôi miên bởi những thứ vô thức phía sau những mạch văn của ông.		-0.3
“Kỳ thủ’ là một truyện ngắn của Zweig mà tôi thích nhất.	Mások koffereket, virágokat cipeltek.	0.0486486
Ðây là một câu chuyện xuất thần, một bức tranh tương phản đến mức chóa mắt, sự phi thực được dàn dựng khéo đến mức trở nên “có thể” : một gã cục mịch, gần như đần độn, lại thống lãnh thế giới của những người trí thức.		-0.3
