Thông tin sách	﻿ ~~~ JULES VERNE	-0.01
		0.3
	DÉL CSILLAGA	-0.6
		0.3
Tên sách: Ngọc Phương Nam	Fordította: ~~~ LÁNYI IMRE	-0.018
		0.3
Nguyên tác: L'Étoile du sud (1884)		-0.3
		0.3
Tác giả: Jules Verne	TARTALOM ~~~ ELSŐ FEJEZET	-0.0142857
 ~~~ Người dịch: Bảo Chân	EZEK AZ ELKÉPESZTŐ FRANCIÁK!	-0.00535714
	MÁSODIK FEJEZET	-0.6
Nhà phát hành: Nhã Nam	A GYÉMÁNTMEZŐKÖN	0.255
	HARMADIK FEJEZET	-0.6
Nhà xuất bản: NXB Hội Nhà Văn ~~~ 	EGY KIS TUDOMÁNY A JÓBARÁTSÁG JEGYÉBEN	-0.0171429
	NEGYEDIK FEJEZET	-0.3
Khối lượng: 400g	A VANDERGAART-KOPJE	0.284211
	ÖTÖDIK FEJEZET	-0.3
	KEZDŐDIK A MUNKA	-0.6
Kích thước: 14 x 20,5 cm	HATODIK FEJEZET ~~~ ÉLET A TELEPEN	-0.0375
 ~~~ Ngày phát hành: 06/2013	HETEDIK FEJEZET ~~~ A BÁNYAOMLÁS	-0.1875
	NYOLCADIK FEJEZET	-0.3
 ~~~ Số trang: 316	A NAGY KÍSÉRLET	0
 ~~~ Giá bìa: 76.000đ	KILENCEDIK FEJEZET	0
	MEGLEPETÉS	-0.3
	TIZEDIK FEJEZET	-0.6
Thể loại: Tiểu thuyết Giả tưởng - Lãng mạn ~~~  ~~~  ~~~ 	JOHN WATKINS MÉRLEGELI A HELYZETET ~~~ TIZENEGYEDIK FEJEZET	-0.227941
Thông tin ebook	DÉL CSILLAGA	0.253846
	TIZENKETTEDIK FEJEZET	-0.3
	ÚTRAKÉSZÜLŐDÉS	-0.3
 ~~~  ~~~ 	TIZENHARMADIK FEJEZET	-0.4
Nguồn: http://tve-4u.org ~~~ 	TRANSVAALON KERESZTÜL	-0.0272727
Type+Làm ebook: thanhbt	TIZENNEGYEDIK FEJEZET	0.271429
 ~~~ Ngày hoàn thành: 12/10/2016	A LIMPOPÓTÓL ÉSZAKRA	-0.0409091
